campana_id,cliente_id,fecha_envio,canal,tipo_oferta,costo,convertido
600174,3000102,2025-02-26,sms,descuento,1000,0
600175,3000102,2025-12-20,push,generico,900,0
600176,3000104,2025-01-06,push,upgrade_credito,3400,0
600177,3000104,2025-08-15,sms,cashback,2400,0
600178,3000105,2025-06-25,push,upgrade_credito,1200,0
600179,3000105,2025-09-17,push,generico,600,0
600180,3000106,2025-11-25,email,descuento,2600,0
600181,3000107,2025-05-06,push,cashback,4000,1
600182,3000108,2025-10-31,push,upgrade_credito,1700,0
600183,3000108,2025-09-08,email,descuento,2200,0
600184,3000108,2025-12-13,push,generico,3300,0
600185,3000109,2026-01-02,push,upgrade_credito,3400,0
600186,3000109,2025-11-29,email,descuento,2300,0
600187,3000109,2025-10-16,push,descuento,1700,0
600188,3000110,2025-02-27,push,generico,2800,1
600189,3000110,2025-06-09,push,cashback,1200,0
600190,3000111,2025-05-01,push,descuento,900,0
600191,3000111,2025-08-18,sms,upgrade_credito,3400,0
600192,3000112,2025-04-23,push,generico,2500,0
600193,3000113,2025-06-01,sms,descuento,1000,0
600194,3000113,2025-01-06,push,cashback,1800,0
600195,3000114,2025-07-25,sms,generico,2500,0
600196,3000114,2025-08-16,sms,cashback,2300,0
600197,3000114,2025-08-10,email,upgrade_credito,700,0
600198,3000115,2025-05-23,email,cashback,1000,0
600199,3000116,2025-03-26,push,generico,1600,0
600200,3000116,2025-09-03,push,descuento,2700,0
600201,3000118,2025-11-12,email,descuento,3500,0
600202,3000120,2026-01-31,push,cashback,1000,0
600203,3000120,2025-09-08,push,generico,3500,0
600204,3000123,2025-11-14,push,descuento,3200,0
600205,3000123,2025-02-12,sms,generico,2200,0
600206,3000123,2025-11-02,push,cashback,3700,1
600207,3000124,2025-08-09,push,upgrade_credito,1200,0
600208,3000124,2025-06-10,push,cashback,2500,0
600209,3000125,2025-08-19,email,descuento,2300,0
600210,3000126,2025-07-26,push,cashback,3000,0
600211,3000126,2025-03-20,push,generico,2900,0
600212,3000127,2025-01-06,push,cashback,3600,0
600213,3000127,2026-01-31,email,upgrade_credito,1300,0
600214,3000128,2025-12-22,push,generico,1900,0
600215,3000129,2025-02-05,sms,descuento,1700,0
600216,3000129,2025-02-21,email,cashback,600,0
600217,3000130,2025-09-07,email,generico,3400,0
600218,3000131,2025-06-30,push,descuento,2700,0
600219,3000131,2025-03-26,push,descuento,1000,0
600220,3000132,2026-02-09,email,upgrade_credito,2000,0
600221,3000133,2025-05-13,email,generico,1000,0
600222,3000133,2026-02-26,push,descuento,1600,1
600223,3000133,2025-12-25,push,generico,3900,0
600224,3000134,2025-09-16,push,descuento,2600,0
600225,3000135,2025-06-14,push,generico,2300,0
600226,3000135,2026-01-05,sms,descuento,3500,0
600227,3000135,2025-11-25,sms,generico,2800,0
600228,3000135,2025-05-03,sms,generico,1900,0
600229,3000136,2025-07-23,email,descuento,1200,0
600230,3000136,2025-01-10,push,cashback,600,0
600231,3000136,2025-03-31,email,cashback,1500,0
600232,3000137,2025-09-08,push,upgrade_credito,2200,0
600233,3000137,2026-03-06,push,upgrade_credito,800,0
600234,3000137,2025-05-19,push,descuento,3100,0
600235,3000139,2025-12-02,email,descuento,3900,0
600236,3000139,2026-01-28,push,cashback,1700,0
600237,3000139,2025-08-16,push,generico,1300,0
600238,3000139,2025-04-15,push,upgrade_credito,3000,0
600239,3000141,2025-03-18,email,cashback,2200,0
600240,3000142,2025-06-10,push,cashback,2800,1
600241,3000142,2025-10-23,push,descuento,1500,0
600242,3000142,2025-08-05,email,cashback,1000,0
600243,3000143,2025-07-02,email,cashback,600,0
600244,3000143,2025-12-31,email,generico,3200,1
600245,3000145,2026-03-02,sms,upgrade_credito,1100,0
600246,3000146,2025-12-13,sms,generico,3100,0
600247,3000146,2026-03-14,push,descuento,1900,0
600248,3000147,2025-07-05,push,descuento,900,0
600249,3000147,2026-02-12,push,descuento,3300,0
600250,3000147,2025-10-18,push,cashback,1800,0
600251,3000148,2025-11-11,email,cashback,3400,0
600252,3000149,2025-11-27,email,cashback,1700,0
600253,3000150,2025-07-19,email,generico,1600,0
600254,3000150,2026-02-22,push,upgrade_credito,1000,0
600255,3000150,2025-02-01,push,cashback,3800,0
600256,3000151,2025-03-25,email,generico,3900,0
600257,3000151,2025-04-05,push,cashback,800,0
600258,3000151,2026-03-06,push,descuento,1500,0
600259,3000152,2025-02-22,push,descuento,4000,0
600260,3000152,2026-01-02,push,generico,2700,0
600261,3000152,2025-10-13,push,cashback,1200,0
600262,3000152,2025-04-20,push,cashback,1100,0
600263,3000153,2025-12-19,push,cashback,1400,0
600264,3000153,2025-12-01,push,cashback,3200,0
600265,3000155,2026-02-22,push,descuento,1000,0
600266,3000156,2025-07-22,push,cashback,800,0
600267,3000157,2025-09-13,email,cashback,1100,0
600268,3000157,2025-06-03,sms,cashback,1400,0
600269,3000158,2025-09-22,email,cashback,2900,0
600270,3000159,2026-01-17,sms,upgrade_credito,2200,0
600271,3000159,2025-05-02,push,descuento,900,0
600272,3000160,2025-02-08,email,descuento,2800,1
600273,3000161,2025-03-05,sms,upgrade_credito,2300,0
600274,3000162,2025-01-20,push,upgrade_credito,2300,0
600275,3000162,2025-01-02,push,generico,2000,0
600276,3000163,2025-11-25,push,descuento,600,0
600277,3000163,2025-07-13,email,descuento,2800,0
600278,3000163,2026-01-19,email,upgrade_credito,2800,0
600279,3000163,2025-09-04,push,upgrade_credito,3500,0
600280,3000165,2025-04-08,email,cashback,3200,0
600281,3000165,2025-02-28,email,cashback,2300,0
600282,3000165,2025-03-19,sms,generico,800,0
600283,3000166,2026-02-13,push,cashback,2800,0
600284,3000166,2025-04-01,sms,upgrade_credito,3900,0
600285,3000167,2025-03-15,push,cashback,1500,0
600286,3000167,2025-11-09,email,cashback,800,0
600287,3000169,2025-02-18,email,cashback,2900,0
600288,3000171,2025-04-24,email,cashback,3400,0
600289,3000172,2025-09-03,email,upgrade_credito,3000,0
600290,3000173,2025-01-24,sms,generico,1600,0
600291,3000173,2025-02-22,email,generico,3300,0
600292,3000174,2025-04-27,push,cashback,3500,0
600293,3000176,2025-10-20,push,cashback,1800,0
600294,3000176,2025-03-01,push,generico,2400,0
600295,3000177,2025-11-14,push,generico,2400,0
600296,3000178,2025-04-12,sms,upgrade_credito,3900,0
600297,3000178,2025-05-15,push,cashback,2400,0
600298,3000178,2025-03-31,sms,upgrade_credito,1800,1
600299,3000179,2025-10-01,push,cashback,2200,0
600300,3000179,2026-01-26,email,generico,1700,0
600301,3000180,2025-10-09,push,descuento,3200,0
600302,3000182,2025-09-02,email,generico,3900,0
600303,3000182,2026-01-20,push,generico,3500,0
600304,3000183,2025-01-16,push,cashback,3300,1
600305,3000184,2025-04-11,sms,upgrade_credito,2800,0
600306,3000184,2025-02-11,push,descuento,800,0
600307,3000186,2025-08-15,push,descuento,1300,0
600308,3000187,2025-05-29,push,upgrade_credito,1700,0
600309,3000188,2025-03-03,email,cashback,2600,0
600310,3000188,2025-01-27,push,generico,3800,0
600311,3000190,2025-05-29,sms,cashback,1000,0
600312,3000190,2025-04-13,email,cashback,3600,1
600313,3000190,2025-08-28,email,generico,2900,0
600314,3000191,2025-10-05,sms,descuento,1900,0
600315,3000191,2025-01-16,push,generico,2200,1
600316,3000192,2025-10-25,push,cashback,3600,0
600317,3000192,2025-09-15,email,upgrade_credito,900,0
600318,3000193,2025-10-13,sms,descuento,3500,0
600319,3000194,2025-12-23,email,generico,3700,0
600320,3000195,2026-03-14,push,cashback,600,0
600321,3000196,2025-10-07,push,cashback,3900,0
600322,3000197,2025-03-20,email,cashback,1900,0
600323,3000197,2025-02-28,push,generico,3500,1
600324,3000198,2025-06-19,push,cashback,1500,0
600325,3000198,2025-10-12,push,descuento,600,0
600326,3000198,2025-10-10,push,cashback,3400,0
600327,3000199,2026-03-05,email,cashback,1800,0
600328,3000199,2025-11-18,push,cashback,2200,0
600329,3000199,2025-02-05,push,cashback,1800,0
600330,3000200,2025-02-08,push,descuento,3900,0
600331,3000200,2025-04-14,push,descuento,1600,0
600332,3000201,2025-01-05,push,cashback,3200,0
600333,3000201,2026-02-28,email,descuento,1500,0
600334,3000201,2025-11-16,push,descuento,3300,0
600335,3000202,2025-01-26,push,cashback,1800,0
600336,3000202,2025-10-04,push,descuento,1400,0
600337,3000202,2025-01-20,email,descuento,3400,0
600338,3000203,2026-01-03,push,upgrade_credito,900,0
600339,3000203,2025-02-26,push,descuento,2000,0
600340,3000204,2025-08-17,sms,generico,500,0
600341,3000205,2025-08-22,push,descuento,2100,0
600342,3000205,2025-06-12,email,cashback,2700,0
600343,3000205,2026-01-27,email,descuento,3000,0
600344,3000206,2026-01-20,push,generico,1000,0
600345,3000206,2025-12-26,push,descuento,3500,0
600346,3000208,2025-01-15,push,generico,3700,0
600347,3000209,2025-02-06,push,descuento,2900,0
600348,3000210,2025-03-19,email,generico,3800,0
600349,3000212,2025-08-06,email,descuento,600,0
600350,3000212,2025-07-12,email,descuento,2200,0
600351,3000213,2026-02-06,sms,cashback,500,1
600352,3000214,2025-06-17,sms,cashback,1100,0
600353,3000214,2025-03-20,email,upgrade_credito,1900,0
600354,3000214,2025-02-15,email,generico,3600,0
600355,3000214,2025-04-12,email,cashback,1700,0
600356,3000215,2025-03-02,push,upgrade_credito,2600,0
600357,3000217,2025-11-11,email,upgrade_credito,3800,0
600358,3000217,2026-01-03,email,descuento,900,0
600359,3000217,2025-06-04,push,cashback,500,0
600360,3000218,2025-05-23,push,generico,2800,1
600361,3000218,2025-12-16,push,cashback,1000,0
600362,3000219,2025-12-03,sms,generico,2500,0
600363,3000219,2025-08-16,push,cashback,2800,1
600364,3000219,2026-01-15,email,descuento,1100,0
600365,3000220,2025-08-21,push,cashback,1800,0
600366,3000221,2026-02-10,push,upgrade_credito,600,0
600367,3000222,2025-01-02,sms,cashback,1300,0
600368,3000223,2026-01-06,push,upgrade_credito,3200,0
600369,3000223,2026-03-01,email,cashback,4000,0
600370,3000223,2025-07-24,push,descuento,2400,0
600371,3000224,2025-06-20,sms,descuento,1000,0
600372,3000225,2025-10-26,push,generico,3500,0
600373,3000226,2025-11-01,push,generico,800,0
600374,3000226,2025-05-07,email,upgrade_credito,2500,0
600375,3000226,2025-09-29,push,cashback,1000,0
600376,3000227,2025-07-15,push,descuento,2900,0
600377,3000227,2025-09-23,email,upgrade_credito,3000,0
600378,3000227,2025-08-28,sms,generico,1500,0
600379,3000228,2026-03-06,sms,descuento,1200,0
600380,3000228,2026-01-17,sms,cashback,1900,0
600381,3000228,2026-02-07,email,generico,2800,0
600382,3000228,2026-03-05,email,cashback,3100,0
600383,3000228,2025-03-28,email,descuento,1600,0
600384,3000229,2025-06-23,push,descuento,1400,0
600385,3000229,2025-11-20,email,descuento,1400,0
600386,3000230,2025-02-28,sms,descuento,3000,0
600387,3000231,2025-09-22,sms,descuento,2000,0
600388,3000231,2025-02-13,email,generico,800,0
600389,3000231,2025-10-10,email,generico,3700,0
600390,3000231,2025-06-03,push,generico,600,0
600391,3000232,2025-04-19,push,cashback,1700,0
600392,3000232,2025-01-02,push,upgrade_credito,2400,1
600393,3000233,2025-08-04,push,cashback,3600,1
600394,3000235,2025-04-21,push,descuento,3000,0
600395,3000236,2025-10-17,push,cashback,1200,0
600396,3000236,2025-09-29,email,cashback,1700,0
600397,3000238,2025-08-06,sms,generico,1200,0
600398,3000238,2026-01-01,email,cashback,2300,0
600399,3000239,2025-05-04,push,generico,3800,0
600400,3000239,2025-03-25,sms,cashback,3100,0
600401,3000239,2026-01-30,push,descuento,2000,0
600402,3000239,2025-01-14,push,descuento,800,0
600403,3000240,2025-01-19,email,upgrade_credito,2300,0
600404,3000240,2025-09-17,email,upgrade_credito,2900,0
600405,3000240,2025-06-10,push,cashback,2000,0
600406,3000241,2026-01-31,push,generico,1300,0
600407,3000241,2025-05-30,email,generico,2900,1
600408,3000241,2025-02-06,sms,descuento,1600,0
600409,3000242,2025-04-18,sms,cashback,2400,0
600410,3000242,2025-08-30,push,descuento,500,0
600411,3000244,2025-06-03,push,upgrade_credito,3300,0
600412,3000244,2025-10-23,push,generico,1900,0
600413,3000245,2025-11-09,email,cashback,2800,0
600414,3000246,2025-10-19,email,upgrade_credito,1700,0
600415,3000246,2025-07-11,email,upgrade_credito,2600,0
600416,3000246,2026-02-02,push,generico,1200,0
600417,3000246,2026-02-15,push,upgrade_credito,3700,0
600418,3000246,2025-07-27,email,generico,1100,0
600419,3000247,2025-06-18,sms,descuento,2100,0
600420,3000247,2026-01-10,email,generico,2100,0
600421,3000248,2025-01-26,push,cashback,2100,0
600422,3000248,2025-11-24,email,upgrade_credito,3600,0
600423,3000248,2025-05-10,push,cashback,1400,0
600424,3000249,2025-12-20,push,generico,600,0
600425,3000249,2025-05-27,email,upgrade_credito,3800,0
600426,3000250,2025-09-15,email,cashback,3700,1
600427,3000252,2026-03-13,push,cashback,500,0
600428,3000252,2025-02-09,push,descuento,2500,0
600429,3000252,2026-02-18,push,generico,1100,0
600430,3000253,2025-01-06,sms,descuento,3200,0
600431,3000253,2025-06-16,email,descuento,1500,0
600432,3000254,2025-05-24,email,cashback,900,1
600433,3000254,2025-12-21,email,generico,3000,1
600434,3000254,2025-06-14,sms,descuento,2500,0
600435,3000254,2025-06-29,email,generico,3700,0
600436,3000256,2025-07-28,email,cashback,3500,0
600437,3000256,2025-03-31,push,generico,4000,0
600438,3000256,2025-10-11,push,generico,2600,0
600439,3000256,2025-01-19,email,cashback,2300,0
600440,3000258,2025-09-16,push,descuento,3200,0
600441,3000259,2025-06-17,push,upgrade_credito,1200,0
600442,3000259,2026-02-15,email,cashback,3700,0
600443,3000259,2026-03-12,email,descuento,2400,0
600444,3000260,2026-03-15,sms,cashback,2200,0
600445,3000260,2025-10-24,email,generico,3200,0
600446,3000261,2025-01-03,sms,descuento,2900,0
600447,3000262,2026-01-26,push,cashback,3900,1
600448,3000262,2026-02-05,push,descuento,3700,0
600449,3000262,2025-12-27,push,generico,2400,0
600450,3000262,2025-05-29,push,upgrade_credito,3500,0
600451,3000264,2025-01-06,push,descuento,600,0
600452,3000264,2026-02-09,push,descuento,1600,1
600453,3000265,2025-01-09,sms,cashback,1800,0
600454,3000266,2025-02-15,push,generico,2300,0
600455,3000267,2025-08-21,email,generico,1600,0
600456,3000267,2025-08-20,push,cashback,800,1
600457,3000267,2026-02-08,push,cashback,2800,0
600458,3000269,2025-03-14,push,cashback,700,0
600459,3000270,2025-09-30,email,descuento,1800,0
600460,3000270,2025-03-11,email,descuento,1300,0
600461,3000271,2025-04-30,email,generico,1700,0
600462,3000271,2025-03-01,email,descuento,800,0
600463,3000272,2025-06-22,email,generico,1000,0
600464,3000272,2025-12-01,push,upgrade_credito,3600,1
600465,3000276,2025-03-04,push,cashback,1100,0
600466,3000276,2025-09-01,email,generico,1600,0
600467,3000276,2025-10-24,sms,generico,1100,0
600468,3000277,2025-06-18,push,generico,1000,0
600469,3000277,2026-02-16,push,generico,3100,0
600470,3000277,2025-08-24,push,generico,3300,0
600471,3000278,2025-09-28,push,upgrade_credito,1900,0
600472,3000279,2025-07-06,sms,upgrade_credito,2400,0
600473,3000279,2026-01-19,email,cashback,2200,0
600474,3000280,2025-11-28,email,generico,3000,0
600475,3000280,2025-11-15,email,upgrade_credito,3200,0
600476,3000282,2025-08-28,email,cashback,2100,0
600477,3000282,2025-05-13,sms,upgrade_credito,3500,0
600478,3000282,2026-01-15,push,upgrade_credito,3100,0
600479,3000283,2025-05-26,push,cashback,1800,0
600480,3000283,2025-05-09,push,descuento,1600,0
600481,3000284,2025-01-18,push,descuento,2700,0
600482,3000284,2025-02-16,push,descuento,3000,0
600483,3000284,2025-09-06,push,generico,600,0
600484,3000285,2025-02-28,push,generico,2800,0
600485,3000285,2025-10-08,email,cashback,3400,0
600486,3000285,2025-01-08,push,upgrade_credito,3400,0
600487,3000286,2026-02-08,sms,generico,3300,0
600488,3000287,2025-04-26,push,descuento,1600,0
600489,3000287,2026-01-24,push,cashback,3800,0
600490,3000288,2025-03-12,sms,cashback,2000,0
600491,3000289,2025-06-24,sms,generico,700,0
600492,3000290,2026-01-30,email,descuento,1000,0
600493,3000291,2025-07-26,push,descuento,2600,0
600494,3000292,2025-05-29,push,generico,1600,0
600495,3000292,2025-03-25,push,cashback,3000,0
600496,3000294,2025-07-22,email,descuento,2500,0
600497,3000294,2025-09-22,sms,generico,2800,0
600498,3000295,2025-03-23,push,upgrade_credito,700,0
600499,3000295,2025-09-28,email,upgrade_credito,3000,0
600500,3000295,2025-06-22,email,upgrade_credito,3500,0
600501,3000295,2025-10-04,email,descuento,3600,0
600502,3000296,2025-02-28,push,descuento,500,0
600503,3000296,2025-08-31,email,cashback,2600,1
600504,3000297,2025-07-24,push,cashback,2300,0
600505,3000297,2026-01-22,sms,generico,900,0
600506,3000297,2025-01-08,push,descuento,3800,0
600507,3000298,2025-09-21,push,upgrade_credito,1200,0
600508,3000298,2025-06-29,push,upgrade_credito,2000,0
600509,3000298,2025-12-13,email,generico,2300,0
600510,3000299,2025-06-13,push,cashback,1000,0
600511,3000299,2025-06-10,sms,upgrade_credito,800,0
600512,3000300,2026-02-14,sms,descuento,1200,0
600513,3000300,2025-08-25,push,cashback,3600,0
600514,3000301,2025-12-02,push,descuento,800,0
600515,3000301,2026-01-14,push,cashback,1700,0
600516,3000302,2025-05-01,push,upgrade_credito,4000,0
600517,3000302,2025-11-09,email,upgrade_credito,2100,0
600518,3000303,2025-02-23,push,upgrade_credito,3000,0
600519,3000303,2025-03-27,push,generico,2800,0
600520,3000305,2026-03-12,push,descuento,600,0
600521,3000305,2025-12-14,sms,cashback,3700,0
600522,3000306,2025-10-14,email,cashback,1200,0
600523,3000306,2025-04-07,email,generico,1100,0
600524,3000308,2026-01-28,push,descuento,1500,0
600525,3000308,2025-02-21,push,descuento,2700,0
600526,3000309,2025-04-20,push,cashback,1400,0
600527,3000309,2026-02-11,sms,descuento,1300,0
600528,3000309,2025-12-04,push,generico,2600,1
600529,3000310,2026-03-07,email,descuento,3700,0
600530,3000310,2026-03-04,push,cashback,3700,0
600531,3000311,2025-04-19,email,descuento,800,0
600532,3000311,2025-05-05,push,generico,2400,0
600533,3000312,2025-11-30,email,cashback,3200,0
600534,3000312,2025-10-07,push,cashback,3500,0
600535,3000314,2025-10-30,push,upgrade_credito,1200,0
600536,3000314,2025-03-24,email,generico,3000,0
600537,3000315,2025-03-10,push,descuento,1000,0
600538,3000315,2025-10-16,sms,upgrade_credito,4000,0
600539,3000316,2025-08-23,email,descuento,2800,0
600540,3000316,2025-10-08,push,descuento,3000,0
600541,3000317,2026-02-09,sms,cashback,2800,0
600542,3000318,2025-01-30,push,cashback,1800,0
600543,3000319,2025-10-31,email,cashback,3700,0
600544,3000319,2025-03-18,push,descuento,1000,0
600545,3000321,2025-08-13,push,cashback,2400,0
600546,3000323,2025-11-24,email,descuento,2700,0
600547,3000323,2025-01-05,push,descuento,3000,1
600548,3000325,2025-10-24,push,cashback,3600,0
