credito_id,cliente_id,fecha_solicitud,monto_aprobado,plazo_meses,tasa,score_buro,destino,default_90d,dias_mora,monto_recuperado
900043,3000092,2026-02-23,5179000,24,0.0445,518,consumo,0,0,0
900044,3000092,2025-01-01,2417000,6,0.0391,479,negocio,0,0,0
900045,3000099,2025-08-10,1273000,6,0.0379,623,educacion,0,0,0
900046,3000111,2026-02-24,5615000,12,0.0374,584,otros,0,0,0
900047,3000111,2025-11-21,10168000,18,0.0458,499,consumo,1,140,5300000
900048,3000112,2025-06-09,2075000,24,0.0521,577,consumo,0,0,0
900049,3000113,2025-09-16,2708000,12,0.0396,564,negocio,0,0,0
900050,3000115,2025-02-09,1949000,24,0.0469,662,educacion,0,0,0
900051,3000119,2026-01-14,4321000,3,0.0331,606,educacion,0,0,0
900052,3000119,2025-12-24,3161000,12,0.0506,526,salud,0,0,0
900053,3000120,2026-02-15,12731000,3,0.0306,654,consumo,0,0,0
900054,3000122,2025-11-11,8201000,6,0.0316,643,consumo,0,0,0
900055,3000128,2025-03-12,3450000,24,0.0491,547,consumo,0,0,0
900056,3000133,2025-07-11,5523000,12,0.0403,596,consumo,0,0,0
900057,3000135,2025-05-17,3402000,18,0.0495,557,consumo,1,156,813000
900058,3000137,2025-08-29,2213000,3,0.0368,533,otros,0,0,0
900059,3000144,2025-08-14,5220000,18,0.0433,679,negocio,0,0,0
900060,3000147,2025-09-03,746000,24,0.0499,543,otros,0,0,0
900061,3000147,2025-06-28,2378000,24,0.0422,551,educacion,1,139,1505000
900062,3000148,2025-03-20,5430000,3,0.0364,578,negocio,0,0,0
900063,3000148,2026-02-07,5369000,18,0.0411,689,consumo,0,0,0
900064,3000149,2025-12-22,4084000,12,0.0363,588,otros,0,0,0
900065,3000149,2025-06-15,3496000,18,0.0433,625,negocio,0,0,0
900066,3000150,2025-07-05,5400000,24,0.0485,530,salud,0,0,0
900067,3000150,2025-08-13,3278000,36,0.055,583,educacion,0,0,0
900068,3000153,2025-03-24,867000,6,0.0354,548,negocio,0,0,0
900069,3000154,2025-09-17,17294000,24,0.042,688,negocio,0,0,0
900070,3000159,2025-12-27,1877000,6,0.0375,595,consumo,0,0,0
900071,3000160,2026-02-07,9408000,24,0.0449,653,negocio,1,151,4670000
900072,3000165,2025-03-29,4782000,12,0.042,521,negocio,0,0,0
900073,3000165,2025-11-30,1379000,18,0.0505,529,consumo,0,0,0
900074,3000168,2025-10-15,2035000,18,0.0524,479,consumo,0,0,0
900075,3000170,2026-02-14,2669000,12,0.0427,574,consumo,0,0,0
900076,3000171,2026-01-04,5362000,24,0.045,641,consumo,0,0,0
900077,3000174,2025-04-12,2947000,6,0.0411,531,negocio,0,0,0
900078,3000175,2025-09-27,742000,18,0.0496,507,consumo,0,0,0
900079,3000176,2025-07-26,13500000,24,0.0502,615,consumo,0,0,0
900080,3000187,2025-10-25,5360000,6,0.0383,610,negocio,0,0,0
900081,3000188,2025-12-10,4018000,24,0.0451,600,consumo,0,0,0
900082,3000188,2025-10-14,2948000,12,0.0414,487,consumo,0,0,0
900083,3000189,2025-10-03,2017000,3,0.0349,593,otros,0,0,0
900084,3000189,2025-04-03,7174000,18,0.0424,536,negocio,0,0,0
900085,3000189,2025-05-04,5307000,18,0.0425,629,consumo,0,0,0
900086,3000192,2025-07-05,2953000,36,0.055,429,negocio,1,144,1832000
900087,3000192,2025-11-21,3165000,18,0.042,524,educacion,0,0,0
900088,3000193,2025-09-20,8e+05,12,0.0432,538,consumo,0,0,0
900089,3000193,2025-09-02,2667000,6,0.0419,439,consumo,0,0,0
900090,3000194,2025-08-12,9468000,12,0.0415,610,negocio,0,0,0
900091,3000197,2025-08-13,8097000,18,0.0434,643,consumo,0,0,0
900092,3000197,2025-10-10,12123000,6,0.0381,653,otros,0,0,0
900093,3000200,2025-12-17,6587000,12,0.0438,549,educacion,0,0,0
900094,3000203,2025-11-18,1310000,12,0.0501,538,negocio,0,0,0
900095,3000203,2025-11-11,1101000,12,0.0357,512,negocio,0,0,0
900096,3000210,2025-09-24,2579000,12,0.0489,466,consumo,0,0,0
900097,3000210,2025-12-30,2226000,36,0.0544,496,salud,0,0,0
900098,3000213,2025-11-07,8469000,12,0.0307,573,consumo,0,0,0
900099,3000214,2025-07-20,7100000,24,0.0445,551,salud,0,0,0
900100,3000217,2025-09-24,1633000,36,0.055,559,negocio,0,0,0
900101,3000218,2025-01-08,7843000,18,0.0441,613,negocio,0,0,0
900102,3000218,2025-11-24,8029000,24,0.0493,617,otros,0,0,0
900103,3000218,2025-05-20,4911000,12,0.0427,634,negocio,0,0,0
900104,3000219,2025-12-13,1721000,36,0.0476,687,consumo,0,0,0
900105,3000220,2025-08-15,7002000,18,0.0495,533,consumo,0,0,0
900106,3000221,2025-12-03,2974000,3,0.031,631,salud,0,0,0
900107,3000224,2026-01-15,4318000,6,0.039,637,consumo,0,0,0
900108,3000224,2025-06-03,5461000,6,0.0406,546,negocio,0,0,0
900109,3000225,2025-12-13,3057000,12,0.037,553,salud,0,0,0
900110,3000225,2026-01-03,2919000,18,0.0445,569,consumo,0,0,0
900111,3000226,2025-12-21,2077000,6,0.0411,526,consumo,0,0,0
900112,3000226,2025-09-06,2121000,18,0.05,538,negocio,0,0,0
900113,3000227,2025-10-19,1711000,6,0.0378,656,consumo,0,0,0
900114,3000227,2025-10-26,5004000,6,0.0396,571,negocio,0,0,0
900115,3000230,2025-05-31,1964000,12,0.0474,503,otros,0,0,0
900116,3000231,2025-05-03,4276000,18,0.046,618,consumo,0,0,0
900117,3000231,2025-08-31,12414000,6,0.0375,593,otros,0,0,0
900118,3000232,2026-02-10,251000,6,0.0495,453,consumo,0,0,0
900119,3000235,2025-12-29,1311000,6,0.0456,523,negocio,0,0,0
900120,3000235,2025-10-18,4316000,12,0.0433,557,consumo,0,0,0
900121,3000237,2026-02-16,994000,24,0.055,493,salud,0,0,0
900122,3000240,2025-11-01,4136000,12,0.042,578,negocio,0,0,0
900123,3000240,2025-12-04,1422000,3,0.0402,488,consumo,0,0,0
900124,3000243,2026-01-12,2543000,6,0.0405,573,consumo,0,0,0
900125,3000244,2025-11-15,4215000,18,0.0481,539,educacion,1,136,2508000
900126,3000249,2025-11-30,5723000,3,0.0333,540,negocio,0,0,0
900127,3000250,2026-02-05,5591000,18,0.0455,582,salud,0,0,0
900128,3000253,2025-12-13,17192000,18,0.0443,607,educacion,0,0,0
900129,3000259,2025-01-05,6962000,36,0.055,570,consumo,0,0,0
900130,3000265,2025-08-12,14007000,24,0.05,672,consumo,0,0,0
900131,3000266,2025-07-27,1909000,24,0.0463,572,educacion,0,0,0
900132,3000272,2025-06-24,9052000,18,0.0436,548,consumo,0,0,0
900133,3000273,2025-04-04,3733000,12,0.0399,551,consumo,0,0,0
900134,3000273,2025-02-21,3606000,18,0.0468,543,negocio,1,152,1326000
900135,3000273,2025-07-15,1571000,12,0.0396,515,consumo,0,0,0
900136,3000274,2025-12-06,11373000,24,0.0447,642,salud,1,141,4319000
900137,3000274,2025-12-09,20157000,12,0.041,656,otros,0,0,0
900138,3000275,2025-02-22,881000,6,0.0417,501,consumo,0,0,0
900139,3000277,2025-06-11,1029000,18,0.0486,537,consumo,1,151,304000
900140,3000279,2025-08-09,4867000,6,0.0405,642,educacion,0,0,0
900141,3000282,2025-05-29,1373000,6,0.0436,502,salud,0,0,0
900142,3000282,2026-01-26,967000,12,0.0514,562,consumo,0,0,0
900143,3000283,2025-11-09,11955000,24,0.0508,554,negocio,0,0,0
900144,3000283,2025-04-29,13346000,3,0.0376,662,consumo,0,0,0
900145,3000284,2025-12-07,2721000,6,0.0406,526,consumo,0,0,0
900146,3000292,2025-07-25,5669000,36,0.0483,686,consumo,0,0,0
900147,3000292,2025-07-26,9890000,18,0.0483,614,salud,0,0,0
900148,3000298,2025-04-28,3141000,24,0.053,538,consumo,0,0,0
900149,3000298,2025-07-12,1402000,18,0.052,482,consumo,0,0,0
900150,3000298,2025-12-28,609000,18,0.0502,501,otros,0,0,0
900151,3000304,2025-09-17,5391000,18,0.0524,512,negocio,0,0,0
900152,3000304,2025-05-14,7806000,6,0.033,594,negocio,0,0,0
900153,3000305,2025-10-30,962000,6,0.0363,526,negocio,0,0,0
900154,3000305,2025-07-29,1343000,6,0.0383,518,otros,1,141,760000
900155,3000309,2025-08-03,1088000,3,0.0373,459,otros,0,0,0
900156,3000309,2026-01-14,2132000,18,0.0516,494,negocio,0,0,0
900157,3000311,2025-02-01,6045000,12,0.044,589,educacion,0,0,0
900158,3000311,2025-09-30,1580000,36,0.055,574,salud,0,0,0
900159,3000315,2025-09-11,1700000,24,0.055,459,otros,1,146,951000
900160,3000316,2025-10-07,4861000,18,0.0429,542,consumo,0,0,0
900161,3000319,2025-06-21,808000,12,0.0431,601,consumo,0,0,0
900162,3000322,2025-09-14,5913000,24,0.0498,595,negocio,0,0,0
900163,3000322,2025-10-22,7912000,36,0.0541,575,negocio,0,0,0
900164,3000323,2025-12-30,5734000,36,0.052,574,consumo,0,0,0
900165,3000325,2025-11-19,3383000,12,0.0466,594,consumo,0,0,0
900166,3000325,2025-11-23,2491000,12,0.0476,581,negocio,0,0,0
900167,3000331,2026-01-13,705000,12,0.0513,423,negocio,0,0,0
900168,3000347,2025-10-20,1167000,6,0.0443,445,negocio,0,0,0
900169,3000347,2025-08-20,2721000,18,0.0534,413,consumo,0,0,0
900170,3000350,2025-12-24,6228000,3,0.0309,594,otros,0,0,0
900171,3000356,2025-08-27,2271000,3,0.0354,572,consumo,0,0,0
900172,3000356,2025-03-02,2071000,24,0.0492,508,consumo,0,0,0
900173,3000358,2025-12-23,2078000,18,0.0536,469,negocio,0,0,0
900174,3000360,2025-09-02,4406000,24,0.0455,536,consumo,0,0,0
900175,3000361,2025-10-03,1491000,12,0.0404,622,educacion,0,0,0
900176,3000364,2025-05-25,1480000,12,0.0482,563,consumo,0,0,0
900177,3000365,2025-10-13,750000,18,0.0449,477,negocio,0,0,0
900178,3000365,2026-01-10,916000,24,0.0547,504,negocio,1,154,206000
900179,3000372,2026-02-13,5753000,6,0.0385,618,consumo,0,0,0
900180,3000372,2026-02-22,4696000,18,0.0451,677,consumo,0,0,0
900181,3000373,2025-05-02,4986000,12,0.0407,565,consumo,0,0,0
900182,3000373,2026-02-01,4301000,18,0.0378,710,consumo,0,0,0
900183,3000374,2025-12-01,734000,12,0.0463,551,consumo,0,0,0
900184,3000374,2025-12-15,2926000,12,0.0438,500,salud,0,0,0
900185,3000375,2025-11-03,5431000,18,0.0402,623,consumo,0,0,0
900186,3000375,2025-05-10,10030000,3,0.0404,576,negocio,0,0,0
900187,3000385,2026-02-22,7368000,18,0.055,483,negocio,0,0,0
900188,3000390,2025-12-15,2834000,6,0.0323,616,consumo,0,0,0
900189,3000393,2026-01-31,10075000,24,0.055,549,consumo,0,0,0
900190,3000394,2026-01-16,806000,18,0.055,469,consumo,0,0,0
900191,3000394,2025-11-07,621000,6,0.0434,471,otros,0,0,0
900192,3000396,2025-09-08,9550000,12,0.035,554,negocio,0,0,0
900193,3000397,2025-03-31,3415000,3,0.0347,468,salud,0,0,0
900194,3000403,2025-10-27,3533000,3,0.0382,594,educacion,0,0,0
900195,3000410,2026-01-14,6261000,36,0.0529,584,consumo,0,0,0
900196,3000411,2025-09-09,1562000,12,0.0487,548,negocio,0,0,0
900197,3000417,2025-01-27,4573000,36,0.055,576,negocio,1,158,1363000
900198,3000419,2025-04-14,7073000,18,0.0465,601,otros,0,0,0
900199,3000420,2025-11-24,4318000,24,0.0446,560,consumo,1,150,991000
900200,3000420,2026-01-28,5666000,12,0.042,581,consumo,1,141,2576000
900201,3000421,2025-08-06,3271000,24,0.0523,487,salud,0,0,0
900202,3000421,2026-01-10,1362000,12,0.053,432,otros,0,0,0
900203,3000424,2025-04-07,11547000,6,0.0435,595,negocio,0,0,0
900204,3000424,2025-02-09,11214000,6,0.0301,658,salud,0,0,0
900205,3000424,2025-02-01,3554000,18,0.0437,575,salud,0,0,0
900206,3000427,2025-08-13,4699000,6,0.046,494,educacion,0,0,0
900207,3000427,2025-09-15,759000,12,0.0423,530,salud,0,0,0
900208,3000428,2025-07-08,1401000,36,0.0538,515,negocio,0,0,0
900209,3000430,2025-07-03,1678000,36,0.055,567,educacion,0,0,0
900210,3000430,2025-08-22,1717000,6,0.0419,540,consumo,0,0,0
900211,3000436,2026-01-18,640000,18,0.0494,520,consumo,0,0,0
900212,3000439,2026-02-06,375000,3,0.0447,464,consumo,0,0,0
900213,3000440,2025-08-17,5395000,18,0.0403,544,consumo,0,0,0
900214,3000446,2025-04-07,3702000,18,0.0406,633,otros,0,0,0
900215,3000450,2025-06-30,2192000,12,0.0379,559,salud,0,0,0
900216,3000450,2025-07-12,4392000,18,0.0497,602,negocio,0,0,0
900217,3000454,2025-11-19,4803000,18,0.0486,581,educacion,0,0,0
900218,3000454,2025-10-03,4993000,18,0.0471,481,consumo,0,0,0
900219,3000454,2025-01-15,4163000,6,0.0335,582,educacion,0,0,0
900220,3000456,2025-04-26,1850000,3,0.0385,556,salud,0,0,0
900221,3000456,2025-10-18,2018000,6,0.0398,592,negocio,0,0,0
900222,3000460,2025-11-19,4091000,3,0.0382,567,consumo,1,151,1772000
900223,3000460,2025-11-14,1371000,6,0.0388,539,negocio,0,0,0
900224,3000461,2026-01-25,4057000,12,0.0298,674,negocio,0,0,0
900225,3000461,2025-07-27,2398000,6,0.0368,567,educacion,1,153,674000
900226,3000471,2025-06-15,3004000,24,0.0504,527,negocio,1,145,1694000
900227,3000473,2025-10-29,9976000,6,0.0379,601,negocio,0,0,0
900228,3000473,2025-01-28,3052000,18,0.0504,547,negocio,0,0,0
900229,3000478,2025-09-30,7613000,24,0.0499,599,consumo,0,0,0
900230,3000485,2026-01-26,5200000,18,0.0424,562,salud,0,0,0
900231,3000485,2025-06-20,4952000,24,0.0541,661,consumo,0,0,0
900232,3000485,2025-12-13,7151000,24,0.0486,607,educacion,0,0,0
900233,3000495,2025-03-08,2874000,36,0.0523,548,consumo,0,0,0
900234,3000495,2025-04-02,4630000,3,0.0303,634,salud,0,0,0
900235,3000496,2025-10-25,2559000,18,0.0503,455,consumo,1,147,1251000
900236,3000504,2025-12-15,3804000,3,0.0401,461,educacion,0,0,0
900237,3000504,2026-01-12,2969000,6,0.0442,508,consumo,0,0,0
900238,3000507,2025-08-08,4398000,12,0.0375,663,negocio,0,0,0
900239,3000507,2025-04-30,2657000,12,0.0416,542,negocio,0,0,0
900240,3000510,2025-12-04,4780000,18,0.044,600,consumo,0,0,0
900241,3000510,2025-10-31,6110000,12,0.0398,641,negocio,0,0,0
900242,3000512,2025-05-17,6273000,12,0.0444,618,educacion,0,0,0
900243,3000513,2025-12-27,1724000,12,0.047,466,consumo,1,149,749000
900244,3000516,2025-11-22,8923000,36,0.0515,577,negocio,1,138,5328000
900245,3000517,2025-04-09,9986000,3,0.0326,614,educacion,0,0,0
900246,3000517,2026-02-21,12008000,6,0.0394,630,educacion,0,0,0
900247,3000519,2026-01-01,8432000,12,0.0432,590,consumo,0,0,0
900248,3000520,2025-12-20,6791000,18,0.0454,623,consumo,0,0,0
900249,3000522,2025-09-23,3495000,12,0.0409,591,consumo,0,0,0
900250,3000524,2025-07-10,3707000,12,0.039,569,consumo,0,0,0
900251,3000524,2025-12-30,1106000,36,0.055,546,educacion,0,0,0
900252,3000526,2025-08-13,6991000,18,0.0361,678,consumo,0,0,0
900253,3000527,2026-02-13,9924000,36,0.0533,613,otros,0,0,0
900254,3000532,2025-12-25,635000,36,0.055,406,consumo,0,0,0
900255,3000535,2025-01-12,2547000,36,0.0486,572,consumo,0,0,0
900256,3000535,2025-10-07,4257000,6,0.0394,522,negocio,0,0,0
900257,3000538,2025-11-04,2175000,3,0.0315,655,consumo,0,0,0
900258,3000544,2026-01-15,4581000,24,0.0469,575,consumo,0,0,0
900259,3000548,2026-02-17,2123000,6,0.0375,554,educacion,0,0,0
900260,3000548,2026-01-23,7697000,6,0.0464,565,negocio,0,0,0
900261,3000550,2026-01-10,4453000,6,0.0385,585,consumo,0,0,0
900262,3000550,2026-01-06,5115000,18,0.0366,540,consumo,0,0,0
900263,3000558,2025-08-16,8101000,12,0.0429,674,consumo,0,0,0
900264,3000558,2025-04-25,13921000,6,0.0341,591,consumo,0,0,0
900265,3000564,2025-09-13,273000,18,0.0492,419,negocio,0,0,0
900266,3000564,2025-01-31,675000,18,0.0535,490,consumo,1,155,318000
900267,3000564,2025-09-06,1340000,36,0.055,517,consumo,0,0,0
900268,3000566,2025-02-02,5176000,6,0.0378,587,salud,0,0,0
900269,3000566,2025-03-27,1765000,6,0.0421,522,consumo,0,0,0
900270,3000577,2025-11-12,10074000,18,0.0436,674,salud,0,0,0
900271,3000578,2025-10-24,4616000,12,0.043,578,consumo,0,0,0
900272,3000587,2025-07-30,3884000,6,0.0447,521,otros,0,0,0
900273,3000587,2025-10-08,7716000,12,0.0417,557,salud,0,0,0
900274,3000588,2025-04-01,649000,3,0.0353,515,consumo,0,0,0
900275,3000590,2025-02-22,4501000,18,0.0387,566,consumo,0,0,0
900276,3000590,2025-09-19,4669000,12,0.044,550,otros,0,0,0
900277,3000593,2026-02-02,9383000,24,0.0427,647,salud,0,0,0
900278,3000597,2025-04-16,3372000,24,0.0483,737,consumo,0,0,0
900279,3000598,2025-05-29,814000,3,0.0353,469,negocio,0,0,0
900280,3000598,2025-07-03,878000,18,0.0515,454,negocio,1,158,512000
900281,3000601,2025-04-11,1509000,18,0.0472,505,otros,1,154,319000
900282,3000601,2025-01-27,1977000,12,0.045,492,negocio,0,0,0
900283,3000603,2025-12-29,4387000,12,0.0421,640,otros,0,0,0
900284,3000606,2025-08-26,2265000,18,0.0497,503,consumo,0,0,0
900285,3000606,2026-01-23,3293000,24,0.0433,559,negocio,0,0,0
900286,3000607,2025-10-04,4397000,3,0.0359,525,otros,0,0,0
900287,3000607,2026-01-13,4931000,24,0.055,554,otros,0,0,0
900288,3000608,2025-10-15,4614000,36,0.0507,641,consumo,0,0,0
900289,3000608,2025-05-03,3137000,6,0.0374,474,negocio,0,0,0
900290,3000614,2026-02-14,3361000,12,0.0502,458,educacion,0,0,0
900291,3000616,2026-01-28,11291000,12,0.0369,646,negocio,0,0,0
900292,3000616,2026-01-31,2793000,6,0.032,600,consumo,0,0,0
900293,3000617,2025-03-04,4241000,12,0.0501,549,salud,1,160,1897000
900294,3000618,2025-06-28,2839000,18,0.0401,598,consumo,1,161,1240000
900295,3000624,2026-01-15,4884000,36,0.055,605,educacion,0,0,0
900296,3000624,2025-06-04,7151000,12,0.0396,528,educacion,0,0,0
900297,3000627,2025-03-15,4815000,6,0.0418,608,salud,0,0,0
900298,3000629,2025-08-24,7649000,18,0.0417,595,otros,1,150,2306000
900299,3000635,2025-04-16,682000,12,0.0464,583,consumo,0,0,0
900300,3000635,2025-03-18,1926000,12,0.0353,518,consumo,0,0,0
900301,3000642,2025-11-15,2315000,18,0.044,490,consumo,0,0,0
900302,3000645,2026-01-22,2079000,12,0.0439,510,educacion,0,0,0
900303,3000645,2026-01-06,732000,12,0.0435,542,consumo,0,0,0
900304,3000647,2025-09-11,1329000,18,0.0481,470,otros,0,0,0
900305,3000655,2026-01-10,3508000,12,0.0431,502,consumo,1,156,1983000
900306,3000656,2025-10-28,3074000,12,0.0386,590,negocio,0,0,0
900307,3000657,2026-02-11,3281000,3,0.0406,467,consumo,0,0,0
900308,3000657,2026-02-15,1868000,24,0.055,596,consumo,0,0,0
900309,3000659,2025-10-06,1544000,18,0.0536,467,educacion,0,0,0
900310,3000659,2025-10-21,2051000,3,0.0368,553,educacion,0,0,0
900311,3000661,2025-12-17,5323000,6,0.038,599,consumo,0,0,0
900312,3000661,2025-12-04,3624000,12,0.0481,512,consumo,0,0,0
900313,3000665,2025-06-09,812000,12,0.0513,475,consumo,1,167,444000
900314,3000666,2026-02-10,16276000,6,0.0381,548,consumo,0,0,0
900315,3000666,2026-02-22,20570000,18,0.0504,631,educacion,0,0,0
900316,3000667,2025-03-13,5744000,24,0.044,552,otros,1,156,3089000
900317,3000675,2026-02-24,2187000,24,0.0486,570,consumo,0,0,0
900318,3000675,2026-02-23,2152000,3,0.0348,510,negocio,0,0,0
900319,3000685,2025-05-25,5703000,36,0.055,587,negocio,0,0,0
900320,3000685,2025-11-13,2268000,12,0.0507,625,negocio,0,0,0
900321,3000685,2025-07-08,3249000,3,0.0335,571,negocio,0,0,0
900322,3000689,2026-01-19,6575000,12,0.0385,608,educacion,0,0,0
900323,3000690,2025-05-13,4278000,24,0.0536,503,salud,0,0,0
900324,3000693,2025-02-28,1191000,18,0.0417,627,consumo,0,0,0
900325,3000693,2025-07-01,5558000,3,0.0326,588,consumo,0,0,0
900326,3000694,2025-05-06,1709000,12,0.0369,602,educacion,0,0,0
900327,3000694,2025-10-11,4040000,24,0.0434,590,educacion,0,0,0
900328,3000696,2025-08-04,3619000,3,0.0341,497,consumo,0,0,0
900329,3000696,2025-09-22,8200000,12,0.0454,604,otros,0,0,0
900330,3000698,2025-08-24,11713000,3,0.0297,618,negocio,0,0,0
900331,3000709,2025-04-03,1670000,12,0.0497,483,consumo,0,0,0
900332,3000713,2025-08-01,7693000,18,0.0539,550,otros,0,0,0
900333,3000716,2025-10-26,2440000,18,0.0419,594,negocio,0,0,0
900334,3000722,2025-07-20,6056000,36,0.0476,662,salud,0,0,0
900335,3000723,2025-12-18,14118000,12,0.0355,620,consumo,0,0,0
900336,3000729,2026-02-14,2292000,12,0.0454,426,salud,1,157,905000
900337,3000729,2026-02-17,1295000,18,0.0422,550,educacion,0,0,0
900338,3000731,2025-03-24,1337000,12,0.0411,610,consumo,0,0,0
900339,3000740,2025-08-08,2032000,12,0.0345,697,otros,0,0,0
900340,3000741,2025-03-05,7612000,18,0.0424,636,negocio,0,0,0
900341,3000741,2025-06-05,2931000,18,0.0455,545,educacion,0,0,0
900342,3000743,2026-02-22,8257000,18,0.0436,625,otros,0,0,0
900343,3000744,2025-12-25,1429000,18,0.0434,554,salud,0,0,0
900344,3000746,2026-01-15,2393000,18,0.0386,557,consumo,0,0,0
900345,3000749,2026-02-26,4518000,3,0.0385,584,negocio,0,0,0
900346,3000749,2025-06-16,3440000,6,0.0478,533,consumo,0,0,0
900347,3000755,2025-09-30,5808000,24,0.041,664,negocio,1,156,3220000
900348,3000757,2025-08-06,1348000,12,0.0467,463,negocio,1,150,656000
900349,3000762,2025-11-28,2291000,24,0.0523,514,consumo,0,0,0
900350,3000762,2025-12-03,6330000,12,0.0379,589,educacion,0,0,0
900351,3000766,2025-06-30,2467000,12,0.0443,607,negocio,0,0,0
900352,3000766,2025-12-01,1486000,3,0.0415,618,salud,0,0,0
900353,3000766,2025-10-12,4481000,12,0.035,542,consumo,0,0,0
900354,3000767,2026-02-02,2378000,6,0.0416,597,otros,0,0,0
900355,3000767,2026-02-10,917000,12,0.0402,603,consumo,0,0,0
900356,3000769,2025-11-23,6273000,12,0.04,594,consumo,0,0,0
900357,3000772,2025-10-14,1609000,24,0.055,485,negocio,0,0,0
900358,3000775,2025-12-30,5738000,12,0.0409,548,educacion,0,0,0
900359,3000782,2025-04-22,576000,36,0.055,467,salud,0,0,0
900360,3000783,2026-01-19,7264000,12,0.0453,510,negocio,0,0,0
900361,3000783,2026-02-02,2842000,6,0.0393,654,educacion,0,0,0
900362,3000785,2025-07-30,699000,36,0.0507,635,otros,0,0,0
900363,3000786,2026-02-27,5960000,24,0.0494,542,consumo,0,0,0
900364,3000786,2025-07-20,3756000,18,0.0432,650,otros,0,0,0
900365,3000786,2025-04-10,2616000,12,0.0423,600,consumo,0,0,0
900366,3000789,2025-09-20,1115000,12,0.0356,602,consumo,0,0,0
900367,3000791,2025-12-28,5758000,24,0.0529,463,salud,0,0,0
900368,3000791,2026-01-19,1013000,6,0.0449,462,salud,0,0,0
900369,3000792,2025-07-09,2309000,12,0.0395,569,negocio,0,0,0
900370,3000795,2025-05-02,4956000,18,0.039,624,salud,0,0,0
900371,3000797,2025-04-15,9278000,36,0.0501,656,educacion,0,0,0
900372,3000798,2025-06-21,3100000,3,0.0371,579,educacion,1,156,1679000
900373,3000798,2025-08-17,10457000,36,0.0548,637,consumo,1,144,5377000
900374,3000799,2025-10-02,2355000,36,0.055,571,negocio,0,0,0
900375,3000799,2025-08-12,446000,12,0.0432,548,educacion,1,144,192000
900376,3000805,2025-10-22,16272000,12,0.0434,581,consumo,0,0,0
900377,3000806,2025-08-23,2983000,36,0.055,707,negocio,0,0,0
