track_id,track_name,artist,album,genre,release_year,duration_ms,explicit,key,mode,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,tempo,popularity,streams
qCVOGnJ4wN,Track_09,Anuel AA,Anuel_AA_02,reggaeton-pop,2017,167402,0,9,1,0.923501848964217,0.752380504777751,0.623229696802231,0.0196695133805239,0.00647475330289538,0.00154204310281802,0.0678623772086255,140.918128636042,98,401530
Xd62lx6O1P,Track_01,Anuel AA,Anuel_AA_03,reggaeton,2020,223214,0,0,0,0.668435152559702,0.611256118918389,0.664970108475617,0.184605643178382,0.0188864143026394,0.161837945575221,0.0473343413589524,111.597930625634,61,239629
CuEyGWwuwI,Track_02,Anuel AA,Anuel_AA_03,reggaeton,2020,184727,1,1,0,0.915087910051675,0.73886629599949,0.612818852618087,0.0660514915368715,0.00900044740949159,0.241802662657921,0.0303023101051984,128.574381475456,20,69354
lB65VZgFRX,Track_03,Anuel AA,Anuel_AA_03,reggaeton,2020,231960,1,7,0,0.272438359052766,0.449104503829114,0.481104300297568,0.237202855676997,0.0367937416768099,0.0371631564444809,0.254363290150069,63.6991364312877,82,216121
ZvA260vkbN,Track_04,Anuel AA,Anuel_AA_03,reggaeton,2020,234582,1,8,0,0.660757990480586,0.637647526172292,0.639211639210522,0.188934597782019,0,0.250972621806583,0.113446800445316,88.4782552677183,98,812084
LKcdyrdPvR,Track_05,Anuel AA,Anuel_AA_03,reggaeton,2020,174437,0,7,0,0.798360292874159,0.698237365236962,0.573213961345933,0.0496651200353039,0.00987374283509574,0.223048811680346,0.0554216914437976,103.285505278146,70,495554
u1LFmIFT4E,Track_06,Anuel AA,Anuel_AA_03,reggaeton,2020,204166,0,11,0,0.820048752927311,0.836510207708247,0.558965725755989,0.0243989369270065,0.0154651735545607,0.163290070239752,0.0241249347292592,144.011619454227,64,101938
74RyxnXSDE,Track_07,Anuel AA,Anuel_AA_03,reggaeton,2020,175678,0,10,1,0.873648766581624,0.838355915783333,0.644105334870204,0.0579577068729118,0.0171459935608369,0.132681822511015,0.155413898317269,140.376938864796,89,416344
aGkY699z1b,Track_08,Anuel AA,Anuel_AA_03,reggaeton,2020,211134,0,3,0,0.764934489286544,0.699493074127997,0.48530493910697,0.0680700426945701,0.0358118806717729,0.108835543417203,0.061536492754422,87.5409816566136,88,157952
097Avg0dpS,Track_01,Anuel AA,Anuel_AA_04,reggaeton,2023,233165,1,6,1,0.82065390423035,0.799168052008509,0.56610560949547,0,0,0.09106990899798,0.0155603744611571,104.161893470946,62,106647
ThSG01EsvP,Track_02,Anuel AA,Anuel_AA_04,reggaeton,2023,219550,0,8,1,0.77087795590278,0.783298449941624,0.452684747410228,0.0477996070266779,0.00795561174933628,0.199084091766159,0.0717865205091788,101.144147943552,57,49477
9MNYJmufIp,Track_03,Anuel AA,Anuel_AA_04,reggaeton,2023,209595,0,4,1,0.847372196526059,0.860105216162262,0.457363087139295,0.115768849118529,0.0164484351446081,0.140405828657052,0,98.4475863140769,72,53154
bWaJdNanIC,Track_04,Anuel AA,Anuel_AA_04,reggaeton,2023,207856,0,6,0,0.737508629610638,0.910183307036267,0.36817800015572,0.129875495872064,0.0154524564142017,0.0615210884824879,0.0555507720847452,97.5388029229999,68,84104
VAGcLjE2ym,Track_05,Anuel AA,Anuel_AA_04,reggaeton,2023,222199,1,4,0,0.810944130412931,0.752390889126217,0.73608386467189,0.0903641703884312,0.014674175749677,0.0443645848886861,0.029339049941282,102.770150406999,85,177622
rVjQArDvp7,Track_06,Anuel AA,Anuel_AA_04,reggaeton,2023,206936,0,3,1,0.860966147873644,0.626515344055211,0.588072518725614,0.0313879116876916,0.00991486551961983,0.217904191100748,0.102785254667697,109.01776996677,59,105508
lqAGyYVgZY,Track_07,Anuel AA,Anuel_AA_04,reggaeton,2023,201059,0,7,0,0.85115315250971,0.711586004032726,0.509139039570121,0.0194089098323506,0.017320692379742,0.173612110419109,0.113915954869338,105.453570520917,20,30179
G4xIBwoZsC,Track_08,Anuel AA,Anuel_AA_04,reggaeton,2023,217101,0,2,1,0.726222936041276,0.732799600751447,0.588004020148761,0.140848649488011,0,0.280435960790668,0.127985494570196,107.512050587889,67,74957
WF7r3dcB3V,Track_09,Anuel AA,Anuel_AA_04,reggaeton,2023,197038,0,7,0,0.829105325724188,0.849408094969252,0.410223900095142,0.0376353330886671,0.0280445806514717,0,0.0628050724647492,109.292046459883,93,534864
KilxFBoLQq,Track_10,Anuel AA,Anuel_AA_04,reggaeton,2023,225051,0,7,0,0.828522769886665,0.730339117239055,0.580141790136104,0.068204732598833,0.0111366111497023,0.0922070804712182,0.127542595433533,106.359617668729,98,268703
TKuvSqs3Tf,Track_11,Anuel AA,Anuel_AA_04,reggaeton,2023,209361,1,2,1,0.826836308638238,0.723662345380211,0.587535190855148,0.135556533838241,0,0.0215679985555001,0.0967790360155968,105.142474169439,85,430280
d4Z4cWcWfU,Track_12,Anuel AA,Anuel_AA_04,reggaeton,2023,206555,1,11,1,0.755075374113262,0.665875426104181,0.556345399658472,0.168372173500241,0.0105275032714537,0.160972603996997,0.114528104622326,99.4061607713823,26,71060
l6h6w9O5eT,Track_01,Bad Bunny,Bad_Bunny_01,reggaeton,2016,196085,0,11,0,0.708653130181381,0.630047102240161,0.569339986822425,0.101478687089217,0.00940800565983161,0.109051049735743,0.0443142859487371,115.778480557805,70,198254
1xASYmC8HP,Track_02,Bad Bunny,Bad_Bunny_01,reggaeton,2016,207405,0,6,1,0.661740437505889,0.789700619394226,0.480476834528329,0.0914873833496805,0.0145798177784278,0.0184305989528011,0.125962212586411,103.14660809097,65,323954
CiZMXmiktG,Track_03,Bad Bunny,Bad_Bunny_01,reggaeton,2016,205973,0,6,1,0.77654509758661,0.784963398010868,0.440812651448136,0.0165550106076712,0.00473323569371857,0.166227507056183,0.0478070681359527,102.252696161677,40,48801
SD8zdQoVUT,Track_04,Bad Bunny,Bad_Bunny_01,reggaeton,2016,192225,1,6,0,0.789385743946165,0.694106590973829,0.466264711410859,0.18708661791349,0.00960060322362277,0.0708801847144071,0.0619323904114993,114.612555627274,80,178652
rHUAr77oCA,Track_05,Bad Bunny,Bad_Bunny_01,reggaeton,2016,213386,1,6,1,0.844410651042094,0.840388228196918,0.637983821786872,0.0409363094656102,0.0276135038908316,0,0.0673918604693776,100.990298329602,79,506851
rkwv9siRKI,Track_06,Bad Bunny,Bad_Bunny_01,reggaeton,2016,197952,0,11,1,0.915704563751858,0.730203739822159,0.718625372739574,0.0914507504801362,0.016174201441298,0.0745069636881214,0.132580420739388,143.294814581037,98,901792
T8xUwPDYRG,Track_07,Bad Bunny,Bad_Bunny_01,reggaeton,2016,189873,0,4,0,0.816991068929218,0.718817633315298,0.518286850307838,0.0876727307505528,0.0035025400350921,0,0.0951066136448768,97.8526426935211,20,14437
Wj9l8rQzGZ,Track_08,Bad Bunny,Bad_Bunny_01,reggaeton,2016,215092,0,9,1,0.789018034245695,0.852104384185616,0.620174251055153,0.0811020159333515,0.00914892168204388,0.113873285734654,0.0879802600614907,93.3504744717982,44,268587
LAMCcr8i0g,Track_01,Bad Bunny,Bad_Bunny_02,trap latino,2017,228760,1,8,1,0.83981845577173,0.82714213766161,0.582377421486556,0.0877526617437158,0.0195382663630385,0.133414729752071,0.0902001498228384,94.615165843872,98,306920
SoEXalCRmr,Track_02,Bad Bunny,Bad_Bunny_02,trap latino,2017,193011,1,3,0,0.878075078091243,0.75506239407511,0.416949921289249,0.050530249918411,0.0164852010924689,0.244247860739344,0.101887127238505,127.302122290035,75,70976
Vtj69SPbdE,Track_03,Bad Bunny,Bad_Bunny_02,trap latino,2017,251165,1,11,1,0.676244486819234,0.634354212970618,0.0941175703073989,0.185724501468937,0.0155101578900841,0.112618322461205,0.14674724668834,84.9643197482902,57,78455
Scww1Em5V6,Track_04,Bad Bunny,Bad_Bunny_02,trap latino,2017,217887,1,4,1,0.617565777818936,0.557922289066466,0.313244597705524,0,0.014432352649843,0.0618196367655149,0.12198751635384,70.1359809171162,20,32273
prSA0mfdPk,Track_05,Bad Bunny,Bad_Bunny_02,trap latino,2017,191763,1,2,0,0.554667508684954,0.709404005439662,0.487465446026296,0.103739756822433,0,0.284753809093163,0.0338155687905704,67.7227175012938,95,389175
93F8WIzHZb,Track_06,Bad Bunny,Bad_Bunny_02,trap latino,2017,233564,1,9,1,0.754464473525332,0.537257487881522,0.27261935695144,0.167020553753436,0.0239526725183376,0.0579903274666365,0.0863420927729422,173.602523717471,95,965256
AVyOKrCl6b,Track_07,Bad Bunny,Bad_Bunny_02,trap latino,2017,185197,0,4,1,0.598431640477863,0.342904484558682,0.270371963947704,0.104921029425713,0.0298041333710743,0.185939342375615,0.123498723175474,88.8685417460247,66,420419
FYyfooltYG,Track_08,Bad Bunny,Bad_Bunny_02,trap latino,2017,237783,0,3,0,0.611438992263833,0.45240023092703,0.585228511613821,0.0998724778936838,0.00942895153044962,0.0926987076743022,0.17615358434404,154.250081288486,96,444550
mF58gmTk6H,Track_01,Bad Bunny,Bad_Bunny_03,reggaeton,2019,214226,0,1,1,0.960201942291563,0.827025691512228,0.618079397779824,0.00988954479361061,0.00804384627918407,0.0111021551428678,0.0877056376241295,141.192458523644,98,1406319
EtEQiOqARU,Track_02,Bad Bunny,Bad_Bunny_03,reggaeton,2019,191155,0,0,0,0.862401220066605,0.913376801038008,0.326396730004434,0.080335515679261,0.00797338345876491,0.083086615280499,0.120800352456424,142.483851588395,53,81820
QRwWofbojc,Track_03,Bad Bunny,Bad_Bunny_03,reggaeton,2019,172578,0,5,1,0.766337786845838,0.860807484067971,0.509065037783003,0,0.0213196428939486,0.242042950604819,0.140632217505137,139.549822954544,58,353027
yqYrY0uMgi,Track_04,Bad Bunny,Bad_Bunny_03,reggaeton,2019,214287,0,2,0,0.986878027618727,0.849835548078278,0.319650116923864,0.136698762569235,0.0204484016061832,0.208983068874561,0.0959641493957947,100.869695107931,20,16076
08tAUbUKQ2,Track_05,Bad Bunny,Bad_Bunny_03,reggaeton,2019,201783,0,1,1,0.820135193117284,0.78404304005449,0.741693875298798,0.0869686903943836,0.0260634752391947,0.0553051338107804,0.0293724613104819,109.327357002848,28,76172
koACFenepw,Track_06,Bad Bunny,Bad_Bunny_03,reggaeton,2019,199677,1,1,1,0.896820942996365,0.732923166952082,0.662695192226021,0.102675717050879,0.0111917823416888,0.0596612291694783,0.103519298267772,100.382372489388,46,128394
GZskFskLS3,Track_07,Bad Bunny,Bad_Bunny_03,reggaeton,2019,211792,1,0,0,0.862906702552282,0.817945387737893,0.398697814323661,0.106164320556497,0.00828830418796863,0.197321561944798,0.0932622614879431,107.865921248044,53,136950
kYeux4WqzT,Track_08,Bad Bunny,Bad_Bunny_03,reggaeton,2019,218102,0,5,1,0.713170266369629,0.694219763063927,0.741390810005518,0.17635926684814,0.00822619164757953,0.163232479758263,0.0162860717598431,118.330500299382,42,123939
cXOMWqzvDw,Track_09,Bad Bunny,Bad_Bunny_03,reggaeton,2019,170469,0,0,1,0.785433873090135,0.704479090134816,0.541142504543825,0,0.00464305979273455,0.046803295809899,0.110590865855414,87.6476944801638,44,96926
5AxmUL9Aae,Track_10,Bad Bunny,Bad_Bunny_03,reggaeton,2019,206580,0,7,0,0.67038080896136,0.722771880814336,0.62874375252776,0.185728647145732,0.0170489806899413,0.00198928724799111,0.10677139127732,114.177409267782,29,54201
zUNmDxJqDF,Track_11,Bad Bunny,Bad_Bunny_03,reggaeton,2019,204278,1,10,0,0.730856982419323,0.777498778075364,0.570337392073329,0.0477082237732528,0.00920472111728776,0.107136478500495,0.0576474129623242,92.9581659244437,43,31863
JYcvgsX3Fp,Track_12,Bad Bunny,Bad_Bunny_03,reggaeton,2019,225569,0,2,0,0.759837577768457,0.903129293493287,0.307830073397658,0.0261341770845328,0.000986394529512014,0,0.139387753802711,106.20221992078,39,161732
zMNGT8zNwk,Track_13,Bad Bunny,Bad_Bunny_03,reggaeton,2019,224716,0,11,1,0.730376702171984,0.689041499091343,0.880262198323135,0.106087100591956,0.000375346488641444,0.166593366613995,0.0433648822961082,112.170952628775,42,171826
6vxYGT5QEp,Track_14,Bad Bunny,Bad_Bunny_03,reggaeton,2019,207673,0,11,0,0.89609258112003,0.629859626261871,0.729145166724737,0.130962145387664,0.0205115476204457,0.16938435169729,0.148928612598941,116.451367478945,84,274029
sTaJSepewl,Track_01,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,200314,0,2,0,0.807758025914814,0.710946347773477,0.504377660127203,0.156613718385458,0.0155933308130621,0.0486231966781133,0.086661715683055,99.9451230806947,61,222355
RBUROwWJiM,Track_02,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,208671,0,3,1,0.738946477589765,0.673954516809066,0.594707858309547,0.177565085830399,0.0116518785360755,0.0917434339430803,0.0859441560320605,120.589521254587,49,135589
xj9GGsIfmX,Track_03,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,267256,1,1,1,0.639500799189139,0.621330824827042,0.381433184621851,0.205160520869176,0.0545631250786627,0.230874229856226,0.0932875530975194,157.094361587092,72,726758
k3bMgyBOUk,Track_04,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,227405,0,6,1,0.799723240068222,0.92246961866804,0.620867579414481,0,0.00822921195898815,0.021204706089444,0.0997465723368941,112.782536315107,68,233258
XBz3rlhvJ3,Track_05,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,189824,0,2,0,0.761237195049658,0.703565995196212,0.735432710600884,0.08379920760848,0.00460427092365222,0.227353811942751,0.13217202095318,105.910659844656,54,48458
fnLdnMCxw9,Track_06,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,197064,1,8,1,0.641468976530005,0.54814959782263,0.56911261456377,0.134196227099708,0.0080566595057072,0.171196092230836,0.125054018244987,93.2975202830583,57,49820
sSjky8SrPS,Track_07,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,209286,1,0,0,0.50041702613819,0.535476508260987,0.348551293484774,0.122771269319893,0.0496198039495236,0.236666005839204,0.227374821517885,172.352596229183,20,27901
pt9UrEu5h5,Track_08,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,205934,1,7,0,0.725497252329001,0.668991890624728,0.6548584797126,0.127511560505612,0,0.0978027869435084,0.0477274311280584,108.25561273784,30,56274
WRW1W3UysQ,Track_09,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,177295,1,9,1,0.930422147983717,0.766046020412505,0.254488580433025,0.0970017075644663,0.00191834893209546,0.120914586551151,0.129876774716585,108.898261904559,98,1245104
LujwWXqVwZ,Track_10,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,210791,1,2,1,0.801036292661028,0.760913303155833,0.770862232993158,0.0738915548028728,0.00749230101500991,0.065898449302135,0.113497432130137,92.5604078409579,93,149318
rkhmz10WLj,Track_11,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,225547,1,4,0,0.820795833907209,0.724428883153331,0.580389581555938,0.0606231905272631,0.00792798442842301,0.0264892797315702,0.067391380193198,101.873749219565,87,167039
mQFabonRRw,Track_12,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,195249,0,11,0,0.749010198798265,0.791234717100544,0.834833270426278,0.0637888171790481,0.0105532339363837,0.0599473253692154,0.039672846834431,105.885641854947,73,190357
pfF3XQXiSZ,Track_13,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,184529,1,4,1,0.817712231218713,0.702690155900087,0.976220451589607,0.0827967791242465,0.00693265341641711,0.257509577520809,0.0414629093445174,110.368631219493,74,352312
K501vTGkpE,Track_14,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,238478,0,7,1,0.72815329526501,0.589840663565416,0.594432366230443,0.0617979845347545,0,0.0882993311902057,0.109471737052778,104.450998540674,64,948994
me2igpEiab,Track_15,Bad Bunny,Bad_Bunny_04,reggaeton-pop,2020,223251,0,6,1,0.567609899386891,0.448453536098699,0.294423503000923,0.155239974905829,0.013249354661115,0.146429026962297,0.194325356067293,160.907493020451,58,83672
ecYkrIOZ6e,Track_01,Bad Bunny,Bad_Bunny_05,trap latino,2021,196494,0,7,1,0.769897900592255,0.609736381083313,0.293497913298412,0.0826870041260293,0.0234802701558341,0.217708903201481,0.0764377820481813,151.563287222604,20,34714
FSV8WrGxzy,Track_02,Bad Bunny,Bad_Bunny_05,trap latino,2021,224903,1,8,1,0.49531910228955,0.64249642796392,0.194824336210172,0.0622970446771869,0.00390572454375308,0.139087568370222,0.0170265032275975,162.482193956969,65,107714
woVQyRKNZO,Track_03,Bad Bunny,Bad_Bunny_05,trap latino,2021,245433,1,9,1,0.510985626477152,0.506763091528172,0.547233487007952,0.160253472967038,0.00590324113506687,0.330432935954741,0.059835317813178,86.916475911098,40,97005
xTB1qVSaeA,Track_04,Bad Bunny,Bad_Bunny_05,trap latino,2021,178916,0,5,1,0.858642679679199,0.848693860801541,0.572557716409032,0.116740196411681,0.013592877234206,0.280451661553826,0.0708646808656767,144.880892744321,98,218059
826MH0lxtk,Track_05,Bad Bunny,Bad_Bunny_05,trap latino,2021,232812,0,11,1,0.768243655605361,0.614801992995589,0.476341125319772,0.119109616450913,0.0236575910645927,0.131148541976927,0.188114204164587,73.7176428442555,74,602309
4ATVPQL3kB,Track_06,Bad Bunny,Bad_Bunny_05,trap latino,2021,239171,1,10,0,0.777074872234045,0.544365594417267,0.114870335119966,0.0773256219761069,0.031865138245011,0.300338721999315,0.132495409616344,165.544331471939,39,70534
nph7fE1Edt,Track_07,Bad Bunny,Bad_Bunny_05,trap latino,2021,255484,0,8,0,0.577028752165652,0.672962819759387,0.304366703785933,0.144398420161763,0.00981252249620128,0.227782445730895,0.150059123736121,158.218469911208,80,767308
RQ2iemLLV8,Track_08,Bad Bunny,Bad_Bunny_05,trap latino,2021,235719,0,0,1,0.891448083036716,0.801541943199742,0.632282296208681,0.0715289418820662,0,0.224830719512744,0.0695959943996877,103.709563954382,93,229058
mZoMOvbItN,Track_09,Bad Bunny,Bad_Bunny_05,trap latino,2021,192614,1,0,1,0.573804752865343,0.520544986030961,0.522513070236736,0.0820521112472602,0.0302428557617124,0.192398451758658,0.101923258714449,79.353408227405,91,1099314
VkhFHUDgPL,Track_10,Bad Bunny,Bad_Bunny_05,trap latino,2021,212974,0,6,0,0.693154038916833,0.599519826239098,0.661184374782299,0,0,0.207808948392569,0.0791919003158766,111.748352007579,78,465086
c6DcNOA1Pb,Track_11,Bad Bunny,Bad_Bunny_05,trap latino,2021,232096,1,11,0,0.600289976672113,0.463923762019071,0.422200704246204,0.120509732797953,0,0,0.156072181884615,59.7744370042837,33,63676
fYq2xIqQWH,Track_12,Bad Bunny,Bad_Bunny_05,trap latino,2021,220849,1,2,1,0.635367559893791,0.738388172703209,0.456792034514307,0.210013168074476,0.000649704928805749,0.243238935450673,0.130984720058779,177.898621371554,83,996194
Mhl3JAvK9v,Track_13,Bad Bunny,Bad_Bunny_05,trap latino,2021,241251,0,10,1,0.551674815456844,0.506911634277463,0.297081765512532,0.0251727513807036,0.0214667772412453,0.176101147000787,0.163312193038882,150.675320529812,59,120492
DR299wTPbh,Track_14,Bad Bunny,Bad_Bunny_05,trap latino,2021,217297,0,7,1,0.654063750718877,0.582975241319285,0.538456462699561,0.245443799533798,0.054216384321973,0.136857106606254,0.115243388136893,73.4574246884959,47,105307
Craebu9DBw,Track_15,Bad Bunny,Bad_Bunny_05,trap latino,2021,181909,0,3,1,0.790068489192398,0.825663361722565,0.793980158229084,0.124114954890126,0.00596768495537217,0.242696831595617,0.0848346039034944,134.784731132016,89,504833
L8tc2Xd50b,Track_01,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,215664,0,8,0,0.867164985554346,0.779323552138462,0.586704343397418,0.223903436027208,0.020882273784775,0.0873655783636076,0.0896847785808112,107.956351649694,98,815101
3wQpJsFPRp,Track_02,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,189592,0,1,0,0.812312136892257,0.858907372122676,0.636072726282039,0.000377936976846183,0.01256480536921,0.0925929793254255,0.115329094151405,142.023648732439,39,31255
Q0f6DQrXeh,Track_03,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,229499,1,8,1,0.719917524923386,0.5852288718006,0.543271382820761,0.100994407067627,0.0181232232841893,0.18672797448553,0.0651803578364472,109.08447020812,34,18388
6lnKpJ1M6H,Track_04,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,232883,0,4,0,0.790937744397736,0.833469451935642,0.729729597537412,0.0174529083289835,0,0.0620945104515778,0.0660147521165141,110.892649998876,28,30677
2RvongMKfF,Track_05,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,233294,1,7,1,0.798503653055776,0.680817926584973,0.665567419910921,0.138308452111546,0.00656394097697934,0.246138544745533,0.121195784361624,117.321851779414,26,29901
sSWPltV0LA,Track_06,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,215687,1,10,0,0.668133039401709,0.802507260984609,0.755993460551981,0.114035099068892,0.0126444189867883,0.174593593711538,0.108928886158017,106.708059413887,80,187789
rjykgF4PHx,Track_07,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,205378,0,6,0,0.729391798894544,0.688901058290458,0.810051212443778,0.0530525820663245,0.0248678485881824,0.234709743966395,0.0585196348013566,93.6627339501474,86,126809
M89xfcQq0I,Track_08,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,194575,0,3,0,0.774579921207267,0.867460162899214,0.533239893105099,0.109349785135409,0.0208204886247428,0.239975844410968,0.0329913679433303,139.592038326834,71,179535
w8oejfTKiB,Track_09,Bad Bunny,Bad_Bunny_06,reggaeton-pop,2024,225649,1,4,1,0.689364948358923,0.479947941444246,0.480878777015937,0.0611010985261743,0.00742550822547263,0.175146353303576,0.126878245298108,76.7643760362846,20,41463
0vsjrrCqjn,Track_01,Becky G,Becky_G_01,reggaeton-pop,2016,248503,0,7,0,0.623844125495471,0.547090685797024,0.450080055928571,0.105414454460566,0.052465719675929,0.0866147109455316,0.179992216014096,173.195845256567,43,17988
Lphr7F9OgX,Track_02,Becky G,Becky_G_01,reggaeton-pop,2016,250327,1,1,1,0.755106396912222,0.693496783955713,0.776968038221702,0.157856019531892,0.00143924641084315,0.240278743680426,0.028359944995966,112.404870329604,62,307568
8CRzz5YY6D,Track_03,Becky G,Becky_G_01,reggaeton-pop,2016,201812,0,8,0,0.694336211491437,0.750415882404252,0.518697914391302,0.0469444118849367,0.00823403715508531,0.253581157253679,0.103414109228052,95.2404950051668,76,693651
fXlZDTk0T0,Track_04,Becky G,Becky_G_01,reggaeton-pop,2016,200810,0,8,1,0.932364204172026,0.937625106786434,0.696621717054939,0.108595599126338,0.00721492358672538,0.143307822004338,0.0527825523447777,105.542233633917,96,1334075
elIB1XRmnQ,Track_05,Becky G,Becky_G_01,reggaeton-pop,2016,248284,0,7,0,0.647517954666688,0.572034467180711,0.677417695860992,0,0.0308945649984786,0.232970821472634,0.0772226819513423,150.712503179954,98,1179951
8EVPMwbwSy,Track_06,Becky G,Becky_G_01,reggaeton-pop,2016,236765,0,2,1,0.871604116062329,0.645281606781533,0.772602432879922,0.0835197599730947,0.0302384147438234,0.159364936894566,0.158753657554659,113.64227326967,40,77773
IvR321YW6Q,Track_07,Becky G,Becky_G_01,reggaeton-pop,2016,221355,0,4,0,0.826393683099997,0.790562006792119,0.410905807046992,0.119574274592857,0.0108773959082127,0,0.0541227068125241,105.518447354123,74,287600
z4K1ttqx9b,Track_08,Becky G,Becky_G_01,reggaeton-pop,2016,193659,0,4,1,0.760119833909401,0.707055076858985,0.762456785246864,0.0460096546150438,0.00932353578306655,0.0842381161631356,0.0972483716528218,115.342161857524,72,225205
