"antiguedad_meses","factura_mensual","reclamos_6m","minutos_soporte","plan_premium","fuga"
29,87.3,1,27,1,"Si"
25,71,0,26,1,"No"
21,75.7,0,35,1,"No"
47,84.8,0,13,0,"No"
19,104.4,1,22,1,"No"
40,59.5,1,19,0,"No"
22,56.3,3,11,1,"No"
16,90.5,1,20,1,"No"
42,99.1,0,7,0,"No"
19,92.5,1,8,1,"No"
34,53.2,2,26,1,"No"
6,50.6,2,3,1,"No"
27,59.9,2,15,1,"Si"
17,73.7,1,15,0,"Si"
40,63.2,2,37,0,"No"
12,105.3,1,32,0,"Si"
21,82,0,30,1,"No"
30,80.4,0,4,0,"No"
36,91.1,2,18,0,"No"
1,51.2,1,4,0,"Si"
15,55.8,0,19,0,"No"
40,40.9,2,21,1,"No"
26,35,1,7,0,"No"
37,65.7,2,0,1,"No"
28,82.2,3,5,0,"Si"
28,42.8,1,16,1,"No"
37,82.8,0,2,0,"No"
16,95,1,56,1,"Si"
25,81,2,25,0,"No"
32,78.8,2,26,0,"Si"
12,105.1,0,9,1,"No"
22,92.8,1,27,0,"Si"
43,104,1,14,0,"No"
4,42.6,0,9,0,"No"
24,127.2,4,25,0,"Si"
27,64.6,1,6,0,"No"
21,64.7,2,8,0,"No"
27,61.7,1,36,0,"No"
25,82.2,2,11,1,"No"
13,112.5,1,8,0,"Si"
43,103.2,0,17,0,"No"
31,91.4,0,14,1,"No"
13,88.5,2,24,0,"No"
27,64.7,4,20,1,"Si"
37,59.1,0,27,0,"No"
18,103.1,0,27,1,"No"
14,30,0,35,1,"No"
38,58.2,1,4,1,"No"
20,69.6,0,23,0,"No"
40,60.6,0,20,1,"No"
51,46.7,3,12,0,"No"
17,125.6,3,16,1,"Si"
8,81.6,0,41,0,"Si"
64,76.9,0,20,1,"No"
31,67.9,0,27,0,"No"
45,63.4,1,22,0,"No"
7,90.6,0,36,0,"Si"
69,79.5,0,10,1,"No"
28,48,2,29,0,"No"
12,130,0,27,0,"Si"
19,103,1,27,1,"Si"
34,90.1,0,15,0,"No"
57,95,1,21,1,"No"
12,82.7,1,11,1,"No"
42,70.1,1,18,1,"No"
16,82.3,1,32,0,"Si"
48,48,1,12,0,"No"
1,59.2,2,37,0,"Si"
12,66.9,1,38,1,"Si"
27,105.7,2,15,0,"Si"
10,71.8,4,12,0,"Si"
16,86.9,0,26,0,"No"
48,80,0,45,1,"No"
48,75.7,0,27,1,"No"
71,66.4,1,9,1,"No"
34,107.5,0,33,0,"No"
14,70.2,2,20,0,"Si"
31,73.4,1,19,0,"No"
22,76.8,1,50,0,"Si"
22,115.4,1,27,1,"Si"
10,61.5,0,8,0,"No"
31,79,2,2,1,"No"
52,78.7,1,25,1,"No"
44,61.4,0,20,0,"No"
43,57.9,3,3,1,"No"
14,42.7,1,13,1,"No"
36,56.6,0,17,1,"No"
52,76.2,1,5,1,"No"
33,103.5,4,20,1,"Si"
1,108.1,4,31,0,"Si"
16,93.5,1,9,0,"No"
38,85.4,1,1,0,"No"
16,118,1,11,1,"Si"
56,54,1,30,0,"No"
7,82.4,1,0,0,"Si"
55,67.3,1,0,0,"No"
21,113.4,6,31,0,"Si"
59,94.6,1,0,0,"No"
8,121.3,3,17,0,"Si"
51,77.1,1,14,1,"No"
72,93.6,1,6,0,"No"
15,104.9,0,22,1,"No"
41,93.5,2,22,0,"No"
21,50.5,1,14,0,"No"
8,70.9,0,26,0,"No"
22,75.8,0,5,0,"No"
29,111.3,0,30,0,"Si"
50,66.1,2,11,1,"No"
42,37.9,1,7,1,"No"
33,83.7,2,11,0,"No"
15,93.8,2,22,0,"No"
47,75.5,0,13,1,"No"
8,75,1,10,0,"Si"
17,87.9,3,60,1,"Si"
20,89.8,1,9,0,"Si"
53,64.6,1,0,1,"No"
35,55.3,0,10,0,"No"
41,61.7,2,19,0,"No"
9,94.1,0,18,0,"Si"
28,75.4,1,15,0,"No"
23,89,2,29,0,"Si"
31,33,0,12,0,"No"
18,73.9,3,15,0,"No"
1,79.1,0,6,1,"No"
12,69.4,1,17,1,"No"
40,74.9,1,6,0,"No"
24,98.7,3,34,0,"Si"
26,76.1,1,21,1,"No"
34,117.6,2,15,0,"No"
25,97.7,3,27,0,"Si"
19,73.3,1,2,1,"No"
29,78.5,0,7,1,"No"
12,48.3,2,41,0,"Si"
40,82,0,12,0,"No"
42,87.5,1,11,0,"No"
25,30,0,12,1,"No"
14,85.6,3,0,0,"Si"
45,84.4,1,0,1,"No"
10,74.1,1,49,0,"Si"
33,62.3,0,27,1,"No"
5,54.1,0,9,0,"No"
49,63.9,0,20,0,"No"
21,82.3,0,15,1,"No"
48,30,0,12,1,"No"
37,97.6,0,24,0,"No"
19,71.3,1,18,0,"Si"
7,30,2,42,1,"Si"
31,88.2,0,30,1,"No"
27,53.2,0,31,1,"No"
35,82.5,1,0,1,"No"
38,82.6,0,20,1,"No"
33,66.8,1,8,0,"No"
10,81.7,2,36,0,"Si"
34,80.7,1,21,0,"No"
23,88.5,1,19,0,"No"
23,64.3,1,15,1,"No"
10,73.7,1,31,0,"No"
27,120.1,5,0,1,"Si"
22,105.8,0,48,0,"Si"
28,48.9,0,25,1,"Si"
20,70.6,0,12,0,"No"
34,30,2,26,0,"No"
38,95.6,2,23,1,"Si"
10,70.3,0,11,0,"No"
58,84.2,2,14,1,"No"
36,64,0,14,1,"No"
18,98.6,6,45,1,"Si"
18,64.8,0,4,0,"No"
29,81,4,1,0,"Si"
38,79.7,0,24,0,"No"
7,36.6,2,7,1,"No"
25,59.5,0,3,0,"No"
26,95.4,0,16,0,"No"
8,106.2,1,22,0,"Si"
1,147.9,4,46,0,"Si"
36,52.1,0,24,1,"No"
16,107.5,1,46,1,"Si"
23,110.2,3,25,1,"Si"
14,105,1,28,0,"Si"
43,80.4,0,24,1,"No"
8,85,1,17,0,"No"
27,117.4,2,20,1,"Si"
20,73.8,1,0,0,"No"
19,30,0,5,1,"No"
9,62.8,2,17,0,"No"
32,37.3,0,20,1,"No"
25,104.7,3,21,1,"Si"
30,59.1,0,24,0,"No"
36,71.4,0,17,0,"No"
26,80.3,1,13,1,"No"
36,83.9,1,15,0,"No"
39,68,0,12,0,"No"
16,100.1,0,14,0,"No"
3,87.4,1,14,1,"No"
14,52,0,33,1,"No"
23,78.5,0,12,0,"No"
16,134.7,4,17,0,"Si"
13,89.8,0,28,1,"No"
14,92.5,1,35,1,"Si"
23,60.2,3,26,0,"Si"
23,83.5,1,0,1,"No"
18,105.6,2,13,1,"Si"
40,49,0,0,0,"No"
60,80.3,0,25,0,"No"
50,67,0,18,0,"No"
18,99.5,0,21,1,"No"
