"fecha","tienda","ciudad","categoria","producto","precio","unidades","canal"
"2026-03-06","Andina Laureles","Medellín","Aseo","Jabón de manos","5370","4","Online"
"2026-04-17","Andina Envigado","Medellín","Snacks","Chocolatina","2150","2","Tienda"
"2026-03-17","Andina Chapinero","Bogotá","Alimentos","Pan tajado","6550","6","Tienda"
"2026-04-12","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6210","7","Tienda"
"2026-03-09","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","1248000","6","Tienda"
"2026-04-20","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2550","5","Tienda"
"05/03/2026","Andina Granada","Cali","Alimentos","Huevos x30","19320","3","Online"
"2026-03-17","Andina Granada","Cali","Alimentos","Aceite 1L","12760","1","Tienda"
"2026-03-30","Andina Granada","Cali","Alimentos","Pan tajado","6680","3","Tienda"
"2026-04-06","Andina Laureles","Medellín","Alimentos","Pan tajado"," 6460,5","5","Online"
"2026-04-19","Andina Ciudad Jardín","Cali","Snacks","Galletas dulces","2920","5","Online"
"2026-03-15","Andina Granada","Cali","Bebidas","Agua 600ml","2530","5","Online"
"2026-04-04","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2540","1","Tienda"
"2026-03-02","Andina Envigado","Medellín","Bebidas","Jugo de caja","3210","","Tienda"
"2026-04-24","Andina Granada","Cali","Snacks","Galletas dulces","2820","3","Tienda"
"2026-03-15","Andina Granada","Cali","Alimentos","Leche 1L","5150","1","Tienda"
"2026-04-04","Andina Chapinero","Bogotá","Alimentos","Huevos x30","19940","6","Online"
"2026-03-09","Andina Chapinero","Bogotá","Snacks","Galletas dulces","3100","1","Online"
"2026-03-31","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","5050","3","Tienda"
"2026-04-22","Andina Envigado","Medellín","Alimentos","Huevos x30","19070","3","Tienda"
"2026-04-15","Andina Envigado","Medellín","Alimentos","Pan tajado","7050","7","Online"
"2026-03-17","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","12510","ND","Tienda"
"2026-03-09","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","12430","2","Tienda"
"2026-03-05","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2450","5","Tienda"
"10/04/2026","Andina Chapinero","Bogotá","Alimentos","Leche 1L","4800","4","Online"
"2026-03-03","Andina Cedritos","Bogotá","Aseo","Detergente 1kg","13770","1","Tienda"
"2026-04-04","Andina Chapinero","Bogotá","Bebidas","Café molido 500g","16340,5","2","Tienda"
"2026-03-17","Andina Granada","Cali","Aseo","Papel higiénico x4","9380","6","Tienda"
"2026-04-30","Andina Laureles","Medellín","Alimentos","Arroz 1kg","4520","3","Tienda"
"2026-04-24","Andina Chapinero","Bogotá","Snacks","Papas fritas","3280","","Online"
"2026-03-06","Andina Envigado","Medellín","Aseo","Jabón de manos","5580","1","Tienda"
"17/04/2026","Andina Laureles","Medellín","Snacks","Chocolatina","2360","3","Tienda"
"2026-04-26","Andina Cedritos","Bogotá","Snacks","Galletas dulces","2970","5","Online"
"2026-03-04","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","13560","4","Tienda"
"2026-03-16","Andina Chapinero","Bogotá","Snacks","Maní salado","4020","2","Tienda"
"2026-03-04","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","13530","3","Online"
"2026-04-23","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","19950","4","Tienda"
"2026-03-19","Andina Cedritos","Bogotá","Bebidas","Agua 600ml"," 2500,5","2","Tienda"
"2026-04-17","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","17730","1","Tienda"
"2026-04-05","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","12220","2","Tienda"
"2026-04-04","Andina Granada","Cali","Alimentos","Aceite 1L","13460","2","Online"
"17/04/2026","Andina Chapinero","Bogotá","Aseo","Jabón de manos","5540","4","Online"
"2026-03-12","Andina Laureles","Medellín","Bebidas","Agua 600ml","2460","2","Tienda"
"2026-04-28","Andina Cedritos","Bogotá","Bebidas","Jugo de caja","3100","4","Online"
"2026-03-03","Andina Granada","Cali","Alimentos","Leche 1L","4990","4","Online"
"2026-03-25","Andina Laureles","Medellín","Snacks","Galletas dulces","2840","4","TIENDA"
"2026-03-19","Andina Envigado","Medellín","Alimentos","Arroz 1kg","4110","6","Tienda"
"2026-03-01","Andina Laureles","Medellín","Alimentos","Aceite 1L","13190","-2","Online"
"2026-04-13","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6980","2","Tienda"
"2026-04-13","Andina Chapinero","Bogotá","Bebidas","Agua 600ml","2650","4","Online"
"2026-04-30","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","13340","1","Tienda"
"2026-04-15","Andina Envigado","Medellín","Snacks","Papas fritas","3350","4","Tienda"
"2026-03-20","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","13060","2","Tienda"
"2026-04-15","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","5070","2","Tienda"
"2026-04-06","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","12530","3","Tienda"
"2026-03-04","Andina Laureles","Medellín","Bebidas","Agua 600ml","2460","1","Tienda"
"2026-03-04","Andina Laureles","Medellín","Snacks","Maní salado","4020","2","Online"
"2026-04-25","Andina Ciudad Jardín","CALI","Aseo","Detergente 1kg","13860","2","Tienda"
"2026-04-16","Andina Chapinero","Bogotá","Alimentos","Arroz 1kg","4140","3","Tienda"
"2026-03-20","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4300","2","Online"
"2026-04-23","Andina Granada","Cali","Bebidas","Agua 600ml","2440","3","Tienda"
"2026-03-07","Andina Chapinero","Bogotá","Snacks","Chocolatina","2140","1","Online"
"2026-03-11","Andina Chapinero","Bogotá","Bebidas","Jugo de caja","3350","-3","Online"
"2026-04-10","Andina Chapinero","Bogotá","Alimentos","Pan tajado","7050","2","Tienda"
"2026-03-19","Andina Chapinero","Bogotá","Bebidas","Café molido 500g","16050","5","Tienda"
"2026-03-24","Andina Ciudad Jardín","Cali","Aseo","Papel higiénico x4","9950","10","Tienda"
"2026-04-14","Andina Granada","Cali","Bebidas","Café molido 500g","16690","4","Tienda"
"2026-03-31","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","13300","3","TIENDA"
"2026-04-28","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2490","4","Online"
"2026-04-12","Andina Cedritos","Bogotá","Aseo","Detergente 1kg","13560","6","Tienda"
"2026-03-20","Andina Cedritos","Bogotá","Bebidas","Agua 600ml","2630","2","Tienda"
"2026-03-09","Andina Granada","Cali","Alimentos","Pan tajado","6840","3","Tienda"
"2026-03-06","Andina Cedritos","Bogotá","Bebidas","Jugo de caja","3430","2","Tienda"
"2026-03-26","Andina Ciudad Jardín","Cali","Aseo","Papel higiénico x4","10270","3","Tienda"
"2026-04-16","Andina Laureles","Medellín","Aseo","Papel higiénico x4","10270,5","4","Tienda"
"2026-04-08","Andina Chapinero","Bogotá","Aseo","Papel higiénico x4","9430","5","tienda"
"2026-04-22","Andina Chapinero","Bogotá","Alimentos","Leche 1L","5080","7","Tienda"
"2026-03-22","Andina Envigado","Medellín","Aseo","Detergente 1kg","13760","4","Online"
"2026-03-29","Andina Cedritos","Bogotá","Alimentos","Leche 1L","5140","5","Tienda"
"2026-03-23","Andina Ciudad Jardín","Cali","Snacks","Papas fritas","3260","1","TIENDA"
"2026-03-20","Andina Cedritos","Bogotá","Alimentos","Huevos x30","19630","5","Tienda"
"2026-03-31","Andina Granada","Cali","Aseo","Jabón de manos","5370","3","TIENDA"
"2026-04-27","Andina Ciudad Jardín","CALI","Snacks","Maní salado","4200","","Online"
"2026-03-31","Andina Granada","Cali","Bebidas","Jugo de caja","3070","1","Tienda"
"2026-04-04","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","5220","1","Tienda"
"2026-04-23","Andina Envigado","Medellín","Aseo","Jabón de manos","5420","3","Tienda"
"2026-03-13","Andina Granada","Cali","Alimentos","Huevos x30","18220","6","Tienda"
"2026-03-19","Andina Ciudad Jardín","Cali","Snacks","Maní salado","4230","1","Online"
"2026-03-14","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2530","","Tienda"
"2026-04-03","Andina Granada","Cali","Alimentos","Huevos x30","18650","4","Online"
"2026-03-17","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4030","3","Tienda"
"2026-03-14","Andina Laureles","Medellín","Snacks","Chocolatina","2360","3","Tienda"
"2026-03-15","Andina Chapinero","Bogotá","Aseo","Jabón de manos","5430","1","Tienda"
"2026-03-24","Andina Envigado","Medellín","Alimentos","Pan tajado","6990","4","Online"
"2026-04-02","Andina Granada","Cali","Bebidas","Gaseosa 1.5L","6360","5","Tienda"
"2026-04-16","Andina Envigado","Medellín","Bebidas","Gaseosa 1.5L","6720","3","Tienda"
"2026-04-02","Andina Ciudad Jardín","Cali","Bebidas","Café molido 500g","15810","2","Tienda"
"2026-03-11","Andina Envigado","Medellín","Snacks","Papas fritas"," 3650,5","3","Online"
"2026-03-30","Andina Cedritos","Bogotá","Snacks","Galletas dulces","2970","3","Tienda"
"2026-04-26","Andina Chapinero","Bogotá","Bebidas","Agua 600ml","2430","2","Tienda"
"2026-03-13","Andina Cedritos","Bogotá","Aseo","Detergente 1kg","14080","1","Tienda"
"2026-03-05","Andina Envigado","Medellín","Snacks","Galletas dulces","2810","3","Online"
"2026-03-04","Andina Laureles","Medellín","Aseo","Jabón de manos","5530","2","Tienda"
"2026-03-10","Andina Chapinero","Bogotá","Alimentos","Huevos x30","19670","6","Online"
"14/03/2026","Andina Granada","Cali","Alimentos","Leche 1L","4710","2","online"
"2026-04-29","Andina Cedritos","Bogotá","Aseo","Detergente 1kg","12840","4","Tienda"
"2026-04-16","Andina Granada","Cali","Bebidas","Jugo de caja","3400","2","Tienda"
"2026-03-15","Andina Cedritos","Bogotá","Bebidas","Jugo de caja","3150","2","Tienda"
"27/03/2026","Andina Cedritos","Bogotá","Bebidas","Café molido 500g","17100","4","Tienda"
"2026-04-28","Andina Cedritos","Bogotá","Aseo","Jabón de manos","5500","4","Tienda"
"2026-04-09","Andina Granada","Cali","Bebidas","Café molido 500g","15280","1","Tienda"
"12/03/2026","Andina Chapinero","Bogotá","Alimentos","Leche 1L","5180","4","Tienda"
"2026-04-24","Andina Cedritos","Bogotá","Snacks","Maní salado","4360","2","Tienda"
"2026-03-07","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","18070","2","Tienda"
"2026-04-20","Andina Granada","Cali","Bebidas","Agua 600ml","2500","2","En línea"
"2026-04-01","Andina Laureles","Medellín","Bebidas","Jugo de caja","3280","ND","Tienda"
"2026-04-13","Andina Granada","Cali","Snacks","Chocolatina","2170","4","Tienda"
"2026-03-09","Andina Cedritos","Bogotá","Bebidas","Café molido 500g","16030","2","Tienda"
"2026-04-05","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6550","4","Tienda"
"2026-04-01","Andina Granada","Cali","Alimentos","Arroz 1kg","4500","1","Online"
"2026-03-02","Andina Envigado","Medellín","Alimentos","Pan tajado","6850","3","Online"
"2026-04-04","Andina Envigado","Medellín","Alimentos","Aceite 1L","12300","2","Tienda"
"2026-04-08","Andina Laureles","Medellín","Alimentos","Leche 1L","4750","4","Tienda"
"2026-03-09","Andina Granada","Cali","Bebidas","Agua 600ml","2390","2","Tienda"
"2026-04-30","Andina Laureles","Medellín","Alimentos","Aceite 1L","13190","1","Tienda"
"2026-03-12","Andina Laureles","Medellín","Snacks","Chocolatina","2240","5","Tienda"
"2026-03-13","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2660","1","Online"
"2026-03-15","Andina Chapinero","Bogotá","Bebidas","Jugo de caja","3320","5","Tienda"
"2026-04-28","Andina Ciudad Jardín","Cali","Bebidas","Café molido 500g","15680","5","Tienda"
"2026-04-20","Andina Chapinero","Bogotá","Alimentos","Arroz 1kg","4130","1","Online"
"2026-04-10","Andina Granada","Cali","Snacks","Maní salado","4410","1","Tienda"
"2026-04-03","Andina Granada","Cali","Aseo","Jabón de manos","5540","2","Tienda"
"2026-03-27","Andina Cedritos","Bogotá","Bebidas","Agua 600ml","2560","1","Tienda"
"2026-03-05","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","14140","4","Online"
"2026-03-03","Andina Envigado","Medellín","Bebidas","Jugo de caja","3170","5","Online"
"14/04/2026","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6510","1","Tienda"
"2026-03-21","Andina Envigado","Medellín","Alimentos","Huevos x30","19150","1","Tienda"
"2026-03-10","Andina Cedritos","Bogotá","Aseo","Papel higiénico x4","10480","2","Online"
"2026-04-09","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","18860","4","Tienda"
"2026-03-20","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","13060","2","Tienda"
"2026-04-03","Andina Envigado","Medellín","Alimentos","Leche 1L","5260","1","Tienda"
"2026-03-24","Andina Envigado","Medellín","Snacks","Galletas dulces","2900","3","Tienda"
"2026-03-22","Andina Chapinero","BOGOTA D.C.","Alimentos","Aceite 1L","13690","4","Tienda"
"22/04/2026","Andina Ciudad Jardín","Cali","Alimentos","Arroz 1kg","4310","3","Tienda"
"2026-03-28","Andina Cedritos","BOGOTA D.C.","Bebidas","Jugo de caja","3040","8","Tienda"
"2026-04-02","Andina Cedritos","Bogotá","Bebidas","Jugo de caja","3410","1","online"
"2026-04-06","Andina Ciudad Jardín","Cali","Bebidas","Jugo de caja","3410","3","TIENDA"
"2026-03-21","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","620000","1","tienda"
"2026-04-26","Andina Granada","Cali ","Alimentos","Huevos x30","19190,5","6","Tienda"
"2026-04-27","Andina Envigado","Medellín","Snacks","Galletas dulces"," 2830,5","2","Tienda"
"2026-04-25","Andina Cedritos","Bogota","Bebidas","Gaseosa 1.5L","6450","6","Tienda"
"2026-04-10","Andina Ciudad Jardín","Cali","Bebidas","Gaseosa 1.5L","6940","ND","TIENDA"
"2026-04-27","Andina Envigado","Medellín","Alimentos","Huevos x30","19910","","Tienda"
"2026-04-16","Andina Chapinero","Bogotá","Snacks","Galletas dulces","2780","4","Tienda"
"2026-03-11","Andina Chapinero","Bogotá","Snacks","Papas fritas","364000","2","Tienda"
"2026-03-18","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","13670","3","Tienda"
"2026-03-09","Andina Cedritos","Bogotá","Bebidas","Gaseosa 1.5L","6720","5","Online"
"2026-03-30","Andina Granada","Cali","Alimentos","Arroz 1kg","4160","3","Tienda"
"2026-04-13","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4400","3","Tienda"
"2026-04-12","Andina Ciudad Jardín","Cali","Alimentos","Pan tajado","7150","1","Online"
"2026-04-02","Andina Granada","Cali","Snacks","Maní salado","3920","2","Online"
"2026-04-29","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","19410","3","Tienda"
"2026-03-22","Andina Chapinero","Bogotá","Snacks","Maní salado","4300","1","Tienda"
"2026-03-22","Andina Envigado","Medellín","Aseo","Detergente 1kg","14560","1","Tienda"
"2026-04-01","Andina Laureles","medellin","Snacks","Papas fritas","3270","2","Tienda"
"2026-03-26","Andina Envigado","Medellín","Bebidas","Gaseosa 1.5L","6840","4","Tienda"
"2026-03-10","Andina Ciudad Jardín","Cali","Bebidas","Café molido 500g","15460","5","Online"
"2026-04-05","Andina Cedritos","Bogotá","Alimentos","Pan tajado","6900","4","Tienda"
"2026-04-13","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6980","2","Tienda"
"2026-04-17","Andina Granada","Cali","Bebidas","Agua 600ml","2390","5","Tienda"
"2026-03-04","Andina Chapinero","Bogotá","Alimentos","Leche 1L","5030","8","tienda"
"2026-03-12","Andina Ciudad Jardín","Cali","Snacks","Chocolatina","2190","2","Tienda"
"2026-03-23","Andina Cedritos","Bogotá","Bebidas","Café molido 500g","15130","3","Online"
"2026-04-03","Andina Ciudad Jardín","Cali","Aseo","Jabón de manos","5230","3","Online"
"2026-04-12","Andina Laureles","Medellín","Bebidas","Gaseosa 1.5L","6210","7","Tienda"
"2026-03-20","Andina Cedritos","Bogotá","Bebidas","Gaseosa 1.5L","6380","3","Online"
"2026-03-05","Andina Ciudad Jardín","Cali","Snacks","Chocolatina","2160","7","Tienda"
"2026-03-22","Andina Envigado","Medellín","Aseo","Detergente 1kg","14560","1","Tienda"
"2026-04-03","Andina Ciudad Jardín","Cali","Bebidas","Café molido 500g","15500","3","Online"
"2026-03-10","Andina Chapinero","Bogotá","Snacks","Papas fritas","3470","3","Tienda"
"2026-04-04","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","13380","4","Tienda"
"14/04/2026","Andina Granada","Cali","Aseo","Detergente 1kg","13900","2","tienda"
"2026-04-01","Andina Chapinero","Bogotá","Snacks","Galletas dulces","2980","1","Online"
"2026-04-12","Andina Cedritos","Bogotá","Alimentos","Pan tajado","6570","1","Tienda"
"2026-03-26","Andina Cedritos","Bogotá","Alimentos","Leche 1L","5230","4","Online"
"2026-04-15","Andina Granada","Cali","Alimentos","Huevos x30","18080","5","Tienda"
"2026-04-06","Andina Granada","Cali","Snacks","Maní salado","4220","2","Tienda"
"2026-04-29","Andina Granada","Cali","Alimentos","Pan tajado","6690","2","Tienda"
"2026-04-24","Andina Ciudad Jardín","Cali","Snacks","Chocolatina","2160","6","Online"
"2026-04-25","Andina Chapinero","Bogotá","Aseo","Papel higiénico x4"," 9860,5","4","Tienda"
"2026-03-26","Andina Cedritos","Bogotá","Aseo","Papel higiénico x4","9440","4","Tienda"
"2026-04-18","Andina Chapinero","Bogotá","Bebidas","Agua 600ml","2690","2","online"
"2026-04-05","Andina Granada","Cali","Alimentos","Arroz 1kg","4340","5","Tienda"
"2026-03-24","Andina Envigado","Medellín","Bebidas","Agua 600ml","2650","4","Tienda"
"2026-04-29","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4470","3","Tienda"
"2026-03-26","Andina Ciudad Jardín","Cali","Snacks","Maní salado","3990","2","tienda"
"2026-04-24","Andina Ciudad Jardín","Cali","Aseo","Jabón de manos","5670","6","Tienda"
"2026-04-24","Andina Ciudad Jardín","Cali","Alimentos","Pan tajado","6580","1","Online"
"2026-03-13","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","12270","1","Tienda"
"01/04/2026","Andina Chapinero","Bogotá","Snacks","Maní salado"," 3970,5","5","TIENDA"
"2026-04-01","Andina Envigado","Medellín","Bebidas","Agua 600ml","2460","2","Tienda"
"2026-03-10","Andina Ciudad Jardín","Cali","Snacks","Papas fritas","3610","2","Tienda"
"21/04/2026","Andina Ciudad Jardín","Cali","Aseo","Jabón de manos","5410","1","tienda"
"2026-03-18","Andina Ciudad Jardín","Cali","Alimentos","Arroz 1kg","4240","5","Tienda"
"2026-03-19","Andina Ciudad Jardín","Cali","Bebidas","Agua 600ml","2460","6","Tienda"
"2026-04-26","Andina Cedritos","Bogotá","Snacks","Galletas dulces","3120","","Tienda"
"2026-04-05","Andina Chapinero","Bogotá","Aseo","Detergente 1kg","13510,5","4","Tienda"
"2026-04-30","Andina Cedritos","Bogotá","Snacks","Chocolatina","2260","7","Tienda"
"2026-04-08","Andina Cedritos","BOGOTA D.C.","Bebidas","Jugo de caja","3430","4","Tienda"
"2026-03-30","Andina Cedritos","BOGOTA D.C.","Aseo","Jabón de manos","5450","1","Tienda"
"2026-04-01","Andina Laureles","Medellín","Alimentos","Huevos x30","18420","3","Tienda"
"2026-03-13","Andina Granada","Cali","Alimentos","Pan tajado","6680","6","Online"
"2026-03-22","Andina Granada","Cali","Snacks","Papas fritas","3390","3","Tienda"
"2026-04-27","Andina Ciudad Jardín","Cali","Alimentos","Aceite 1L","12970","1","Tienda"
"2026-03-14","Andina Granada","Cali","Aseo","Detergente 1kg","13610","4","Online"
"2026-04-08","Andina Ciudad Jardín","Cali","Snacks","Maní salado","3930","1","Tienda"
"2026-03-03","Andina Ciudad Jardín","Cali","Bebidas","Jugo de caja","3110","1","Tienda"
"20/04/2026","Andina Ciudad Jardín","Cali","Alimentos","Pan tajado","7180","3","tienda"
"2026-04-05","Andina Envigado","Medellín","Aseo","Papel higiénico x4","10520","1","Tienda"
"2026-03-26","Andina Granada","Cali","Alimentos","Aceite 1L","13140","4","tienda"
"18/03/2026","Andina Laureles","Medellín","Bebidas","Café molido 500g","15360","-1","Tienda"
"17/04/2026","Andina Granada","Cali","Snacks","Maní salado","4360","3","Online"
"2026-03-13","Andina Chapinero","Bogotá","Bebidas","Café molido 500g","16590","ND","TIENDA"
"2026-03-31","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","5050","3","Tienda"
"2026-03-25","Andina Cedritos","Bogotá","Snacks","Maní salado","4260","6","Online"
"2026-04-02","Andina Cedritos","Bogotá","Alimentos","Arroz 1kg","4070","3","Tienda"
"2026-04-09","Andina Ciudad Jardín","Cali","Aseo","Jabón de manos","5700","1","Tienda"
"2026-04-05","Andina Granada","Cali","Aseo","Papel higiénico x4","10160","6","Online"
"2026-04-27","Andina Chapinero","Bogotá","Snacks","Galletas dulces","2860","4","Tienda"
"2026-03-30","Andina Ciudad Jardín","Cali","Aseo","Detergente 1kg","14390,5","5","Online"
"2026-03-16","Andina Granada","Cali","Alimentos","Huevos x30","18020","4","Tienda"
"2026-04-18","Andina Ciudad Jardín","Cali ","Snacks","Maní salado","4230","2","Tienda"
"2026-04-28","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","4730","3","Online"
"2026-03-17","Andina Laureles","Medellín","Aseo","Papel higiénico x4","966000","3","Online"
"2026-04-25","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","18730","2","Tienda"
"2026-04-23","Andina Ciudad Jardín","Cali","Alimentos","Huevos x30","18820","1","Tienda"
"2026-03-23","Andina Cedritos","Bogotá","Snacks","Galletas dulces","3130","7","Tienda"
"2026-04-28","Andina Envigado","Medellín","Snacks","Maní salado","4320","3","Tienda"
"2026-03-21","Andina Cedritos","Bogotá","Snacks","Papas fritas","3420","5","Tienda"
"2026-03-17","Andina Cedritos","Bogotá","Snacks","Galletas dulces","2980","3","Tienda"
"16/03/2026","Andina Cedritos","Bogotá","Snacks","Papas fritas","3340","2","Online"
"2026-04-29","Andina Cedritos","Bogotá","Snacks","Papas fritas","3320","","Tienda"
"2026-03-27","Andina Chapinero","Bogotá","Bebidas","Agua 600ml","2690","3","Tienda"
"2026-04-11","Andina Ciudad Jardín","Cali","Alimentos","Leche 1L","4990","2","Tienda"
"2026-04-14","Andina Granada","Cali","Bebidas","Café molido 500g","16950","2","Online"
"2026-04-10","Andina Laureles","Medellín","Bebidas","Agua 600ml","2470","6","Tienda"
"2026-04-26","Andina Cedritos","Bogotá","Alimentos","Aceite 1L","12420","2","Tienda"
"2026-03-27","Andina Laureles","Medellín","Bebidas","Agua 600ml","2640","2","Tienda"
"2026-03-14","Andina Granada","Cali","Aseo","Papel higiénico x4","10000","2","Tienda"
"2026-04-14","Andina Envigado","Medellín","Bebidas","Agua 600ml","2460","1","Tienda"
"2026-04-27","Andina Granada","Cali","Bebidas","Jugo de caja","3420","1","TIENDA"
"2026-03-12","Andina Ciudad Jardín","Cali","Bebidas","Café molido 500g","15900","1","tienda"
"2026-04-04","Andina Chapinero","Bogotá","Bebidas","Café molido 500g","15520","2","Online"
