cliente_id,edad,genero,ciudad,departamento,ocupacion,ingreso_declarado,kyc_nivel,canal_adquisicion,antiguedad_meses,recencia_dias,frecuencia_tx,monto_total,monto_promedio,ticket_mediano,pct_tx_internacional,num_categorias_mcc,canal_preferido,gasto_promedio_mensual,saldo_promedio_ult3m,num_sesiones_ult30d,duracion_sesion_promedio,os_principal,num_tickets,csat_promedio,tiene_credito,score_buro,abandono,gasto_proximo_trim
3000016,27,F,Medellin,Antioquia,empleado,3929400,nivel_3,referido,27,2,29,1178900,40652,27400,0.034,7,app_qr,52713,1386900,5,80.2,Android,1,4.4,0,,0,813200
3000017,42,F,Cali,Valle del Cauca,independiente,3042500,nivel_3,organico,14,77,6,236600,39433,28550,0,2,app_qr,6486,1158700,1,37.1,Android,0,,1,587,0,5400
3000018,58,M,Bogota,Bogota DC,estudiante,681100,nivel_2,referido,41,9,7,162200,23171,9600,0,3,app_qr,4153,320500,4,45.8,Android,0,,1,519,0,15500
3000019,41,F,Medellin,Antioquia,estudiante,725100,nivel_2,ads_google,11,24,13,245300,18869,14000,0,6,tarjeta,13473,362700,5,52.8,Android,1,4,0,,0,122200
3000020,41,F,Bogota,Bogota DC,empleado,1442700,nivel_2,ads_meta,38,3,24,599400,24975,14950,0.042,8,app_qr,21440,341500,10,30.6,Android,0,,0,,0,19000
3000021,41,F,Medellin,Antioquia,estudiante,392000,nivel_1,referido,48,148,7,187600,26800,21100,0,3,app_qr,9833,70200,2,39.8,Android,1,5,0,,0,19600
3000022,28,M,Medellin,Antioquia,independiente,1501200,nivel_1,organico,19,27,53,1174600,22162,14000,0.019,10,app_qr,61833,503300,15,32.4,Android,0,,0,,0,241100
3000023,25,M,Bogota,Bogota DC,independiente,963200,nivel_1,organico,2,3,51,935300,18339,10500,0,9,app_qr,433100,43300,10,32.5,Android,0,,1,495,0,1621000
3000024,52,M,Bogota,Bogota DC,estudiante,485900,nivel_2,ads_google,35,18,54,743000,13759,9050,0,9,app_qr,33220,247100,12,24.1,Android,1,4.5,0,,0,276900
3000025,19,F,Medellin,Antioquia,estudiante,1093800,nivel_3,referido,36,5,21,362000,17238,15000,0,6,tarjeta,16827,535100,6,54.1,Android,0,,1,582,0,75600
3000026,26,F,Bogota,Bogota DC,empleado,6209500,nivel_3,organico,34,29,23,1211200,52661,35600,0,7,app_qr,44540,3136800,10,71.8,iOS,0,,0,,0,476800
3000027,33,F,Medellin,Antioquia,estudiante,962300,nivel_1,referido,14,131,3,50200,16733,11400,0,1,app_qr,664,475500,0,,iOS,0,,0,,1,4700
3000028,55,F,Bogota,Bogota DC,estudiante,541100,nivel_2,organico,32,7,14,197400,14100,9200,0.071,4,app_qr,11260,83200,7,24.2,Android,0,,0,,0,29500
3000029,53,F,Bogota,Bogota DC,empleado,1045800,nivel_1,organico,34,1,90,1622100,18023,13400,0.044,10,app_qr,74907,444400,19,51.4,Android,0,,1,544,0,640200
3000030,52,Otro,Cali,Valle del Cauca,estudiante,716400,nivel_1,ads_google,6,24,13,230200,17708,12000,0,5,app_qr,29950,155500,4,32.9,Android,1,3.9,0,,1,75900
3000031,40,F,Ibague,Tolima,empleado,2005300,nivel_3,organico,9,4,44,1184200,26914,19700,0.045,8,app_qr,105900,744000,7,37.5,Android,1,4.4,0,,0,725000
3000032,24,M,Bogota,Bogota DC,empleado,957400,nivel_2,organico,4,3,6,139100,23183,14600,0,2,app_qr,31425,239600,2,64.1,iOS,0,,0,,1,31000
3000033,31,F,Bucaramanga,Santander,pensionado,1444300,nivel_1,referido,33,78,1,14500,14500,14500,0,1,pse,967,519600,1,39.6,Android,0,,0,,0,13500
3000034,25,M,Bogota,Bogota DC,estudiante,1429600,nivel_2,ads_meta,29,14,20,386400,19320,16550,0,5,app_qr,8693,538000,8,26.1,Android,0,,0,,0,84000
3000035,38,M,Cali,Valle del Cauca,empleado,2907000,nivel_2,ads_google,27,82,9,367700,40856,38100,0,5,tarjeta,22787,799800,4,22.7,Android,1,3.7,0,,0,48600
3000036,42,M,Medellin,Antioquia,empleado,2522900,nivel_3,referido,43,29,29,771800,26614,19500,0.034,9,tarjeta,35040,961700,4,87.8,Android,2,3.6,0,,0,149000
3000037,19,M,Bogota,Bogota DC,empleado,1912900,nivel_2,referido,11,3,19,425700,22405,16600,0,6,tarjeta,27945,957800,1,26,Android,0,,0,,0,24600
3000038,38,M,Cali,Valle del Cauca,empleado,838200,nivel_2,referido,11,53,17,252400,14847,15900,0,7,tarjeta,16436,284300,0,,iOS,2,2.5,0,,0,28600
3000039,28,M,Cartagena,Bolivar,empleado,1340500,nivel_2,organico,1,3,40,965600,24140,16300,0.025,10,app_qr,747400,373800,10,62.6,iOS,0,,0,,1,6996500
3000040,32,M,Medellin,Antioquia,estudiante,440100,nivel_1,ads_google,49,12,24,303500,12646,10450,0,6,app_qr,19053,149700,6,27,iOS,0,,0,,0,57000
3000041,20,F,Medellin,Antioquia,estudiante,525000,nivel_3,organico,33,9,27,423300,15678,13400,0,8,app_qr,22913,277500,8,49.8,Android,0,,1,413,0,59300
3000042,45,F,Lima,Lima,independiente,5714500,nivel_1,influencer,18,12,7,309300,44186,40600,0.143,4,tarjeta,19320,967800,0,,iOS,3,3.1,1,566,1,22500
3000043,31,M,Medellin,Antioquia,estudiante,838600,nivel_1,organico,10,96,4,61000,15250,14250,0,2,app_qr,5200,405400,1,28.9,Android,1,3,0,,1,24000
3000044,32,M,Medellin,Antioquia,empleado,2463700,nivel_2,organico,25,1,40,1159400,28985,24650,0.025,9,app_qr,57080,547200,11,60.5,Android,0,,0,,1,296900
3000045,18,M,Bogota,Bogota DC,independiente,1628200,nivel_2,ads_google,41,2,41,1026800,25044,22800,0,9,app_qr,59067,246900,10,25.6,Android,0,,0,,0,477900
3000046,26,F,Bogota,Bogota DC,independiente,1468200,nivel_2,organico,4,1,41,935800,22824,14400,0,10,app_qr,192450,372500,10,41.5,Android,0,,0,,0,1494600
3000047,30,F,Cucuta,Norte de Santander,estudiante,718200,nivel_2,ads_meta,12,128,10,223400,22340,12800,0,6,app_qr,10567,103800,0,,Android,0,,0,,0,30600
3000048,20,M,Bogota,Bogota DC,independiente,1470400,nivel_2,organico,46,60,18,315900,17550,14350,0,5,app_qr,16313,251600,7,29.3,Android,1,2.8,1,587,1,76100
3000049,30,M,Cali,Valle del Cauca,independiente,4224200,nivel_2,organico,36,3,52,1655700,31840,24950,0,9,app_qr,86327,2070200,15,23.8,Android,0,,0,,0,565900
3000050,29,M,Bogota,Bogota DC,empleado,1666000,nivel_3,ads_google,32,15,22,528100,24005,15350,0,5,app_qr,27573,480600,2,55.7,Android,0,,1,617,1,69400
3000051,18,M,Manizales,Caldas,empleado,1834200,nivel_1,ads_google,9,21,21,435200,20724,19200,0,5,app_qr,39344,761600,6,21.9,iOS,0,,0,,0,106900
3000052,18,M,Barranquilla,Atlantico,estudiante,454600,nivel_2,organico,44,3,28,306200,10936,8500,0,7,app_qr,13367,124000,6,27.5,Android,0,,1,477,0,30300
3000053,33,F,Manizales,Caldas,independiente,2408500,nivel_2,referido,13,56,7,467900,66843,17800,0,3,tarjeta,33085,853400,2,31.5,Android,0,,0,,0,79000
3000054,37,M,Ibague,Tolima,independiente,542900,nivel_2,ads_google,15,4,8,95300,11912,9950,0.125,4,pse,4520,182500,1,92.4,Android,1,3.6,1,442,1,17100
3000055,21,M,Cali,Valle del Cauca,independiente,1556100,nivel_3,ads_meta,7,12,6,262600,43767,38150,0,2,app_qr,29671,627400,1,46.5,Android,0,,0,,0,65500
3000056,30,F,Bucaramanga,Santander,empleado,1616100,nivel_2,referido,28,49,10,219800,21980,17850,0,6,tarjeta,7680,339900,3,30.1,iOS,1,3,0,,0,13500
3000057,18,F,Bucaramanga,Santander,independiente,1184400,nivel_3,referido,32,3,19,357200,18800,14100,0.053,7,app_qr,20980,636800,3,50,iOS,1,3.8,0,,1,48900
3000058,26,M,Bogota,Bogota DC,empleado,3457200,nivel_1,ads_google,35,269,3,150200,50067,55200,0,2,tarjeta,4860,1309600,1,36.4,iOS,0,,1,573,1,9400
3000059,36,M,Manizales,Caldas,empleado,1606300,nivel_2,organico,29,356,1,15800,15800,15800,0,1,app_qr,1053,547100,0,,iOS,0,,0,,1,3500
3000060,35,M,Bogota,Bogota DC,empleado,2787200,nivel_2,ads_google,37,74,3,53600,17867,17900,0,2,app_qr,2220,488800,0,,iOS,0,,0,,0,8700
3000061,35,M,Medellin,Antioquia,estudiante,371900,nivel_2,organico,35,99,5,47500,9500,7900,0,2,tarjeta,2247,93500,2,24.4,Android,0,,0,,1,28800
3000062,35,F,Ibague,Tolima,independiente,1581400,nivel_2,influencer,15,32,10,263200,26320,26450,0,4,app_qr,12047,726200,5,32.2,iOS,1,3.3,1,524,0,8200
3000063,41,F,Cali,Valle del Cauca,independiente,1197300,nivel_2,ads_google,41,2,50,1178400,23568,18600,0,10,app_qr,58320,504500,12,42.4,Android,0,,0,,0,362500
3000064,37,F,Medellin,Antioquia,independiente,1076400,nivel_2,ads_google,6,176,1,3400,3400,3400,0,1,app_qr,567,545800,1,17,Android,2,4.9,1,576,1,2300
3000065,20,F,Medellin,Antioquia,estudiante,411900,nivel_1,organico,43,29,17,180800,10635,8700,0,7,app_qr,8680,130200,3,32.8,Android,1,4.4,1,343,0,24600
3000066,18,Otro,Bogota,Bogota DC,estudiante,509400,nivel_1,referido,19,9,38,475800,12521,8400,0,8,app_qr,25527,145300,7,26.8,Android,0,,0,,0,81800
3000067,43,M,Barranquilla,Atlantico,independiente,2314900,nivel_2,organico,43,6,83,2617700,31539,27800,0.06,9,app_qr,126427,500400,13,32.7,iOS,0,,0,,0,1076700
3000068,40,M,Cali,Valle del Cauca,independiente,3085200,nivel_1,ads_meta,49,136,7,155700,22243,21300,0,4,app_qr,6867,1267900,3,111.7,Android,0,,0,,0,6300
3000069,49,M,Cali,Valle del Cauca,empleado,2784100,nivel_2,referido,8,70,12,339800,28317,21400,0,5,app_qr,30212,433500,5,38.9,iOS,2,4.8,0,,0,108900
3000070,27,F,Barranquilla,Atlantico,empleado,2402900,nivel_2,ads_google,15,4,21,698300,33252,20600,0.095,7,app_qr,41567,1191400,1,117.7,Android,1,3.6,0,,1,71500
3000071,38,M,Lima,Lima,independiente,1166500,nivel_2,referido,48,113,5,97500,19500,18700,0,3,app_qr,3240,595900,0,,Android,1,4,0,,0,8100
3000072,33,M,Medellin,Antioquia,empleado,1563500,nivel_3,referido,4,2,7,175200,25029,22700,0.143,4,tarjeta,36050,811300,1,21.9,Android,2,3.6,0,,0,189300
3000073,23,M,Bucaramanga,Santander,empleado,2468000,nivel_3,influencer,42,20,9,507300,56367,29400,0,3,app_qr,13480,727000,3,126.9,iOS,0,,1,619,0,27200
3000074,36,M,Lima,Lima,empleado,1464500,nivel_2,ads_meta,11,45,3,25000,8333,5900,0,3,app_qr,2273,441100,0,,Android,0,,0,,0,6300
3000075,63,M,Bogota,Bogota DC,empleado,7448900,nivel_1,ads_google,32,45,7,502200,71743,52500,0,4,tarjeta,33480,3226500,1,64.8,Android,1,2.6,0,,0,22700
3000076,46,F,Barranquilla,Atlantico,independiente,2135800,nivel_1,influencer,38,68,23,549600,23896,20100,0.043,7,tarjeta,33293,604200,7,30.4,Android,0,,0,,1,88700
3000077,40,F,Bucaramanga,Santander,empleado,4084300,nivel_3,organico,12,266,3,78300,26100,19900,0,1,app_qr,3075,1118200,0,,Android,0,,1,681,0,2700
3000078,23,M,Cali,Valle del Cauca,independiente,1441500,nivel_2,ads_meta,45,30,34,819700,24109,19300,0,8,app_qr,50400,213700,10,27.8,Android,0,,1,511,0,442100
3000079,47,M,Bogota,Bogota DC,independiente,3147200,nivel_1,referido,49,21,22,705100,32050,26050,0.045,5,app_qr,35120,1558800,9,55.3,Android,1,2.3,0,,0,103300
3000080,39,F,Ibague,Tolima,pensionado,3162100,nivel_3,referido,47,17,5,117900,23580,13900,0,2,tarjeta,7320,1655500,0,,Android,1,3.3,0,,1,10600
3000081,30,F,Bogota,Bogota DC,independiente,1927700,nivel_2,ads_meta,10,52,8,153400,19175,17150,0,3,app_qr,9900,483800,4,37.3,Android,0,,0,,0,59200
3000082,35,F,Manizales,Caldas,empleado,2886800,nivel_1,referido,6,26,26,1029300,39588,26100,0,6,app_qr,113817,507700,8,30.9,Android,0,,1,551,0,272800
3000083,24,F,Cartagena,Bolivar,estudiante,640900,nivel_2,ads_google,29,8,35,507000,14486,11200,0.057,7,app_qr,22313,192100,12,32.2,Android,1,4,0,,0,48800
3000084,46,F,Manizales,Caldas,pensionado,3069100,nivel_2,organico,27,67,9,275400,30600,19800,0,6,pse,14580,990800,1,49.8,Android,1,1.8,0,,0,21600
3000085,47,M,Bogota,Bogota DC,estudiante,1600500,nivel_2,referido,20,4,24,394700,16446,12750,0,5,app_qr,15980,813200,7,27.3,Android,1,3.7,1,550,0,35900
3000086,38,F,Manizales,Caldas,empleado,3111000,nivel_2,ads_google,33,22,17,434500,25559,18700,0,7,app_qr,28467,759700,6,46.6,Android,0,,1,540,0,47100
3000087,39,M,Barranquilla,Atlantico,empleado,1319700,nivel_3,organico,37,133,14,390100,27864,23900,0.071,8,app_qr,23147,474500,2,70.7,Android,0,,0,,0,50500
3000088,59,M,Cucuta,Norte de Santander,empleado,1617900,nivel_1,ads_google,15,54,38,1206500,31750,22100,0.079,10,app_qr,63400,709000,6,41.4,Android,0,,0,,1,483800
3000089,28,F,Bogota,Bogota DC,estudiante,377900,nivel_2,organico,32,51,17,156500,9206,6100,0,7,app_qr,8880,69700,4,45.3,Android,2,2.8,0,,1,23500
3000090,37,M,Bogota,Bogota DC,empleado,9866900,nivel_3,ads_google,32,4,16,898700,56169,50300,0,7,app_qr,23747,4068200,7,62.8,Android,0,,1,645,0,123500
3000091,24,F,Cucuta,Norte de Santander,estudiante,337900,nivel_2,referido,14,32,9,88200,9800,7600,0.111,6,app_qr,6300,98300,0,,Android,0,,1,449,0,20200
3000092,36,M,Bucaramanga,Santander,empleado,2044300,nivel_2,organico,20,4,133,3916100,29444,19200,0.015,10,app_qr,210580,396800,28,37,Android,0,,1,518,0,901300
3000093,20,M,Cartagena,Bolivar,independiente,1232800,nivel_2,referido,19,16,39,914900,23459,17200,0,9,app_qr,47367,364200,7,39.3,iOS,1,5,0,,0,139200
3000094,22,F,Bogota,Bogota DC,empleado,1595200,nivel_1,referido,1,3,9,193800,21533,27400,0.111,5,app_qr,132700,307900,0,,Android,0,,0,,0,641500
3000095,35,M,Medellin,Antioquia,independiente,1443600,nivel_1,organico,33,111,5,102100,20420,20900,0,3,tarjeta,6807,334600,0,,Android,1,3.2,0,,1,25500
3000096,22,F,Medellin,Antioquia,empleado,1526800,nivel_3,ads_google,29,21,6,144900,24150,26500,0,3,app_qr,5640,622800,2,23,Android,1,3.3,0,,0,18900
3000097,35,M,Cartagena,Bolivar,estudiante,1013900,nivel_1,organico,46,8,43,625000,14535,12900,0.047,10,app_qr,29800,220200,10,24.4,iOS,0,,0,,0,211100
3000098,44,M,Medellin,Antioquia,estudiante,972500,nivel_2,ads_meta,50,11,1,4500,4500,4500,0,1,tarjeta,300,394200,1,57.6,iOS,1,3.6,0,,0,4700
3000099,25,F,Barranquilla,Atlantico,independiente,1153700,nivel_2,organico,9,188,1,4000,4000,4000,0,1,tarjeta,444,196800,0,,Android,0,,1,623,0,2900
3000100,40,Otro,Medellin,Antioquia,empleado,2942200,nivel_2,organico,26,20,18,519900,28883,25500,0,5,app_qr,23980,1437800,1,67.5,iOS,0,,0,,0,372200
3000101,24,M,Bogota,Bogota DC,estudiante,1178200,nivel_3,ads_google,20,3,53,945800,17845,15900,0,8,app_qr,39707,637200,6,26.5,Android,0,,0,,1,256700
3000102,26,F,Pereira,Risaralda,empleado,2113300,nivel_1,organico,44,14,14,455900,32564,19800,0,3,app_qr,24940,599100,3,57.3,Android,0,,0,,1,58600
3000103,34,F,Medellin,Antioquia,independiente,1431600,nivel_3,ads_meta,50,14,51,1108000,21725,13400,0.039,8,tarjeta,53407,235700,13,80.5,iOS,1,3.6,0,,0,407500
3000104,43,F,Bogota,Bogota DC,empleado,1929000,nivel_2,ads_google,5,8,9,233200,25911,19500,0,4,app_qr,25620,815400,1,45.8,Android,0,,0,,1,34300
3000105,33,F,Bogota,Bogota DC,empleado,3561100,nivel_2,ads_meta,48,4,32,1162200,36319,25750,0.031,8,tarjeta,53907,1526900,6,26.5,iOS,0,,0,,0,676000
3000106,33,M,Bogota,Bogota DC,empleado,2587300,nivel_2,ads_meta,48,278,1,14900,14900,14900,0,0,app_qr,993,1410500,3,62.2,Android,0,,0,,0,6400
3000107,54,M,Barranquilla,Atlantico,empleado,2586300,nivel_2,referido,40,25,16,551000,34438,27300,0.062,8,app_qr,30533,930400,3,80.6,Android,0,,0,,0,151300
3000108,34,M,Cali,Valle del Cauca,estudiante,790800,nivel_3,ads_meta,5,83,5,55800,11160,8700,0,3,app_qr,11160,172600,1,51.6,Android,1,5,0,,1,45700
3000109,34,M,Bogota,Bogota DC,empleado,4203300,nivel_1,organico,26,14,10,376800,37680,27950,0,4,app_qr,23580,1372000,6,62.2,iOS,0,,0,,0,203500
3000110,26,M,Cali,Valle del Cauca,empleado,1713100,nivel_1,referido,42,6,39,747600,19169,16100,0,9,app_qr,46927,876000,9,23.3,Android,1,3.6,0,,0,506800
3000111,25,M,Medellin,Antioquia,independiente,3677700,nivel_1,organico,48,21,6,144200,24033,15500,0,2,app_qr,8393,1787700,0,,Android,0,,1,584,0,72000
3000112,29,M,Lima,Lima,independiente,2379000,nivel_3,organico,20,1,60,2030600,33843,26900,0.017,10,app_qr,95907,1188700,15,12.6,Android,1,4.1,1,577,0,448900
3000113,41,F,Bogota,Bogota DC,estudiante,1203300,nivel_1,ads_meta,22,66,3,74700,24900,13700,0,0,tarjeta,4980,313000,0,,Android,0,,1,564,1,5700
3000114,33,M,Medellin,Antioquia,independiente,3996300,nivel_2,ads_meta,23,4,18,862800,47933,44900,0.056,7,app_qr,44820,1529600,3,56.9,Android,0,,0,,0,41600
3000115,44,F,Bogota,Bogota DC,empleado,2194500,nivel_3,ads_meta,22,4,47,1324000,28170,21500,0.043,10,tarjeta,64280,508800,12,122.2,iOS,0,,1,662,0,123500
3000116,24,F,Bogota,Bogota DC,empleado,2273300,nivel_1,organico,32,11,61,1891700,31011,24900,0,10,app_qr,93847,778500,11,54.3,Android,1,4.2,0,,0,1796300
3000117,31,F,Cali,Valle del Cauca,estudiante,1077100,nivel_3,ads_meta,10,14,17,304800,17929,18000,0,5,app_qr,20660,580200,5,27.7,Android,2,4.7,0,,0,164600
3000118,32,F,Bogota,Bogota DC,empleado,1982800,nivel_2,ads_meta,30,10,33,836800,25358,24100,0,8,app_qr,40660,351000,7,22,Android,0,,0,,1,183100
3000119,34,M,Bogota,Bogota DC,empleado,1645300,nivel_2,referido,15,191,5,63900,12780,9300,0,4,app_qr,4260,633700,1,24.5,Android,0,,1,606,0,6000
3000120,42,F,Cartagena,Bolivar,empleado,3338500,nivel_2,organico,2,8,12,408900,34075,28500,0,5,tarjeta,143100,698300,1,27.4,iOS,0,,1,654,0,1045900
3000121,40,F,Medellin,Antioquia,independiente,5218200,nivel_2,ads_meta,18,3,52,2340600,45012,37000,0.019,9,app_qr,97253,2566800,15,80.8,Android,0,,0,,0,905600
3000122,32,F,Bogota,Bogota DC,empleado,2252600,nivel_2,ads_meta,14,215,1,24900,24900,24900,0,1,tarjeta,1779,655900,1,24.4,iOS,1,3.9,1,643,1,2800
3000123,25,M,Cali,Valle del Cauca,estudiante,931800,nivel_2,organico,19,9,29,520600,17952,13700,0,9,tarjeta,29973,424700,3,55.3,Android,1,4.4,0,,0,32600
3000124,18,F,Cartagena,Bolivar,independiente,1254100,nivel_2,organico,6,12,9,213500,23722,15200,0,3,tarjeta,23967,203900,1,62.2,Android,0,,0,,1,57200
3000125,33,F,Medellin,Antioquia,empleado,2809400,nivel_3,organico,4,21,3,84900,28300,37900,0,2,app_qr,21225,678500,1,84,Android,0,,0,,0,33600
3000126,44,M,Bogota,Bogota DC,empleado,1721800,nivel_2,influencer,37,56,6,227800,37967,39850,0,3,app_qr,14620,815800,3,20.5,iOS,0,,0,,0,112800
3000127,40,M,Medellin,Antioquia,estudiante,510100,nivel_1,ads_google,16,59,1,38000,38000,38000,0,0,app_qr,2533,201500,1,72.9,Android,0,,0,,1,16200
3000128,44,M,Medellin,Antioquia,empleado,2561000,nivel_2,ads_meta,31,114,14,581100,41507,43100,0,5,tarjeta,34480,619500,3,43.9,Android,0,,1,547,0,60800
3000129,21,F,Bogota,Bogota DC,independiente,2090700,nivel_2,ads_meta,17,23,38,1135600,29884,21850,0.026,8,app_qr,64820,506800,11,50.3,Android,1,2.8,0,,0,240200
3000130,29,F,Medellin,Antioquia,empleado,3329100,nivel_2,organico,47,1,30,1351800,45060,28800,0.067,8,app_qr,78967,540300,8,26.9,Android,0,,0,,0,157300
3000131,36,M,Medellin,Antioquia,independiente,3323100,nivel_2,ads_google,49,18,27,1182700,43804,33200,0,8,app_qr,72200,1376000,7,40.6,Android,2,2.7,0,,0,395400
3000132,29,M,Barranquilla,Atlantico,pensionado,970000,nivel_2,ads_google,19,29,20,408600,20430,17400,0,7,tarjeta,23113,484400,6,48.7,iOS,1,3.9,0,,0,31600
3000133,38,F,Bogota,Bogota DC,independiente,2175200,nivel_2,ads_meta,13,1,126,3653300,28994,21050,0.024,10,app_qr,205923,303800,34,22.9,iOS,0,,1,596,0,773800
3000134,42,F,Bogota,Bogota DC,independiente,2460300,nivel_3,influencer,22,17,74,2609700,35266,28350,0.041,10,app_qr,121800,787100,18,53.5,iOS,0,,0,,0,766100
3000135,34,F,Lima,Lima,empleado,1653100,nivel_1,organico,33,36,20,573700,28685,27350,0,5,app_qr,23547,312300,5,118.6,Android,1,3.6,1,557,0,183200
3000136,18,F,Bogota,Bogota DC,empleado,3534600,nivel_1,ads_google,42,15,4,107000,26750,25800,0,2,app_qr,6433,945500,4,22.5,Android,0,,0,,1,12000
3000137,31,M,Bogota,Bogota DC,independiente,873900,nivel_3,ads_google,36,318,2,25400,12700,12700,0,2,app_qr,1693,192100,0,,iOS,0,,1,533,1,5700
3000138,46,M,Cali,Valle del Cauca,independiente,1681100,nivel_3,ads_meta,31,6,34,761300,22391,15500,0.029,9,app_qr,32847,382700,7,54.1,Android,0,,0,,0,273300
3000139,33,F,Cali,Valle del Cauca,independiente,3028300,nivel_1,referido,41,15,21,970700,46224,26500,0,8,app_qr,25433,977000,5,45.5,Android,0,,0,,0,221500
3000140,30,M,Medellin,Antioquia,empleado,1754500,nivel_2,ads_google,45,65,20,516200,25810,22500,0,5,app_qr,11440,826000,4,63.7,Android,0,,0,,0,21900
3000141,30,F,Bucaramanga,Santander,independiente,888200,nivel_2,organico,19,20,55,1014900,18453,15300,0.055,9,app_qr,55207,409100,14,66.4,Android,1,5,0,,0,104400
3000142,40,M,Bogota,Bogota DC,independiente,2064400,nivel_2,referido,30,2,30,808000,26933,23900,0.033,7,app_qr,40567,1039200,13,20,iOS,1,4,0,,0,298700
3000143,35,F,Cali,Valle del Cauca,estudiante,937100,nivel_2,referido,2,3,13,208500,16038,10900,0,6,tarjeta,84600,299900,2,39.3,iOS,0,,0,,0,395300
3000144,47,M,Barranquilla,Atlantico,independiente,2859600,nivel_3,influencer,12,12,47,1525900,32466,21700,0.043,10,app_qr,90267,1245000,14,40.8,iOS,0,,1,679,0,157800
3000145,45,M,Ibague,Tolima,empleado,1514400,nivel_1,referido,10,63,13,250800,19292,16500,0,4,app_qr,21970,759700,4,146,iOS,0,,0,,0,55100
3000146,35,F,Bogota,Bogota DC,independiente,2017000,nivel_3,ads_meta,27,37,17,438800,25812,21600,0,7,app_qr,26320,507100,2,53.4,iOS,1,3.3,0,,0,176300
3000147,18,F,Bogota,Bogota DC,estudiante,700100,nivel_3,ads_meta,29,1,18,262500,14583,8350,0,7,app_qr,15467,117600,4,105.1,iOS,0,,1,543,0,77500
3000148,65,F,Barranquilla,Atlantico,estudiante,1642600,nivel_2,referido,22,82,10,166100,16610,13200,0,7,tarjeta,6640,321200,2,42.8,Android,0,,1,689,1,21000
3000149,59,M,Barranquilla,Atlantico,estudiante,1375700,nivel_3,ads_google,13,358,6,100500,16750,17150,0,2,app_qr,3877,233700,2,51.9,Android,0,,1,588,0,2400
3000150,27,M,Bogota,Bogota DC,empleado,2087100,nivel_2,organico,34,52,5,174000,34800,18800,0,3,tarjeta,11600,808100,3,23.7,Android,0,,1,583,0,19000
