"cancion","artista","genero","danceability","energy","acousticness","tempo","streams"
"Turbo Extremo","Tego Calderón","dembow",0.88,0.865,0.016,128.9,610151
"Guitarra de Mar","Ryan Castro","urbano acustico",0.419,0.242,0.874,80,2762385
"Raíces Vieja","Natti Natasha","urbano acustico",0.398,0.406,0.872,92.5,3556139
"Ritmo de Cali","Feid","reggaeton",0.92,0.645,0.157,98.9,2730122
"Tarde y Vinilo","J Balvin","urbano acustico",0.449,0.327,0.79,73.9,1404295
"Calle Clandestino","Nicky Jam","reggaeton",0.807,0.707,0.114,97.8,1850193
"Zumba Turbo","Myke Towers","dembow",0.949,0.958,0.061,117.5,2452346
"Vibra de Cali","J Balvin","reggaeton",0.861,0.727,0.185,93.6,1053720
"Cicatriz Profundo","Feid","trap latino",0.61,0.716,0.234,71.2,25816441
"Balcón de Mar","Feid","urbano acustico",0.56,0.265,0.583,89.2,303033
"Marea Nocturno","Ryan Castro","trap latino",0.629,0.452,0.204,74.6,2216908
"Perreo sin Reloj","Bad Bunny","reggaeton",0.829,0.846,0.078,102,9962415
"Vibra de Barrio","Karol G","reggaeton",0.876,0.716,0.095,100.1,8908432
"Candela Total","Ryan Castro","dembow",0.912,0.859,0.018,136.4,12289501
"Silencio Lento","Ozuna","trap latino",0.566,0.492,0.121,64.9,2664498
"Tarde en Casa","Farruko","dembow",0.428,0.269,0.606,101.2,1026742
"Fuego en la 66","Bad Bunny","reggaeton",0.792,0.759,0.103,108.7,8277164
"Brisa al Sol","Karol G","urbano acustico",0.493,0.436,0.692,90.2,3102353
"Candela Turbo","Sech","dembow",0.827,0.783,0.115,128.8,4221858
"Frío en el Alma (En Vivo)","Maluma","trap latino",0.579,0.477,0.078,66,5637281
"Pique de Verano","Sech","dembow",0.92,0.785,0.051,125.9,313318
"Deja Vu de Cristal","Anuel AA","trap latino",0.671,0.352,0.124,77.6,2702109
"Candela sin Frenos","Nicky Jam","dembow",0.885,0.904,0.07,137.3,12428791
"Pique sin Frenos","Bad Bunny","dembow",0.822,0.918,0.07,133.3,2621953
"Deja Vu Profundo","Karol G","trap latino",0.761,0.631,0.343,70.3,3723196
"Dembow Turbo","Farruko","dembow",0.848,0.87,0.085,129.3,2012990
"Baila Eterno","J Balvin","trap latino",0.922,0.804,0.064,102.3,1585852
"Baila Prohibido","Rauw Alejandro","reggaeton",0.817,0.749,0.091,94.2,1263825
"Candela Total","Farruko","dembow",0.87,0.989,0.023,132.1,6020398
"Calle en la 66","Farruko","trap latino",0.834,0.701,0.15,103.7,2306420
"Frío en el Alma","Maluma","trap latino",0.596,0.377,0.185,75.3,32930351
"Domingo a Mano","Rauw Alejandro","urbano acustico",0.396,0.139,0.67,105.1,1864999
"Perreo Prohibido","Ryan Castro","reggaeton",0.838,0.729,0.146,105.6,1604549
"Noche sin Reloj","Wisin & Yandel","reggaeton",0.734,0.642,0.076,109.3,3247627
"Marea de Cristal","Farruko","trap latino",0.638,0.479,0.189,75.5,2393452
"Sudor en la Terraza","Becky G","reggaeton",0.788,0.768,0.074,111.1,3328268
"Deja Vu Nocturno","Feid","trap latino",0.593,0.462,0.15,77.1,12649983
"Guitarra del Pacífico","Farruko","reggaeton",0.538,0.331,0.786,96,1297798
"Domingo de Abril","Nicky Jam","urbano acustico",0.332,0.316,0.728,88.3,1840942
"Eclipse Profundo","Feid","trap latino",0.686,0.512,0.125,94.2,2393507
"Candela hasta Abajo","Farruko","dembow",0.891,0.934,0.053,135.9,4898050
"Cicatriz Lento","Wisin & Yandel","trap latino",0.686,0.535,0.222,70.5,848945
"Domingo y Vinilo","Tego Calderón","urbano acustico",0.52,0.212,0.802,108.6,5502263
"Insomnio de Invierno","Sech","trap latino",0.55,0.449,0.099,69.7,14561353
"Turbo 24/7","Anuel AA","dembow",0.775,0.938,0.042,134.9,1219326
"Guitarra Contigo","Bad Bunny","urbano acustico",0.449,0.41,0.66,92,9687209
"Silencio de Invierno","Bad Bunny","trap latino",0.639,0.616,0.154,87.1,3257365
"Calle Prohibido","Karol G","reggaeton",0.788,0.793,0.114,104.9,16865819
"Brisa Descalzo","Anuel AA","dembow",0.55,0.317,0.99,99.8,2279196
"Calle sin Reloj","Sech","reggaeton",0.793,0.766,0.035,91.8,923516
"Insomnio Lento","Sech","trap latino",0.663,0.645,0.184,80.6,19461800
"Marea Nocturno","Tego Calderón","trap latino",0.521,0.632,0.113,75.8,6473472
"Alto Voltaje hasta Abajo","Maluma","dembow",0.751,0.907,0.051,142.7,4606959
"Alto Voltaje sin Frenos","Anuel AA","dembow",0.891,0.873,0.06,130.5,1572561
"Sudor sin Reloj","Wisin & Yandel","reggaeton",0.835,0.677,0.155,95.7,9507751
"Raíces Vieja","Becky G","reggaeton",0.574,0.345,0.609,84,1962843
"Fuego VIP","Anuel AA","reggaeton",0.91,0.91,0.051,85.7,1492722
"Medianoche en el Alma","Natti Natasha","trap latino",0.55,0.711,0.135,75.5,3753530
"Carta en Casa","Ryan Castro","urbano acustico",0.414,0.304,0.701,92.3,1734675
"Calle Clandestino","Ryan Castro","reggaeton",0.798,0.736,0.077,109.2,5594321
"Domingo a Mano","J Balvin","urbano acustico",0.48,0.337,0.767,81,3707720
"Sudor Prohibido","Karol G","reggaeton",0.929,0.822,0.01,102.4,3807267
"Frío Interior","Ozuna","trap latino",0.434,0.491,0.141,81.2,2552070
"Fiesta VIP","Anuel AA","reggaeton",0.779,0.864,0.047,95.3,2428884
"Marea Callado","J Balvin","urbano acustico",0.533,0.552,0.233,78.3,4657005
"Amanecer en Casa","Ryan Castro","urbano acustico",0.454,0.297,0.692,99.7,2309306
"Brisa de Mar","Anuel AA","urbano acustico",0.494,0.274,0.551,101.6,682425
"Humo en el Alma","Natti Natasha","trap latino",0.57,0.388,0.133,77.3,4604829
"Presión sin Frenos","Karol G","dembow",0.853,0.854,0.053,127.2,5254435
"Zumba Fiesta","Farruko","trap latino",0.808,0.833,0.064,140.7,846116
"Silencio de Invierno","Farruko","trap latino",0.579,0.424,0.135,76.9,4032533
"Sudor sin Reloj","Farruko","reggaeton",0.75,0.717,0.126,100.9,751731
"Café Contigo","Ryan Castro","dembow",0.323,0.256,0.649,69.4,1374432
"Cicatriz Interior","Becky G","trap latino",0.531,0.662,0.128,79.9,1807475
"Acústico de Mar","Feid","urbano acustico",0.373,0.279,0.871,84.7,7292573
"Modo Fiesta","Myke Towers","dembow",0.804,0.846,0.043,117,2215898
"Insomnio Lento","Becky G","trap latino",0.728,0.424,0.357,79.4,4578237
"Café Descalzo","Rauw Alejandro","urbano acustico",0.524,0.337,0.954,97.8,11802561
"Humo Nocturno","Tego Calderón","trap latino",0.624,0.418,0.208,75.4,1449709
"Amanecer Vieja","Becky G","urbano acustico",0.336,0.313,0.888,90.6,3215937
"Guitarra de Mar","Becky G","urbano acustico",0.483,0.378,0.726,86.3,5002671
"Calle Clandestino","Tego Calderón","reggaeton",0.878,0.714,0.12,100.6,445042
"Amanecer del Pacífico","Tego Calderón","urbano acustico",0.428,0.317,0.802,89.3,3744141
"Alto Voltaje Extremo","Farruko","dembow",0.877,0.861,0.02,122.5,5078972
"Domingo a Mano","Bad Bunny","trap latino",0.535,0.354,0.696,88.6,5251564
"Brisa y Vinilo","J Balvin","reggaeton",0.433,0.278,0.679,84.4,16379724
"Dembow 24/7","Sech","dembow",0.962,0.914,0.055,131.9,2301644
"Deja Vu Profundo","Daddy Yankee","dembow",0.663,0.617,0.059,71.7,1605680
"Vibra Eterno","Feid","reggaeton",0.808,0.673,0.112,88.7,12316091
"Perreo Caliente","Farruko","reggaeton",0.96,0.985,0.105,101,1577000
"Alto Voltaje Turbo","Farruko","trap latino",0.753,0.891,0.047,142.7,1668839
"Descontrol de Verano","Wisin & Yandel","dembow",0.88,0.857,0.032,128.1,4594538
"Brisa de Abril","Karol G","urbano acustico",0.506,0.342,0.779,91.1,3151841
"Fuego de Barrio","Tego Calderón","reggaeton",0.92,0.652,0.086,98.1,579222
"Luna Prohibido","Wisin & Yandel","reggaeton",0.844,0.828,0.14,89.7,319830
"Guitarra a Mano","Feid","urbano acustico",0.377,0.116,0.942,87.6,6009144
"Luna de Cali","Feid","urbano acustico",0.785,0.811,0.117,96.7,7047117
"Brisa Contigo","Karol G","reggaeton",0.418,0.227,0.683,85.3,8108075
"Turbo sin Frenos","Wisin & Yandel","urbano acustico",0.807,0.867,0.075,133.7,1555103
"Candela hasta Abajo","Becky G","dembow",0.848,0.887,0.075,114.3,1208062
"Raíces Descalzo","Daddy Yankee","urbano acustico",0.436,0.318,0.812,89.3,1271113
"Humo sin Ti","Feid","trap latino",0.419,0.394,0.295,71,1852848
"Perreo Eterno","Bad Bunny","reggaeton",0.819,0.681,0.01,95,7498191
"Dembow hasta Abajo (En Vivo)","Wisin & Yandel","dembow",0.888,0.906,0.015,113.6,14430534
"Baila Clandestino","Farruko","reggaeton",0.815,0.794,0.019,99.7,702214
"Sudor en la 66","Feid","reggaeton",0.917,0.737,0.01,101.6,6182194
"Acústico a Mano","Myke Towers","trap latino",0.539,0.277,0.828,93.8,1709764
"Zumba Extremo","Ozuna","dembow",0.897,0.816,0.035,131.5,2185512
"Balcón Descalzo","Becky G","trap latino",0.36,0.303,0.695,86,2894920
"Perreo en la Terraza","Daddy Yankee","reggaeton",0.955,0.71,0.01,93.3,8267543
"Fuego Eterno","Karol G","reggaeton",0.952,0.765,0.011,88,1970874
"Calle de Cali","Ozuna","reggaeton",0.849,0.885,0.024,103,1631123
"Insomnio Nocturno","Anuel AA","trap latino",0.711,0.379,0.117,81.3,4337186
"Modo sin Frenos (En Vivo)","Karol G","dembow",0.841,0.918,0.029,128.6,2340726
"Guitarra de Mar","Farruko","urbano acustico",0.301,0.444,0.744,90.1,3711020
"Calle sin Reloj","Ozuna","reggaeton",0.751,0.719,0.024,97,3493360
"Silencio Profundo","Sech","trap latino",0.66,0.588,0.168,82.5,3223735
"Tarde de Mar","Sech","urbano acustico",0.505,0.118,0.802,82.7,5785903
"Silencio Nocturno","Sech","trap latino",0.557,0.58,0.033,77.9,3125517
"Vibra Clandestino","Ryan Castro","reggaeton",0.666,0.756,0.055,96.4,709122
"Noche Eterno","Farruko","reggaeton",0.847,0.753,0.01,98.1,240074
"Deja Vu de Invierno","Maluma","trap latino",0.598,0.756,0.069,82,895656
"Humo Lento","J Balvin","trap latino",0.59,0.419,0.077,66.7,2418768
"Insomnio en el Alma","J Balvin","trap latino",0.479,0.702,0.079,73.1,6179482
"Descontrol de Verano","Sech","dembow",0.9,0.827,0.075,131.4,10493520
"Cicatriz Profundo","Bad Bunny","trap latino",0.643,0.572,0.096,71.9,1497103
"Acústico a Mano","Ryan Castro","urbano acustico",0.431,0.37,0.574,100.1,1130030
"Humo Lento","Natti Natasha","trap latino",0.55,0.651,0.256,66,504067
"Eclipse Lento","Nicky Jam","reggaeton",0.594,0.581,0.256,81.5,2191864
"Frío Callado","Sech","trap latino",0.68,0.483,0.16,84.9,533400
"Noche VIP","Karol G","reggaeton",0.884,0.728,0.104,97,5505926
"Alto Voltaje hasta Abajo","Rauw Alejandro","dembow",0.827,0.893,0.054,139.3,4857170
"Alto Voltaje sin Frenos (feat. DJ Icesi)","Anuel AA","dembow",0.924,0.911,0.073,137.7,26105401
"Insomnio Profundo","Maluma","trap latino",0.532,0.642,0.131,79.7,1690381
"Candela Fiesta (Remix)","Daddy Yankee","dembow",0.947,0.892,0.02,122.8,3358401
"Brisa y Vinilo","Karol G","urbano acustico",0.525,0.089,0.615,88.2,12328466
"Marea Nocturno","Feid","trap latino",0.679,0.6,0.1,79.4,1354087
"Turbo en el Malecón","Nicky Jam","dembow",0.823,0.896,0.085,128.1,9664015
"Turbo Total","Rauw Alejandro","dembow",0.87,0.912,0.021,129.5,892365
"Pique en el Malecón","Karol G","dembow",0.88,0.902,0.032,118.5,2114202
"Medianoche Nocturno","Farruko","trap latino",0.549,0.642,0.069,79.4,846848
"Alto Voltaje Nivel Dios","Maluma","dembow",0.823,0.897,0.066,134,8619151
"Luna Prohibido","Ryan Castro","reggaeton",0.819,0.875,0.069,95.6,949713
"Ritmo Eterno","Ryan Castro","reggaeton",0.792,0.688,0.044,97,8710740
"Carta de Abril","Rauw Alejandro","urbano acustico",0.338,0.219,0.513,101.8,1257927
"Perreo de Cali","Nicky Jam","reggaeton",0.933,0.776,0.205,94.1,3357192
"Turbo Total","J Balvin","dembow",0.928,0.942,0.031,123.1,9508426
"Insomnio Interior","Bad Bunny","trap latino",0.75,0.517,0.073,79.5,27048754
"Ritmo sin Reloj","Rauw Alejandro","reggaeton",0.862,0.717,0.193,91.9,908515
"Fiesta Prohibido","Rauw Alejandro","reggaeton",0.868,0.617,0.052,99.1,1559344
"Noche en la Terraza","Natti Natasha","reggaeton",0.82,0.836,0.056,99.5,1990621
"Baila Eterno","Ryan Castro","urbano acustico",0.686,0.753,0.046,106.1,4035364
"Guitarra Vieja","Wisin & Yandel","urbano acustico",0.483,0.243,0.676,79,5224387
"Fiesta Eterno","Myke Towers","reggaeton",0.864,0.653,0.151,98.7,7905025
"Pique hasta Abajo","Anuel AA","dembow",0.929,0.956,0.05,133.1,1582613
"Domingo y Vinilo","Ozuna","urbano acustico",0.392,0.364,0.777,106.9,5222340
"Raíces a Mano","Nicky Jam","urbano acustico",0.424,0.283,0.797,93.3,8696166
"Sudor sin Reloj","Tego Calderón","reggaeton",0.803,0.736,0.011,104.2,971772
"Vibra de Cali","Ryan Castro","reggaeton",0.86,0.665,0.102,97.4,8164975
"Dembow Turbo","Sech","dembow",0.897,0.887,0.064,129.2,5216287
"Perreo sin Reloj","Anuel AA","reggaeton",0.809,0.709,0.026,87.7,3458422
"Silencio Nocturno (feat. DJ Icesi)","Bad Bunny","trap latino",0.521,0.58,0.07,83,8816126
"Frío Profundo","Natti Natasha","trap latino",0.665,0.568,0.111,84.8,1168721
"Modo Nivel Dios","J Balvin","dembow",0.82,0.935,0.033,130.1,613548
"Carta Vieja","J Balvin","urbano acustico",0.566,0.176,0.67,99.3,1186830
"Vibra Prohibido","Anuel AA","reggaeton",0.795,0.741,0.065,95.8,2140492
"Noche Caliente","Bad Bunny","reggaeton",0.906,0.791,0.106,101.2,1839641
"Sudor en la 66","Becky G","reggaeton",0.794,0.78,0.068,95.3,1724483
"Carta Descalzo","Karol G","urbano acustico",0.547,0.304,0.874,89.7,2282895
"Silencio Callado","Becky G","trap latino",0.589,0.521,0.144,67.4,2417479
"Raíces en Casa","Anuel AA","urbano acustico",0.451,0.43,0.592,93.8,4037351
"Dembow Extremo","Wisin & Yandel","dembow",0.851,0.975,0.013,118.8,2507726
"Sudor en la Terraza","Bad Bunny","trap latino",0.707,0.779,0.01,102.8,21536846
"Noche Clandestino","Bad Bunny","trap latino",0.86,0.715,0.044,94.3,657355
"Balcón en Casa","Tego Calderón","urbano acustico",0.544,0.324,0.689,74.5,6475503
"Luna en la Terraza","J Balvin","reggaeton",0.879,0.802,0.108,101.8,4647453
"Frío Nocturno","Ryan Castro","trap latino",0.531,0.672,0.067,79.4,13220088
"Baila Caliente","Farruko","reggaeton",0.731,0.732,0.01,101.2,6937736
"Zumba Extremo","Anuel AA","dembow",0.827,0.875,0.042,125.4,9704614
"Neblina Lento","Becky G","trap latino",0.58,0.438,0.232,81.5,804174
"Tarde de Abril","Nicky Jam","urbano acustico",0.552,0.264,0.74,83.4,571417
"Humo de Cristal","Bad Bunny","urbano acustico",0.64,0.422,0.28,82.7,2251069
"Silencio Nocturno","Bad Bunny","trap latino",0.467,0.594,0.13,74.7,2336485
"Acústico Vieja","Natti Natasha","urbano acustico",0.393,0.242,0.919,77.9,9145093
"Vibra Eterno","Farruko","reggaeton",0.837,0.814,0.151,103.6,29293903
"Raíces de Mar","Ozuna","urbano acustico",0.465,0.321,0.833,85.7,2548981
"Eclipse sin Ti","Maluma","trap latino",0.693,0.376,0.319,63.7,2701783
"Presión de Verano","Anuel AA","trap latino",0.865,0.947,0.037,128.9,1126876
"Alto Voltaje Nivel Dios","Nicky Jam","dembow",0.956,0.846,0.01,128.7,481399
"Vibra VIP","Natti Natasha","urbano acustico",0.754,0.794,0.065,102.8,9259135
"Presión de Verano","Nicky Jam","dembow",0.836,0.858,0.076,121.1,3451156
"Amanecer de Abril","Natti Natasha","reggaeton",0.461,0.278,0.644,92,1875070
"Domingo Contigo","Daddy Yankee","urbano acustico",0.235,0.226,0.963,68.4,1605704
"Modo de Verano","Tego Calderón","dembow",0.82,0.92,0.025,123.6,2764142
"Ritmo Caliente","Rauw Alejandro","reggaeton",0.822,0.737,0.117,96.8,1384646
"Silencio sin Ti","Daddy Yankee","trap latino",0.44,0.535,0.256,84.3,3632728
"Acústico del Pacífico","Myke Towers","reggaeton",0.327,0.438,0.73,88.7,1530082
"Medianoche Nocturno","Daddy Yankee","trap latino",0.551,0.67,0.074,72,3128776
"Baila Prohibido","Becky G","reggaeton",0.801,0.857,0.099,80,3079482
"Alto Voltaje Extremo","Natti Natasha","dembow",0.862,0.873,0.077,132.9,13661608
"Neblina de Cristal","Becky G","urbano acustico",0.597,0.421,0.268,79.1,5561519
"Alto Voltaje 24/7","Karol G","dembow",0.877,0.887,0.07,143.9,16132790
"Descontrol Extremo","J Balvin","dembow",0.872,0.882,0.059,134.4,3163156
"Candela 24/7","Ryan Castro","dembow",0.835,0.919,0.049,137.9,3676843
"Turbo Nivel Dios","Nicky Jam","dembow",0.888,0.833,0.01,144.9,2589239
"Balcón en Casa (En Vivo)","Tego Calderón","urbano acustico",0.478,0.207,0.869,84.4,3878805
"Eclipse Gris","Rauw Alejandro","trap latino",0.715,0.523,0.114,76.7,12635646
"Eclipse Callado","Feid","trap latino",0.54,0.535,0.183,70.1,6676233
"Tarde Contigo","Wisin & Yandel","urbano acustico",0.388,0.272,0.772,96,1497730
"Descontrol Total","Wisin & Yandel","reggaeton",0.93,0.83,0.056,142.2,1108537
"Perreo Caliente","Nicky Jam","reggaeton",0.771,0.681,0.1,99.2,3249039
"Eclipse de Cristal","Nicky Jam","trap latino",0.712,0.485,0.084,78.9,2196273
"Marea en el Alma","Anuel AA","trap latino",0.578,0.595,0.062,72.9,11833302
"Luna en la 66","Daddy Yankee","reggaeton",0.856,0.755,0.054,104.3,1134511
"Vibra en la 66","Farruko","urbano acustico",0.821,0.801,0.063,107.4,5007139
"Presión Extremo","Daddy Yankee","dembow",0.958,0.853,0.067,123.4,2024570
"Raíces de Abril","Myke Towers","urbano acustico",0.446,0.335,0.68,82.3,1971886
"Carta Descalzo","Anuel AA","urbano acustico",0.408,0.312,0.696,94.8,912271
"Presión hasta Abajo","Anuel AA","dembow",0.927,0.982,0.075,126.4,3662540
"Modo sin Frenos","Karol G","dembow",0.854,0.832,0.063,124.9,4651815
"Baila de Cali","Feid","urbano acustico",0.774,0.788,0.026,93.6,3532914
"Noche en la Terraza","Karol G","reggaeton",0.879,0.814,0.01,92.3,11290434
"Carta del Pacífico","J Balvin","urbano acustico",0.398,0.386,0.82,91.2,3358835
"Dembow Extremo","Myke Towers","dembow",0.924,0.803,0.068,112.1,2685475
"Fiesta VIP","Wisin & Yandel","reggaeton",0.831,0.719,0.11,101.4,638613
"Humo Lento","Ryan Castro","trap latino",0.631,0.456,0.056,77.6,1324967
"Baila Eterno","Bad Bunny","reggaeton",0.842,0.82,0.051,97.2,3714948
"Guitarra y Vinilo","J Balvin","urbano acustico",0.447,0.3,0.756,92.4,2395866
"Dembow Nivel Dios","J Balvin","dembow",0.885,0.826,0.04,140.4,6888338
"Insomnio en el Alma (En Vivo)","J Balvin","trap latino",0.666,0.501,0.072,78.1,6435609
"Raíces en Casa","Natti Natasha","dembow",0.404,0.284,0.763,96.2,1974886
"Fiesta en la Terraza","Natti Natasha","reggaeton",0.835,0.904,0.137,102,2441041
"Cicatriz en el Alma","Tego Calderón","trap latino",0.467,0.692,0.055,91.1,7229255
"Turbo Nivel Dios","Rauw Alejandro","trap latino",0.936,0.912,0.084,133.1,3422206
"Frío sin Ti","Nicky Jam","trap latino",0.401,0.549,0.102,69,1003954
