"area_m2","habitaciones","banos","estrato","piso","distancia_centro_km","antiguedad_anos","precio_millones"
133,4,3,5,5,14.2,11,535
99,3,2,3,7,9.4,9,360
66,2,2,6,15,2.5,9,441
95,3,3,3,9,5.1,26,408
53,1,1,2,5,1.2,31,268
45,2,2,3,3,4.8,12,279
40,2,1,2,14,3.8,26,153
113,4,3,5,12,5.6,27,484
112,3,3,4,10,10.2,21,421
97,3,2,6,8,13.3,4,456
80,2,1,3,9,5.8,14,235
83,2,1,3,4,6.6,8,300
63,2,1,2,15,8.2,28,176
79,2,1,5,5,5.8,23,357
66,2,1,6,15,8.8,40,362
70,2,1,5,3,8.1,15,330
69,2,1,5,13,11.1,20,265
115,4,3,5,1,3.4,19,476
64,2,1,3,10,4.7,0,288
32,1,1,6,4,1.1,11,340
64,2,2,4,3,2,17,317
44,1,1,2,2,9.2,7,162
82,2,1,3,9,1.1,7,312
77,1,1,5,4,8.1,2,307
90,2,2,2,4,5,1,301
88,2,1,5,10,6.9,12,355
103,3,2,5,1,5.9,29,420
121,3,2,2,8,10.2,34,391
101,2,1,4,7,12.1,23,340
74,2,1,2,2,5.7,11,237
62,2,2,5,12,14.3,34,280
93,2,1,4,1,13.2,35,299
103,3,2,4,1,12,21,410
84,2,1,2,8,12.6,16,309
86,2,1,3,9,9.3,35,281
108,4,3,6,7,4.3,28,512
76,2,1,3,12,4,31,353
88,3,2,6,9,1.3,14,490
77,2,1,6,9,2.8,1,486
64,3,3,2,1,14.9,35,192
74,2,2,2,1,1.3,9,343
95,3,3,3,1,12.5,8,375
78,1,1,6,3,14.7,7,395
60,2,2,3,7,1.3,37,194
68,2,2,4,14,12.5,24,229
32,2,1,5,11,4,12,210
73,2,1,3,11,5.9,12,329
81,2,1,2,8,12.1,33,245
32,1,1,6,2,12.3,30,200
79,2,1,6,10,10.4,32,347
94,2,2,4,11,1,15,403
77,2,1,6,14,6,0,493
93,3,2,2,9,7.6,30,350
61,2,2,5,5,5.7,24,281
113,4,3,4,11,14.8,34,409
32,1,1,2,14,7,35,145
103,3,2,4,12,8,10,471
118,3,2,4,3,13.9,4,405
49,1,1,3,10,14.4,14,226
97,3,2,6,12,7.3,4,532
51,1,1,5,15,5,4,289
66,2,1,2,9,14.9,22,151
101,3,3,6,7,4.4,33,470
58,2,1,2,14,5.9,28,185
112,4,3,4,4,3.8,39,438
91,2,1,5,12,14.7,4,329
75,3,2,4,9,1.3,38,325
67,2,2,3,5,14.2,1,305
82,3,2,6,5,3.8,10,482
42,1,1,4,1,3.6,37,217
101,2,1,3,9,10.2,3,338
87,2,1,4,7,4.4,3,348
101,3,2,5,2,9.4,11,402
59,1,1,4,15,3.5,40,298
37,1,1,6,8,8.9,3,266
118,3,2,2,11,13.8,25,351
80,2,2,3,7,6.8,35,276
39,1,1,3,6,11.6,33,166
96,3,2,6,3,5.1,32,537
47,1,1,6,9,13.9,33,280
106,4,2,3,8,3.6,10,409
136,4,3,4,13,11.5,0,518
96,3,2,4,10,9.6,21,365
102,3,2,4,6,10.4,5,385
32,1,1,3,15,3.5,10,217
83,3,2,5,10,14.6,2,339
93,2,1,2,11,7.4,2,324
61,2,1,4,9,9.2,40,210
92,3,2,2,1,3.5,24,311
97,3,2,4,8,6.4,33,368
112,3,2,4,14,1.4,39,459
76,2,1,3,2,6.5,22,347
65,2,2,3,7,10.6,39,222
80,2,1,3,10,14.2,38,190
99,3,2,4,5,6.4,28,327
116,4,3,2,10,12.8,20,445
90,3,2,4,11,4.1,12,373
45,1,1,2,15,11.7,20,161
59,2,2,3,15,5.7,26,270
72,2,1,3,1,1.3,35,309
77,1,1,6,7,5,36,441
32,2,2,5,5,12.8,22,188
92,2,1,5,3,11.2,6,339
52,2,1,2,8,4.7,30,141
91,2,2,5,1,10.5,22,371
32,1,1,3,5,12.5,32,85
56,2,1,3,14,1.2,11,227
84,1,2,2,14,3.5,19,330
48,1,1,2,11,2.1,10,222
99,2,1,5,11,2.1,32,429
87,3,2,6,12,3.1,30,421
89,3,2,4,9,12.1,34,283
77,3,2,5,8,4.2,8,402
62,1,1,4,14,2.2,8,261
74,3,2,5,13,12.6,6,370
66,2,1,3,11,7.9,17,173
115,4,3,4,2,7.8,15,550
73,2,2,2,12,5.7,8,295
115,4,3,2,11,9.1,4,336
95,3,2,3,3,7.2,9,386
86,3,2,6,1,10.3,9,489
84,3,2,3,1,4.9,26,311
117,3,2,5,7,6.5,20,442
70,2,2,5,6,10.7,37,286
81,4,3,3,1,6.5,33,315
88,3,1,6,9,11.9,17,413
120,3,2,5,4,4.9,20,485
76,2,1,5,7,14,22,289
32,1,1,3,7,5.3,29,103
100,3,2,3,8,13.6,35,317
35,1,1,3,11,5,34,121
62,2,1,5,8,1.1,17,347
65,2,1,6,6,9.8,33,320
102,4,3,5,15,12.5,39,371
101,4,3,5,11,7.7,16,471
77,2,2,4,11,9.1,35,325
55,1,1,4,15,10.7,8,237
116,3,3,3,10,10.9,19,412
115,3,3,4,2,6.6,36,460
57,2,1,6,10,3.1,0,477
47,2,1,2,8,10.2,36,171
84,3,2,3,14,13.8,1,277
119,4,3,3,7,10.8,30,386
115,3,3,5,11,1,2,507
98,2,1,4,9,12.9,27,273
77,2,1,4,12,15,32,230
76,3,1,3,2,4.2,6,280
124,3,2,4,14,14.2,1,401
78,2,2,5,10,6.3,21,326
123,4,3,3,5,3,16,526
39,1,1,4,10,3.6,20,196
66,2,1,2,8,8.9,12,232
81,2,1,5,13,6.8,28,387
73,2,2,3,5,3.9,24,273
95,1,1,3,10,11.6,31,305
100,2,1,4,8,3.7,6,354
100,4,2,3,14,5.4,5,441
126,4,3,3,8,7.6,26,508
106,3,3,4,12,11.7,8,403
66,2,2,5,7,10.5,4,315
32,1,1,4,9,7.5,37,185
105,3,3,5,7,5.9,25,442
105,3,2,3,11,9.9,8,307
108,3,2,2,11,10.1,27,309
32,1,1,5,12,1.5,15,298
53,1,1,4,6,1.7,16,202
95,3,1,6,11,13.1,19,449
123,3,2,2,12,11.1,3,401
38,1,1,3,3,1.9,7,221
32,2,1,4,11,12.1,28,139
44,1,1,3,4,8.9,4,229
117,3,3,4,1,11.3,19,499
53,1,2,6,3,12.7,23,256
50,1,1,6,7,9.5,0,325
55,1,1,5,11,13,10,287
89,2,2,2,13,11.2,29,329
99,3,3,3,4,9.4,4,351
68,2,2,5,9,14.7,13,278
86,3,3,4,15,13.9,0,349
90,3,2,3,14,3.4,3,398
50,2,1,3,4,14,18,166
84,3,1,6,3,13,0,478
62,1,1,5,14,14.3,14,196
51,2,2,4,3,6.4,17,299
86,2,1,5,14,10.6,3,365
32,1,1,4,15,4.9,17,143
50,1,1,3,11,8.2,0,242
60,2,1,3,4,2.2,27,253
97,4,3,4,11,1.5,33,380
140,4,3,3,6,1.4,34,512
95,2,1,4,11,14,3,372
86,3,2,6,6,14.6,10,487
