id_empresa,cod_sector,sector_nombre,departamento,anio,tamano,num_empleados,ventas_millones,gasto_id_millones,innova_producto,innova_proceso,innova_organizacional,exporta
E0423,C,Manufactura,bogota,2022,PEQUENA,44,"452,6",,NO,no,0,NO
E0308,C,manufactura,BOGOTA,2022,Grande,213,42683.8,,1,0,si,si
E0128,J,tic,Valle del Cauca,2022,Grande,1159,"18085,3",,0,No,No,0
E0309 ,C,Manufactura,Bogota,2022,PEQUENA,18,1041.0,6.2,0,,No,Si 
E0244,G,comercio,ANTIOQUIA,2022,micro,5,36.7,1.5,si,no,no,Si
E0105,J,TIC,Bogota DC,2022,Micro,,,5.2,1,No ,SI,No 
E0426,G,Comercio al por menor,Antioquia,2022,Pequena,45,0,9.6,Si,no,No ,SI
E0491,J,Informacion y comunicaciones,Valle del cauca,2022,Mediana,,2424.4,97.7,Si ,SI,0,SI
E0194,F,construccion, Antioquia,2022,Pequena,23,1252.2,,no,NO,NO,NO
E0233,C,Industria manufacturera,Cundinamarca,2022,Micro,6,209.4,1.5,No ,NO,NO,No
E0274,C, Manufactura ,Atlantico,2022,Micro,8,"192,6",5.4,no,si,SI,No
E0202,G,Comercio al por menor,CUNDINAMARCA,2022,MICRO,8,175.1,8.4,si,NO,no,No 
E0293,C,manufactura,Valle,2022,pequena,ND,757.3,4.6,1,1,si,Si 
E0306,J,tic,Bogota D.C.,2022,PEQUENA,13,982.0,,si,no,NO,
E0340,G,comercio,BOGOTA,2022,mediana,146,"1220,4",25.2,Si ,no,No,Si 
E0304,G,comercio,ANTIOQUIA,2022,Micro,5,90.3,0.8,no,0,1,No 
E0228,G, comercio, Antioquia,2022,Pequena,23,745.6,,No,no,NO,si
E0320,C, Manufactura ,Bogota DC,2022,GRANDE,950,15448.8,716.3,1,SI,NO,0
E0193,G,comercio,cundinamarca,2022,PEQUENA,49,148.7,,No,No,0,No
E0003,G,COMERCIO,Valle del cauca,2022,Pequena ,36,,,0,0,no,0
E0120,F,Construccion ,Bogota DC,2022,MEDIANA,151,4449.7,,No,NO,0,No 
E0282,J,Informacion y comunicaciones,BOGOTA,2022,Grande,1120,40784.1,163.7,,Si,No ,Si
E0204,G,COMERCIO,Bogota D.C.,2022,micro,4,"135,0",,no,0,No,NO
E0018,I,alojamiento y comida,Valle del Cauca,2022,pequena,45,563.6,12.2,No,No ,No ,No
E0281,C,MANUFACTURA,ATLANTICO,2022,Micro,10,100.6,1.5,Si,No,NO,no
E0392 ,I,Hoteles y restaurantes,Bogota,2022,PEQUENA,43,"485,5",37.3,no,0,No,no
E0339,H,TRANSPORTE,Valle del Cauca,2022,micro,6,78.8,,NO,0,NO,NO
E0102,C,MANUFACTURA,Bogota,2022,MICRO,9,"65,8",,No,NO,No,No
E0369,I,alojamiento y comida,BOGOTA,2022,MEDIANA,73,1419.1,,No ,NO,No,no
E0232,G,Comercio,antioquia,2022,Mediana,106,"3639,4",52.3,No ,Si ,No ,
E0218 ,H,Transporte,Bogota D.C.,2022,Micro,0,57.5,,No ,No ,No ,0
E0173,G, comercio,Atlantico ,2022,Pequena,42,1456.2,,no,0,No,0
E0138,C,Manufactura,Valle del Cauca,2022,micro,3,1722.9,1.6,si,Si ,0,Si
E0377,C, Manufactura , Antioquia,2022,micro,,"175,8",,0,no,No ,No 
E0115,M,servicios profesionales,valle del cauca,2022,micro,5,77.8,2.6,1,no,SI,No 
E0154,C,MANUFACTURA,BOGOTA,2022,Pequena ,48,944.7,,no,No ,No,No
E0411,G,Comercio,CUNDINAMARCA,2022,grande,,26753.8,765.3,Si,0,no,No 
E0332,G,COMERCIO, VALLE ,2022,MICRO,9,15.3,5.9,no,No ,No,No
E0295,C,Industria manufacturera,Bogota D.C.,2022,pequena,30,1636.5,26.3,Si,0,No ,Si 
E0272,G,Comercio,valle del cauca,2022,pequena,35,771.8,4.7,NO,no,SI,si
E0273,C,Industria manufacturera,ANTIOQUIA,2022,GRANDE,699,"7893,0",,no,no,No ,NO
E0136,C,Industria manufacturera, VALLE ,2022,mediana,145,"2643,6",29.4,0,No,SI,si
E0424,M,Profesionales,ANTIOQUIA,2022,mediana,105,3012.4,0,Si ,Si ,No ,SI
E0142,J,Informacion y comunicaciones,Valle,2022,Grande,1254,7763.3,588.5,No,NO,Si,si
E0288,M,SERVICIOS PROFESIONALES,Valle,2022,Pequena ,,"969,1",,Si ,SI,SI,No
E0303,G,comercio,Bogota D.C.,2022,,45,617.6,,No ,0,No ,No
E0389,C,Industria manufacturera,Bogota DC,2022,PEQUENA,19,566.5,29.9,si,si,si,NO
E0020,I,HOTELERIA,ANTIOQUIA,2022,PEQUENA,N/D,"528,8",66.0,No,no,,0
E0294,G, comercio,ANTIOQUIA,2022,MICRO,5,26.1,,No ,No ,NO,No
E0056,F,construccion, VALLE ,2022,MICRO,8,40.7,6.4,si,0,No,no
E0243,I,Alojamiento y comida,Bogota DC,2022,Micro,2,196.9,,No ,0,NO,0
E0277,I,Alojamiento y comida,ATLANTICO,2022,Pequena ,20,"1029,4",71.8,No,No ,Si ,NO
E0399 ,G,Comercio, VALLE ,2022,Pequena ,45,795.0,,0,No,No,0
E0100,H,Transporte y almacenamiento,ATLANTICO,2022,,3,"234,1",6.5,no,SI,no,0
E0188,C, Manufactura ,cundinamarca,2022,pequena,43,1036.2,37.3,no,Si ,no,No
E0484,C,Industria manufacturera,BOGOTA,2022,PEQUENA,44,1509.9,58.2,Si,0,0,Si 
E0183,G,Comercio,valle del cauca,2022,pequena,46,270.6,,,no,no,0
E0322,I,Hoteles y restaurantes,Valle del cauca,2022,pequena,,"617,0",,0,0,no,0
E0229,I,Alojamiento y comida,Valle,2022,Mediana,149,"1801,6",116.1,0,0,si,No
E0425,C,Industria manufacturera,valle del cauca,2022,Mediana,71,"985,0",55.7,0,NO,Si,0
E0236,C,Industria manufacturera,Cundinamarca,2022,mediana,162,"3079,7",66.7,Si,No ,no,No
E0290,M,servicios profesionales,Valle del Cauca,2022,MEDIANA,61,"3385,9",,0,0,No ,0
E0200,C,MANUFACTURA,Atlantico ,2022,micro,10,244.4,,Si ,Si,1,
E0438,M,SERVICIOS PROFESIONALES,Cundinamarca,2022,Micro,10,"114,5",3.4,SI,0,SI,NO
E0436,C,manufactura,Bogota DC,2022,PEQUENA,,489.5,37.4,0,si,0,No 
E0089,C,Industria manufacturera,Valle del Cauca,2022,pequena,42,599.9,0,no,Si,No ,NO
E0470,J,Informacion y comunicaciones,bogota,2022,micro,5,"411,6",1.7,SI,Si,no,No 
E0170,M,Profesionales,CUNDINAMARCA,2022,micro,4,161.3,7.8,Si,Si ,No,0
E0410,I,HOTELERIA, VALLE ,2022,mediana,166,"2113,2",258.2,No ,SI,SI,No
E0227,M,SERVICIOS PROFESIONALES,Valle del Cauca,2022,micro,7,"85,6",,no,NO,No,no
E0485,C,Manufactura,Valle,2022,MICRO,5,"253,2",,SI,NO,0,no
E0481,J,TIC,valle del cauca,2022,PEQUENA,31,"773,3",33.7,SI,no,Si ,0
E0197,H,TRANSPORTE,bogota,2022,micro,4,"108,1",7.1,Si ,NO,Si,Si 
E0123,G,comercio, VALLE ,2022,GRANDE,610,,,No,NO,0,No
E0048,H,Transporte y almacenamiento,Bogota D.C.,2022,micro,7,14.5,1.5,Si,NO,no,No
E0004,G, comercio,BOGOTA,2022,Mediana,159,1336.5,,0,No,Si ,Si
E0012,C,manufactura, VALLE ,2022,Micro,9,"261,0",10.6,NO,NO,0,0
E0128,J,tic,Valle del Cauca,2022,Grande,1159,"18085,3",,0,No,No,0
E0401,G,Comercio al por menor,Antioquia,2022,MICRO,8,78.2,,No ,No,No ,0
E0014,C,Industria manufacturera,valle del cauca,2022,Pequena,49,1103.0,11.3,,si,No,No
E0145,G,Comercio,Cundinamarca,2022,pequena,33,"418,7",26.0,No,No ,si,si
E0266,F,construccion,Valle del cauca,2022,micro,1,84.1,,0,0,No ,NO
E0023,I,HOTELERIA, Antioquia,2022,MICRO,4,184.9,,si,No,No ,No
E0059,J,tic, Antioquia,2022,Micro,1,,,no,No,Si,Si 
E0097,M,SERVICIOS PROFESIONALES,Valle del cauca,2022,Mediana,,"2827,4",139.0,NO,Si ,0,NO
E0382,H,Transporte y almacenamiento,Bogota DC,2022,MEDIANA,182,0,,no,0,0,No 
E0158,J,Informacion y comunicaciones,Valle,2022,PEQUENA,31,"1389,1",16.9,SI,No,NO,SI
e0076,C, Manufactura ,Valle del Cauca,2022,Pequena,50,"687,1",,no,NO,NO,No
E0461,H,TRANSPORTE, VALLE ,2022,micro,4,"19,9",,no,NO,NO,No
E0068,F,CONSTRUCCION,valle del cauca,2022,MEDIANA,143,"4750,8",,NO,No ,0,NO
E0086,G,COMERCIO,Antioquia,2022,MICRO,10,96.8,4.9,0,No,1,NO
E0482,G,Comercio al por menor,Bogota DC,2022,micro,,"154,6",,no,No,NO,No
E0028,C, Manufactura ,Antioquia,2022,Mediana,,"1442,6",,No,NO,No ,1
e0070,H,TRANSPORTE,Valle del cauca,2022,MEDIANA,156,3146.7,,no,NO,0,0
E0476,G, comercio,ANTIOQUIA,2022,Micro,6,192.7,5.5,No,1,No ,1
E0241,M,Servicios profesionales,antioquia,2022,Pequena ,36,"733,3",6.8,si,0,Si ,0
E0051,C,Industria manufacturera, VALLE ,2022,pequena,,,36.8,si,No,no,No 
E0269,H,Transporte y almacenamiento,ANTIOQUIA,2022,Pequena ,47,,20.3,No,No,no,1
E0075,M,Servicios profesionales,CUNDINAMARCA,2022,,2,"190,9",,SI,No ,No,si
E0054,I,Alojamiento y comida, VALLE ,2022,MICRO,2,"145,9",0,0,No,SI,No
E0175,C,manufactura,bogota,2022,Pequena,19,365.3,,NO,0,No,1
E0168,G,Comercio,Bogota D.C.,2022,micro,3,45.8,2.5,No,Si,,Si 
E0172,C,Industria manufacturera,valle del cauca,2022,Pequena,26,552.7,8.7,NO,No,si,Si
E0030,M,Profesionales,Bogota D.C.,2022,MICRO,1,"58,7",5.3,1,,,no
E0151,C, Manufactura , Antioquia,2022,micro,10,"71,5",1.9,Si ,0,NO,NO
E0499,H,Transporte y almacenamiento,Valle del Cauca,2022,Pequena ,37,735.6,,0,No ,NO,No
E0114,F,Construccion,Bogota DC,2022,,3,193.9,,NO,0,No,no
E0037,I,alojamiento y comida,valle del cauca,2022,MEDIANA,164,"2551,0",,No,No ,NO,No
E0044,M,servicios profesionales,Valle,2022,micro,1,"150,2",,no,No ,NO,NO
E0251,G,COMERCIO,Bogota D.C.,2022,MICRO,3,135.5,,No ,,no,no
E0071,G,comercio,Valle,2022,Mediana,131,2988.8,66.5,No,Si ,No ,1
E0135,H,transporte,BOGOTA,2022,,30,1204.3,,no,NO,no,No
E0245,M,Profesionales, Antioquia,2022,MEDIANA,188,"995,2",,NO,No,No,NO
E0121,G,comercio,BOGOTA,2022,PEQUENA,43,294.4,,No,0,NO,NO
E0184,H,TRANSPORTE, VALLE ,2022,GRANDE,0,"12252,5",,No ,No ,No ,No 
E0215 ,J,INFORMACION Y COMUNICACIONES,Bogota,2022,mediana,93,"1925,3",,no,Si,No,No 
E0027,M,servicios profesionales,Antioquia,2022,pequena,ND,1100.5,72.6,si,NO,no,No
E0125,G,Comercio al por menor, VALLE ,2022,PEQUENA,21,334.2,,No ,No ,0,0
E0225,G,Comercio,Valle del cauca,2022,MEDIANA,N/D,1030.7,,No ,No ,NO,1
E0296,M,servicios profesionales, Antioquia,2022,PEQUENA,22,,,0,0,NO,
E0248,G, comercio, Antioquia,2022,pequena,45,"1135,4",89.4,No,NO,no,0
E0226,J,TIC,Valle del cauca,2022,grande,253,20151.1,0,No,Si,0,no
E0250,M,servicios profesionales,Antioquia,2022,MEDIANA,60,"1940,4",96.8,si,0,1,0
E0192,C,MANUFACTURA,Valle del cauca,2022,PEQUENA,15,"457,9",,NO,No ,NO,NO
E0127,H,TRANSPORTE,Bogota,2022,PEQUENA,22,1325.2,,No ,0,No,no
E0486,M,SERVICIOS PROFESIONALES,Bogota D.C.,2022,pequena,41,"1359,3",,No ,no,NO,no
E0017,G,COMERCIO, VALLE ,2022,Pequena ,45,"635,4",,NO,1,0,Si 
E0319,J,INFORMACION Y COMUNICACIONES,Bogota D.C.,2022,Pequena ,15,"391,3",38.6,SI,No,No,Si 
E0483,H,Transporte y almacenamiento,CUNDINAMARCA,2022,MICRO,1,133.5,,No,NO,no,No 
E0472,J,Tecnologia,Valle del Cauca,2022,Mediana,98,2995.7,0,0,Si,NO,No
E0006,G,Comercio al por menor,BOGOTA,2022,grande,1156,"18618,5",610.0,Si ,no,No ,No
E0210,G,Comercio, Antioquia,2022,mediana,,2372.3,188.4,,SI,no,1
E0182,G,COMERCIO,Atlantico ,2022,Micro,1,"19,0",,No ,0,No,No 
E0457,I,HOTELERIA,Valle,2022,MEDIANA,184,1279.6,38.2,Si,no,NO,0
E0061,F,Construccion,Atlantico,2022,Micro,N/D,"81,7",,no,No,no,No
E0085,G, comercio,Bogota,2022,PEQUENA,33,740.9,24.0,Si,No,no,0
E0255,M,SERVICIOS PROFESIONALES,Bogota,2022,pequena,30,792.9,,NO,no,No ,0
E0140,C,manufactura,ANTIOQUIA,2022,Pequena,-33,"520,7",,si,no,0,SI
E0381,M,Servicios profesionales, Antioquia,2022,Pequena ,41,"476,5",3.4,0,si,SI,No 
E0247,G,Comercio al por menor,Bogota DC,2022,Mediana,116,"687,4",192.5,si,No,no,
E0338,C,Manufactura,ANTIOQUIA,2022,PEQUENA,36,"453,0",10.0,Si ,Si ,0,0
E0210,G,Comercio, Antioquia,2022,mediana,,2372.3,188.4,,SI,no,1
E0216,F,Construccion , Antioquia,2022,MICRO,4,108.2,0.6,0,no,no,0
E0430,C,manufactura,Valle del cauca,2022,PEQUENA,22,241.1,15.2,0,si,no,Si
E0479,C, Manufactura ,Bogota DC,2022,micro,10,73.9,1.8,NO,SI,NO,No
E0039,I,Alojamiento y comida,Valle,2022,grande,670,1839091.0,627.3,No ,SI,NO,Si 
E0124,I,alojamiento y comida,Bogota DC,2022,MICRO,10,"34,6",,No ,No ,NO,No
E0108,G,Comercio,antioquia,2022,Pequena ,28,742.9,,,0,No ,NO
E0103,M,Profesionales,Cundinamarca,2022,PEQUENA,47,1534.8,,NO,SI,No ,no
E0025,G, comercio,Antioquia,2022,micro,0,209.8,,no,no,,no
E0417,C,MANUFACTURA,ATLANTICO,2022,Micro,10,0,3.5,Si ,Si,0,No
E0058,C,Manufactura,Bogota,2022,Pequena,31,"592,1",26.0,1,NO,NO,0
E0083,G,Comercio al por menor,valle del cauca,2022,GRANDE,861,"16433,3",,0,No,no,no
E0231,G, comercio,CUNDINAMARCA,2022,MICRO,2,146.3,,NO,No,No,NO
E0160,G,comercio,BOGOTA,2022,micro,1,110.5,1.3,no,1,NO,Si
E0364,G, comercio,Cundinamarca,2022,pequena,45,604.8,53.2,0,Si ,SI,1
E0435,C,MANUFACTURA, Antioquia,2022,Pequena ,,395.5,,si,0,no,No
E0214,I,HOTELERIA,Valle del Cauca,2022,MICRO,1,144.4,,NO,NO,no,NO
E0280,I,Hoteles y restaurantes,Valle del Cauca,2022,Pequena ,12,519.2,34.5,1,No,SI,no
E0463,M,SERVICIOS PROFESIONALES,Antioquia,2022,,1,145.8,1.2,No ,No ,no,NO
E0078,C, Manufactura ,valle del cauca,2022,Pequena ,31,,,0,0,si,NO
E0349 ,F,Construccion ,Bogota,2022,mediana,175,588.8,,NO,no,no,no
E0427,F,construccion,valle del cauca,2022,mediana,63,1916.7,,0,NO,0,NO
E0496,I,HOTELERIA,Valle,2022,micro,1,"36,6",,1,No ,No,
E0187,H,Transporte y almacenamiento,ANTIOQUIA,2022,mediana,83,3075.1,,NO,0,No,no
E0252,C,Manufactura,Bogota DC,2022,Pequena,47,433.1,,no,NO,No,0
E0415,J,tic,valle del cauca,2022,pequena,45,654.7,25.9,SI,0,no,si
E0096,C,Industria manufacturera,Valle del cauca,2022,Mediana,-54,"1904,6",45.2,1,No,si,no
E0380,G,Comercio,Bogota DC,2022,Mediana,93,"1522,9",,no,No ,no,0
E0418,H,Transporte y almacenamiento,BOGOTA,2022,MICRO,-10,100.4,3.2,Si ,NO,NO,No 
E0315,F,Construccion ,Atlantico ,2022,PEQUENA,45,840.2,,no,NO,No ,NO
E0147,G, comercio,Valle del Cauca,2022,MICRO,3,"113,9",8.0,SI,0,No ,no
E0274,C, Manufactura ,Atlantico,2022,Micro,8,"192,6",5.4,no,si,SI,No
E0203 ,F,construccion,Cundinamarca,2022,Grande,1327,50976.0,0,NO,No,SI,0
E0106,C,MANUFACTURA,bogota,2022,MICRO,0,204.4,,Si,SI,no,No
E0094,J,INFORMACION Y COMUNICACIONES,Cundinamarca,2022,Micro,,"41,0",0,No,SI,No ,No 
E0133,F,construccion,bogota,2022,MICRO,9,"228,3",,no,0,No ,No 
E0179,F,Construccion,bogota,2022,,9,230.5,,,No ,0,No
E0458,C, Manufactura ,valle del cauca,2022,Micro,3,83.2,,No,0,NO,
E0416,G,comercio,bogota,2022,Pequena ,,,,0,No ,0,No
e0258,M,servicios profesionales,Bogota DC,2022,Pequena ,n/d,805.8,8.4,Si ,si,No ,si
E0080,F,construccion,Bogota D.C.,2022,Pequena ,12,"412,9",,0,NO,No ,No 
E0265,G,Comercio,Bogota D.C.,2022,Mediana,126,"5494,6",134.3,1,No,No,0
E0013,I,Alojamiento y comida,valle del cauca,2022,PEQUENA,45,,49.5,Si ,No ,no,Si
E0466,C,manufactura,Antioquia,2022,MEDIANA,,1703.7,68.1,si,NO,0,NO
E0050,F,CONSTRUCCION, Antioquia,2022,GRANDE,1025,0,608.9,Si ,No ,NO,no
E0413,G, comercio, VALLE ,2022,MEDIANA,150,1291.3,59.2,no,NO,Si,No 
E0390,H,Transporte,Valle del cauca,2022,micro,10,"82,6",,No,no,No,1
E0307,C,Industria manufacturera,Bogota D.C.,2022,micro,5,"64,0",,No,no,No,0
E0404,J,Informacion y comunicaciones,Valle del cauca,2022,Mediana,163,1878.9,51.9,0,SI,no,SI
E0276,M,Profesionales,Valle,2022,PEQUENA,11,7259.1,26.7,si,no,0,Si
E0437,I,HOTELERIA,Valle,2022,MEDIANA,71,"2272,3",,No,NO,NO,NO
E0066,I,alojamiento y comida,Valle del cauca,2022,micro,3,36.8,,0,NO,,No
E0095,C,MANUFACTURA, VALLE ,2022,pequena,11,12659.2,0,0,si,No,No
E0240,F,Construccion, VALLE ,2022,mediana,116,0,,No,no,0,No
E0074,C,MANUFACTURA,atlantico,2022,Mediana,71,"5165,2",130.5,No ,si,No,
E0242,G,comercio,Valle del Cauca,2022,PEQUENA,44,816.6,,No ,NO,0,NO
E0026,J,Tecnologia,atlantico,2022,micro,4,187.8,10.2,No ,1,,Si 
E0271 ,H,TRANSPORTE, Antioquia,2022,Pequena ,42,"737,2",61.3,Si ,0,No ,No
E0459,G,COMERCIO,Antioquia,2022,PEQUENA,27,,,0,,no,No
E0053,M,SERVICIOS PROFESIONALES,Antioquia,2022,Micro,9,"84,2",12.8,NO,no,SI,NO
E0186,F,CONSTRUCCION,Valle del Cauca,2022,PEQUENA,17,877.4,,0,no,NO,No
E0376,J,tic,BOGOTA,2022,Pequena,26,"622,0",8.4,No,0,Si,No
E0196,C,MANUFACTURA,antioquia,2022,micro,4,188.6,4.3,si,No ,1,Si
E0284,G,Comercio al por menor,Valle,2022,Grande,502,"19459,7",862.7,No ,Si ,No ,SI
E0021,J,Tecnologia,Bogota DC,2022,pequena,20,475.3,41.7,NO,si,No ,no
e0064,I,alojamiento y comida,CUNDINAMARCA,2022,PEQUENA,27,"138,5",,no,no,No,NO
E0405,I,Alojamiento y comida,valle del cauca,2022,GRANDE,332,,361.3,SI,no,NO,NO
E0335,C,Industria manufacturera,Antioquia,2022,,6,234.2,0,0,1,SI,
E0278,C,Manufactura,Bogota,2022,PEQUENA,36,"455,4",5.2,0,Si ,0,NO
E0234,H,TRANSPORTE, Antioquia,2022,Pequena,33,35909.0,,No,No,NO,No 
E0367,M,Servicios profesionales,bogota,2022,Pequena ,n/d,"611,5",60.5,no,Si,NO,Si
E0489,J,Tecnologia,antioquia,2022,MICRO,8,295.9,2.5,1,1,NO,si
E0302,M,Servicios profesionales,CUNDINAMARCA,2022,MEDIANA,183,"2596,0",42.3,,no,0,No
E0224,F,Construccion,Bogota D.C.,2022,micro,5,103.2,,0,no,NO,no
E0165,J,Informacion y comunicaciones,atlantico,2022,PEQUENA,n/d,"335,1",40.7,no,Si,Si,NO
E0474,J,INFORMACION Y COMUNICACIONES,Valle del cauca,2022,,537,"27749,5",151.1,No,No ,no,0
E0015,I,alojamiento y comida,Valle del cauca,2022,Micro,6,"111,0",,No ,No,No,NO
E0190,C,manufactura,Bogota DC,2022,Micro,6,75.4,16.4,No ,,0,Si
E0137,I,alojamiento y comida,Antioquia,2022,PEQUENA,23,621.1,,No,No,0,no
E0090,F,Construccion , VALLE ,2022,Micro,3,315.5,5.2,No,No,Si ,0
E0230,F,construccion, VALLE ,2022,Micro,,43.4,,no,0,0,No
E0082,G,comercio,antioquia,2022,pequena,14,275.1,,no,No ,0,NO
E0453,J,INFORMACION Y COMUNICACIONES,Valle del cauca,2022,Micro,4,"44,5",0,No,SI,NO,
E0191,G,Comercio,Bogota DC,2022,MICRO,8,5276.0,,0,NO,No,NO
E0442,F,Construccion ,Valle del cauca,2022,Pequena ,35,"737,7",,,No ,Si,Si
E0355,F,Construccion ,Atlantico ,2022,Pequena ,18,642.5,,no,No ,No ,No
E0321,M,Profesionales,valle del cauca,2022,MEDIANA,157,2812.7,246.2,1,No ,Si,0
E0129,C,Industria manufacturera,Bogota D.C.,2022,micro,3,57.3,,,No ,no,No
E0177,C,Industria manufacturera,antioquia,2022,Micro,-6,98.8,4.9,No,0,no,0
E0363,I,Alojamiento y comida,BOGOTA,2022,Pequena,35,"963,0",,0,No,0,NO
E0117,J,tic,Atlantico ,2022,Micro,5,153.1,0.3,1,0,0,si
E0356,J,tic,Valle del cauca,2022,Mediana,0,70539.3,167.5,Si,0,,0
E0386,G, comercio,Valle del Cauca,2022,MICRO,4,180.2,,No,No,no,No
E0465,J,TIC,Valle del Cauca,2022,PEQUENA,36,292.1,16.4,NO,No,si,No
E0005,J,Tecnologia,valle del cauca,2022,micro,10,"174,2",,1,0,si,no
E0259,F,Construccion,Valle,2022,pequena,40,"407,5",22.5,Si,no,No ,Si
E0422,H,Transporte,Bogota DC,2022,Micro,4,"75,1",,0,No ,0,0
E0437,I,HOTELERIA,Valle,2022,MEDIANA,71,"2272,3",,No,NO,NO,NO
E0212,J,TIC,Valle,2022,PEQUENA,49,695.1,14.3,Si,NO,NO,1
E0057,J,tic,Bogota DC,2022,MEDIANA,64,1794.1,,SI,si,No ,No 
E0379,C,manufactura,Atlantico ,2022,PEQUENA,50,336.4,,0,No,No,0
E0398,G,COMERCIO,bogota,2022,MICRO,3,682.5,,NO,No,no,No
E0267,J,INFORMACION Y COMUNICACIONES,atlantico,2022,MICRO,ND,101.9,0.7,1,Si,No,
E0329,C, Manufactura ,cundinamarca,2022,PEQUENA,32,378.8,,no,no,1,0
E0118,G,COMERCIO,Bogota D.C.,2022,micro,1,117.8,3.9,No ,Si ,No,Si 
E0373,I,Alojamiento y comida,Antioquia,2022,Pequena ,,"689,2",10.6,1,NO,no,1
