id,sexo,edad,anios_educacion,nivel_educativo,departamento,ingreso_laboral,horas_semana
108,hombre,32,15,superior,Antioquia,600000,70
109,mujer,29,11,media,Antioquia,781000,48
110,hombre,29,11,media,Antioquia,781242,48
111,mujer,32,11,media,Antioquia,781242,48
112,hombre,40,11,media,Antioquia,2450000,72
113,mujer,40,13,superior,Antioquia,1200000,40
114,hombre,18,12,superior,Antioquia,781242,48
115,mujer,60,6,secundaria,Antioquia,900000,40
116,hombre,62,11,media,Antioquia,700000,48
117,mujer,53,11,media,Antioquia,800000,56
118,hombre,21,11,media,Antioquia,781242,48
119,hombre,34,11,media,Antioquia,781242,56
120,hombre,59,11,media,Antioquia,1500000,48
121,hombre,27,14,superior,Antioquia,840000,54
122,mujer,25,14,superior,Antioquia,982000,42
123,mujer,58,6,secundaria,Antioquia,150000,4
124,hombre,54,8,secundaria,Antioquia,897000,48
125,hombre,59,6,secundaria,Antioquia,1000000,50
126,hombre,44,19,superior,Antioquia,1800000,48
127,hombre,31,13,superior,Antioquia,1000000,48
128,hombre,51,8,secundaria,Antioquia,781242,48
129,hombre,26,15,superior,Antioquia,781242,48
130,mujer,24,16,superior,Antioquia,781242,48
131,hombre,34,13,superior,Antioquia,1045000,48
132,mujer,57,11,media,Antioquia,60000,15
133,mujer,28,15,superior,Antioquia,1200000,48
134,hombre,43,11,media,Antioquia,1175000,48
135,mujer,34,11,media,Antioquia,1150000,48
136,mujer,60,6,secundaria,Antioquia,100000,4
137,hombre,39,11,media,Antioquia,781242,48
138,mujer,25,11,media,Antioquia,781242,48
139,hombre,24,13,superior,Antioquia,820000,48
140,mujer,62,9,secundaria,Antioquia,1100000,45
141,hombre,63,14,superior,Antioquia,400000,24
142,hombre,58,11,media,Antioquia,1300000,54
143,hombre,56,2,primaria,Antioquia,300000,24
144,hombre,23,11,media,Antioquia,781242,48
145,mujer,64,10,media,Antioquia,150000,54
146,hombre,31,11,media,Antioquia,1200000,60
147,hombre,54,5,primaria,Antioquia,820000,48
148,mujer,52,5,primaria,Antioquia,250000,12
149,hombre,33,8,secundaria,Antioquia,100000,50
150,hombre,53,11,media,Antioquia,781242,48
151,mujer,23,17,superior,Antioquia,2000000,48
152,hombre,65,5,primaria,Antioquia,700000,48
153,mujer,65,10,media,Antioquia,500000,48
154,hombre,30,13,superior,Antioquia,600000,12
155,mujer,22,15,superior,Antioquia,781242,48
156,hombre,65,3,primaria,Antioquia,100000,21
157,mujer,28,11,media,Antioquia,800000,45
158,hombre,56,11,media,Antioquia,900000,48
159,hombre,27,16,superior,Antioquia,880000,48
160,mujer,41,12,superior,Antioquia,400000,60
161,mujer,21,13,superior,Antioquia,820000,40
162,hombre,33,8,secundaria,Antioquia,1450000,60
163,mujer,42,11,media,Antioquia,350000,10
164,hombre,39,11,media,Antioquia,1101242,48
165,hombre,37,11,media,Antioquia,781242,48
166,hombre,40,15,superior,Antioquia,3000000,48
167,mujer,60,0,ninguno,Antioquia,1000000,10
168,mujer,33,13,superior,Antioquia,1100000,48
169,mujer,31,16,superior,Antioquia,1785000,48
170,mujer,27,12,superior,Antioquia,900000,67
171,mujer,23,11,media,Antioquia,900000,61
172,hombre,53,6,secundaria,Antioquia,800000,60
173,hombre,55,6,secundaria,Antioquia,900000,50
174,mujer,58,11,media,Antioquia,500000,24
175,mujer,52,11,media,Antioquia,902000,48
176,hombre,18,11,superior,Antioquia,50000,9
177,mujer,49,16,superior,Antioquia,1200000,48
178,hombre,55,2,primaria,Antioquia,250000,56
179,hombre,34,11,media,Antioquia,781242,48
180,mujer,39,8,secundaria,Antioquia,950000,40
181,hombre,20,13,superior,Antioquia,1330000,48
182,mujer,39,11,media,Antioquia,781300,48
183,hombre,36,11,media,Antioquia,781242,49
184,mujer,33,15,superior,Antioquia,781242,51
185,hombre,54,11,media,Antioquia,1600000,54
186,mujer,21,14,superior,Antioquia,400000,16
187,hombre,42,11,media,Antioquia,1200000,48
188,mujer,37,14,superior,Antioquia,1800000,48
189,mujer,39,16,superior,Antioquia,1600000,48
190,hombre,32,11,media,Antioquia,900000,48
191,mujer,29,7,secundaria,Antioquia,1000000,48
192,hombre,37,11,media,Antioquia,2000000,50
193,mujer,32,11,media,Antioquia,400000,24
194,hombre,24,9,secundaria,Antioquia,1000000,68
195,mujer,43,11,media,Antioquia,450000,50
196,hombre,59,0,ninguno,Antioquia,200000,30
197,hombre,36,8,secundaria,Antioquia,1500000,70
198,mujer,32,13,superior,Antioquia,781242,48
199,hombre,30,13,superior,Antioquia,800000,48
200,hombre,29,15,superior,Antioquia,800000,48
201,mujer,33,16,superior,Antioquia,5000000,40
202,hombre,25,13,superior,Antioquia,1562484,50
203,hombre,57,5,primaria,Antioquia,781200,48
204,hombre,30,11,media,Antioquia,500000,49
205,mujer,25,11,media,Antioquia,600000,20
206,hombre,58,3,primaria,Antioquia,900000,50
207,mujer,47,3,primaria,Antioquia,870000,48
208,hombre,30,6,secundaria,Antioquia,2000000,50
209,mujer,29,11,media,Antioquia,300000,50
210,hombre,28,11,media,Antioquia,781242,48
211,hombre,43,11,media,Antioquia,1400000,60
212,mujer,29,15,superior,Antioquia,781300,48
213,hombre,56,3,primaria,Antioquia,828116,48
214,mujer,30,11,media,Antioquia,470000,11
215,mujer,37,11,media,Antioquia,781242,48
216,hombre,46,8,secundaria,Antioquia,3450000,48
217,hombre,47,11,media,Antioquia,2500000,48
218,mujer,27,16,superior,Antioquia,4000000,48
219,hombre,42,11,media,Antioquia,800000,48
220,mujer,38,14,superior,Antioquia,1500000,45
221,hombre,51,5,primaria,Antioquia,600000,50
222,mujer,54,12,superior,Antioquia,1970000,48
223,mujer,35,13,superior,Antioquia,781242,48
224,hombre,41,11,media,Antioquia,1400000,48
225,hombre,60,11,media,Antioquia,900000,48
226,hombre,29,15,superior,Antioquia,3000000,48
227,hombre,57,14,superior,Antioquia,1400000,48
228,hombre,24,11,media,Antioquia,900000,48
229,mujer,53,7,secundaria,Antioquia,390621,24
230,mujer,25,12,superior,Antioquia,800000,48
231,hombre,50,11,media,Antioquia,800000,40
232,mujer,32,11,media,Antioquia,100000,30
233,hombre,44,14,superior,Antioquia,2500000,48
234,mujer,45,16,superior,Antioquia,4000000,48
235,hombre,20,12,media,Antioquia,781242,48
236,mujer,48,11,media,Antioquia,1000000,50
237,hombre,51,11,media,Antioquia,781242,48
238,mujer,47,11,media,Antioquia,920000,48
239,hombre,21,12,superior,Antioquia,781242,48
240,hombre,35,13,superior,Antioquia,1700000,48
241,mujer,54,14,superior,Antioquia,1600000,48
242,hombre,53,11,media,Antioquia,1400000,50
243,mujer,36,18,superior,Antioquia,2000000,40
244,hombre,39,18,superior,Antioquia,3000000,40
245,hombre,56,13,superior,Antioquia,1300000,48
246,mujer,25,15,superior,Antioquia,100000,6
247,mujer,57,9,secundaria,Antioquia,1000000,4
248,hombre,33,13,superior,Antioquia,1200000,48
249,hombre,52,9,secundaria,Antioquia,960000,48
250,hombre,32,13,superior,Antioquia,900000,48
251,mujer,28,13,superior,Antioquia,800000,48
252,mujer,57,7,secundaria,Antioquia,781242,48
253,hombre,36,16,superior,Antioquia,2500000,54
254,hombre,30,4,primaria,Antioquia,800000,48
255,hombre,53,5,primaria,Antioquia,1015775,72
256,hombre,30,11,media,Antioquia,828116,50
257,hombre,48,5,primaria,Antioquia,781242,52
258,mujer,22,13,superior,Antioquia,400000,28
259,hombre,36,13,superior,Antioquia,1250000,48
260,mujer,35,14,superior,Antioquia,1500000,48
261,mujer,36,12,superior,Antioquia,3000000,40
262,hombre,48,13,superior,Antioquia,1200000,48
263,mujer,21,13,superior,Antioquia,1000000,48
264,hombre,23,11,media,Antioquia,990000,48
265,mujer,23,13,superior,Antioquia,781242,48
266,hombre,40,11,media,Antioquia,1200000,48
267,hombre,52,1,primaria,Antioquia,1150000,40
268,hombre,63,6,secundaria,Antioquia,1600000,72
269,hombre,23,14,superior,Antioquia,600000,24
270,hombre,29,11,media,Antioquia,1000000,48
271,mujer,24,13,superior,Antioquia,400000,60
272,mujer,42,11,media,Antioquia,50000,7
273,hombre,37,2,primaria,Antioquia,1000000,60
274,hombre,41,12,superior,Antioquia,1249000,48
275,mujer,35,15,superior,Antioquia,150000,30
276,mujer,30,11,media,Antioquia,1000000,40
277,hombre,55,5,primaria,Antioquia,2070000,48
278,hombre,57,14,superior,Antioquia,2000000,48
279,hombre,31,11,media,Antioquia,828116,48
280,hombre,31,11,media,Antioquia,850000,48
281,mujer,55,11,media,Antioquia,1500000,84
282,mujer,22,12,superior,Antioquia,120000,16
283,hombre,36,9,secundaria,Antioquia,700000,40
284,hombre,33,16,superior,Antioquia,1000000,48
285,mujer,27,11,media,Antioquia,990000,48
286,mujer,53,15,superior,Antioquia,3000000,40
287,hombre,56,11,media,Antioquia,800000,60
288,hombre,56,11,media,Antioquia,1040000,60
289,hombre,25,14,superior,Antioquia,781242,54
290,hombre,26,12,superior,Antioquia,1200000,48
291,mujer,24,13,superior,Antioquia,781242,36
292,hombre,47,11,media,Antioquia,800000,48
293,mujer,46,13,superior,Antioquia,680000,50
294,hombre,41,2,primaria,Antioquia,850000,30
295,mujer,37,11,media,Antioquia,120000,10
296,hombre,46,11,media,Antioquia,2000000,60
297,hombre,38,11,media,Antioquia,781242,48
298,mujer,50,13,superior,Antioquia,1200000,60
299,hombre,51,11,media,Antioquia,2000000,70
300,mujer,49,11,media,Antioquia,500000,40
301,hombre,37,18,superior,Atlantico,6000000,48
302,mujer,51,0,ninguno,Atlantico,2150000,60
303,hombre,37,16,superior,Atlantico,6000000,48
304,mujer,23,15,superior,Atlantico,900000,48
305,mujer,50,11,media,Atlantico,1650000,48
306,hombre,30,16,superior,Atlantico,1600000,48
307,mujer,30,16,superior,Atlantico,1600000,40
308,hombre,23,17,superior,Atlantico,1500000,48
309,hombre,44,17,superior,Atlantico,4000000,48
310,mujer,40,11,media,Atlantico,480000,48
311,hombre,50,16,superior,Atlantico,3000000,30
312,mujer,45,13,superior,Atlantico,1800000,40
313,hombre,36,5,primaria,Atlantico,650000,84
314,mujer,38,11,media,Atlantico,1960000,60
315,hombre,26,16,superior,Atlantico,1600000,56
316,hombre,61,11,media,Atlantico,4000000,110
317,hombre,59,11,media,Atlantico,1800000,60
318,mujer,29,15,superior,Atlantico,2000000,48
319,mujer,28,16,superior,Atlantico,1800000,70
320,hombre,54,5,primaria,Atlantico,781000,70
321,hombre,39,11,media,Atlantico,800000,56
322,hombre,57,11,media,Atlantico,1900000,48
323,mujer,54,13,superior,Atlantico,200000,60
324,mujer,26,16,superior,Atlantico,1370000,48
325,hombre,34,5,primaria,Atlantico,1500000,98
326,hombre,22,13,superior,Atlantico,781000,48
327,hombre,37,11,media,Atlantico,1100000,110
328,mujer,63,7,secundaria,Atlantico,100000,15
329,hombre,32,11,media,Atlantico,600000,36
330,hombre,27,11,media,Atlantico,800000,60
331,hombre,54,11,media,Atlantico,1000000,84
332,hombre,25,12,superior,Atlantico,80000,20
333,hombre,43,16,superior,Atlantico,1200000,48
334,mujer,19,14,superior,Atlantico,400000,40
335,hombre,40,14,superior,Atlantico,1600000,48
336,mujer,36,16,superior,Atlantico,2000000,48
337,mujer,63,2,primaria,Atlantico,1000000,48
338,hombre,41,13,superior,Atlantico,1500000,70
339,mujer,36,13,superior,Atlantico,800000,48
340,hombre,60,16,superior,Atlantico,2000000,60
341,mujer,61,16,superior,Atlantico,4000000,48
342,hombre,35,17,superior,Atlantico,2000000,60
343,mujer,31,13,superior,Atlantico,1900000,48
344,mujer,51,17,superior,Atlantico,2000000,40
345,hombre,31,11,media,Atlantico,1200000,24
346,mujer,33,11,media,Atlantico,800000,48
347,hombre,24,11,media,Atlantico,800000,40
348,mujer,40,9,secundaria,Atlantico,100000,40
349,mujer,36,11,media,Atlantico,400000,48
350,mujer,24,11,media,Atlantico,800000,40
351,hombre,28,11,media,Atlantico,1600000,60
352,hombre,46,7,secundaria,Atlantico,1100000,48
353,hombre,32,13,superior,Atlantico,800000,48
354,mujer,31,11,media,Atlantico,150000,4
355,mujer,50,13,media,Atlantico,30000,20
356,hombre,30,14,superior,Atlantico,400000,30
357,hombre,47,5,primaria,Atlantico,1200000,48
358,mujer,38,11,media,Atlantico,900000,48
359,hombre,32,16,superior,Atlantico,1500000,48
360,mujer,30,16,superior,Atlantico,2000000,48
361,hombre,26,6,secundaria,Atlantico,900000,48
362,mujer,52,5,primaria,Atlantico,336000,16
363,hombre,26,4,primaria,Atlantico,720000,70
364,mujer,19,11,media,Atlantico,60000,10
365,mujer,44,5,primaria,Atlantico,600000,40
366,hombre,25,9,secundaria,Atlantico,200000,48
367,hombre,20,11,media,Atlantico,320000,24
368,hombre,36,11,media,Atlantico,781242,72
369,mujer,42,11,media,Atlantico,390621,24
370,hombre,20,4,primaria,Atlantico,870000,60
371,mujer,37,11,media,Atlantico,25000,5
372,hombre,37,11,media,Atlantico,900000,72
373,hombre,62,6,secundaria,Atlantico,781000,72
374,mujer,59,8,secundaria,Atlantico,840000,56
375,hombre,30,7,secundaria,Atlantico,636000,30
376,mujer,21,6,secundaria,Atlantico,20000,84
377,hombre,42,5,primaria,Atlantico,1200000,48
378,mujer,39,5,primaria,Atlantico,360000,20
379,mujer,22,11,media,Atlantico,300000,40
380,hombre,37,4,primaria,Atlantico,750000,35
381,hombre,39,13,superior,Atlantico,800000,48
382,mujer,30,11,media,Atlantico,800000,56
383,hombre,27,13,superior,Atlantico,800000,60
384,hombre,51,11,media,Atlantico,700000,48
385,mujer,44,16,superior,Atlantico,781242,48
386,mujer,21,11,media,Atlantico,1200000,84
387,hombre,28,13,superior,Atlantico,2000000,60
388,hombre,40,10,media,Atlantico,1200000,64
389,hombre,20,11,media,Atlantico,350000,48
390,mujer,19,13,superior,Atlantico,787000,48
391,hombre,34,13,superior,Atlantico,1200000,48
392,mujer,53,11,media,Atlantico,800000,48
393,mujer,31,13,superior,Atlantico,790000,48
394,mujer,30,11,media,Atlantico,800000,58
395,hombre,28,11,media,Atlantico,800000,48
396,hombre,34,11,media,Atlantico,800000,48
397,mujer,28,11,media,Atlantico,160000,7
398,mujer,25,14,superior,Atlantico,784200,48
399,mujer,54,11,media,Atlantico,786400,48
400,hombre,22,6,secundaria,Atlantico,350000,48
401,mujer,65,21,superior,Atlantico,2000000,40
402,hombre,46,14,superior,Atlantico,3000000,96
403,mujer,42,13,superior,Atlantico,800000,40
404,hombre,51,16,superior,Atlantico,1500000,20
405,mujer,47,16,superior,Atlantico,1520000,48
406,hombre,28,11,media,Atlantico,600000,56
407,mujer,41,13,superior,Atlantico,1000000,30
408,hombre,25,16,superior,Atlantico,836000,44
409,mujer,28,16,superior,Atlantico,1000000,44
410,hombre,44,11,media,Atlantico,700000,30
411,mujer,45,11,media,Atlantico,700000,30
412,hombre,57,11,media,Atlantico,900000,48
413,mujer,42,11,media,Atlantico,781242,60
414,mujer,56,6,secundaria,Atlantico,600000,48
415,hombre,64,11,media,Atlantico,300000,24
416,mujer,64,11,media,Atlantico,250000,36
417,hombre,38,16,superior,Atlantico,1500000,58
418,hombre,26,11,media,Atlantico,800000,48
419,hombre,39,11,media,Atlantico,800000,48
420,mujer,36,5,primaria,Atlantico,600000,48
421,hombre,42,11,media,Atlantico,1050000,70
422,hombre,24,6,secundaria,Atlantico,480000,72
423,mujer,27,11,media,Atlantico,300000,40
424,hombre,26,11,media,Atlantico,300000,60
425,mujer,20,9,secundaria,Atlantico,250000,48
426,hombre,21,9,secundaria,Atlantico,950000,60
427,hombre,29,11,media,Atlantico,900000,42
428,hombre,43,2,primaria,Atlantico,720000,72
429,hombre,51,3,primaria,Atlantico,650000,48
430,hombre,34,7,secundaria,Atlantico,700000,48
431,mujer,35,11,media,Atlantico,600000,42
432,hombre,58,9,secundaria,Atlantico,1200000,50
433,hombre,24,11,media,Atlantico,600000,60
434,mujer,43,11,media,Atlantico,230000,60
435,hombre,50,7,secundaria,Atlantico,900000,60
436,hombre,34,14,superior,Atlantico,850000,48
437,mujer,31,13,superior,Atlantico,240000,28
438,hombre,44,11,media,Atlantico,828116,48
439,mujer,44,11,media,Atlantico,300000,20
440,hombre,34,11,media,Atlantico,787000,48
441,mujer,30,11,media,Atlantico,120000,18
442,hombre,48,16,superior,Atlantico,1000000,48
443,mujer,48,11,media,Atlantico,800000,36
444,hombre,38,11,media,Atlantico,800000,48
445,hombre,48,5,primaria,Atlantico,900000,48
446,hombre,21,9,secundaria,Atlantico,1021242,84
447,mujer,46,5,primaria,Atlantico,480000,30
448,mujer,20,15,superior,Atlantico,150000,60
449,hombre,38,8,secundaria,Atlantico,1200000,48
450,hombre,55,9,secundaria,Atlantico,1500000,48
451,hombre,57,11,media,Atlantico,300000,48
452,mujer,42,3,primaria,Atlantico,146000,18
453,hombre,29,11,media,Atlantico,1200000,60
454,mujer,32,11,media,Atlantico,720000,35
455,hombre,32,13,superior,Atlantico,1200000,48
456,mujer,32,13,superior,Atlantico,700000,60
457,hombre,53,18,superior,Atlantico,2000000,48
458,mujer,42,11,media,Atlantico,1500000,48
459,hombre,21,17,superior,Atlantico,300000,24
460,hombre,26,15,superior,Atlantico,1300000,48
461,hombre,26,5,primaria,Atlantico,435000,72
462,mujer,61,5,primaria,Atlantico,100000,6
463,hombre,54,4,primaria,Atlantico,1200000,48
464,mujer,54,4,primaria,Atlantico,200000,24
465,hombre,27,11,media,Atlantico,781242,72
466,hombre,49,9,secundaria,Atlantico,250000,72
467,hombre,39,9,secundaria,Atlantico,600000,66
468,mujer,40,10,media,Atlantico,870000,84
469,mujer,29,17,superior,Atlantico,800000,48
470,mujer,54,11,media,Atlantico,1000000,40
471,hombre,60,5,primaria,Atlantico,1900000,72
472,hombre,33,8,secundaria,Atlantico,600000,56
473,hombre,56,5,primaria,Atlantico,500000,84
474,mujer,27,14,superior,Atlantico,781000,48
475,mujer,37,8,secundaria,Atlantico,100000,20
476,hombre,52,11,media,Atlantico,781242,72
477,mujer,52,11,media,Atlantico,781242,48
478,hombre,32,11,media,Atlantico,781242,48
479,mujer,27,11,media,Atlantico,781242,48
480,hombre,29,11,media,Atlantico,781000,48
481,mujer,31,13,superior,Atlantico,250000,10
482,hombre,30,7,secundaria,Atlantico,1300000,54
483,mujer,26,11,media,Atlantico,600000,25
484,hombre,60,10,media,Atlantico,800000,48
485,mujer,26,11,media,Atlantico,190000,48
486,hombre,40,14,superior,Atlantico,2500000,42
487,hombre,38,4,primaria,Atlantico,960000,60
488,mujer,47,3,primaria,Atlantico,600000,54
489,mujer,49,3,primaria,Atlantico,1320000,48
490,mujer,40,11,media,Atlantico,420000,30
491,hombre,23,8,secundaria,Atlantico,122000,5
492,mujer,18,11,media,Atlantico,300000,15
493,hombre,49,14,superior,Atlantico,800000,24
494,mujer,21,14,superior,Atlantico,828116,48
495,hombre,42,11,media,Atlantico,1070000,48
496,mujer,31,13,superior,Atlantico,800000,48
497,hombre,50,14,superior,Atlantico,600000,70
498,mujer,19,11,media,Atlantico,380000,36
499,mujer,25,16,superior,Atlantico,2000000,48
500,hombre,28,16,superior,Atlantico,2000000,40
501,mujer,52,11,media,Atlantico,300000,56
502,hombre,20,12,superior,Atlantico,1800000,48
503,hombre,55,0,ninguno,Atlantico,900000,48
504,mujer,50,13,superior,Atlantico,50000,10
505,hombre,29,11,media,Atlantico,784200,48
506,mujer,26,15,superior,Atlantico,800000,48
507,hombre,39,5,primaria,Atlantico,2000000,72
508,mujer,36,13,superior,Atlantico,1000000,48
509,hombre,54,11,media,Atlantico,1141242,72
510,mujer,20,14,superior,Atlantico,781242,54
511,hombre,33,11,media,Atlantico,1200000,72
512,hombre,57,11,media,Atlantico,950000,48
513,mujer,37,11,media,Atlantico,580000,30
514,hombre,32,17,superior,Atlantico,3250000,48
515,mujer,30,16,superior,Atlantico,3800000,45
516,hombre,64,11,media,Atlantico,700000,56
517,mujer,62,11,media,Atlantico,120000,12
518,mujer,51,16,superior,Atlantico,60000,40
519,mujer,48,11,media,Atlantico,800000,60
520,hombre,59,16,superior,Atlantico,1400000,40
521,hombre,53,5,primaria,Atlantico,2000000,48
522,mujer,57,1,primaria,Atlantico,300000,40
523,hombre,56,6,secundaria,Atlantico,900000,54
524,hombre,30,11,media,Atlantico,980000,48
525,mujer,31,11,media,Atlantico,480000,4
526,hombre,37,14,superior,Atlantico,900000,56
527,mujer,56,11,media,Atlantico,780000,40
528,hombre,38,11,media,Atlantico,700000,48
529,hombre,49,5,primaria,Atlantico,900000,70
530,mujer,46,8,secundaria,Atlantico,150000,40
531,mujer,26,9,secundaria,Atlantico,80000,6
532,hombre,29,9,secundaria,Atlantico,1200000,48
533,mujer,41,11,media,Atlantico,300000,12
534,hombre,21,11,media,Atlantico,940000,52
535,hombre,43,13,superior,Atlantico,1500000,105
536,hombre,54,2,primaria,Atlantico,900000,48
537,mujer,59,0,ninguno,Atlantico,300000,40
538,hombre,60,5,primaria,Atlantico,200000,20
539,hombre,36,11,media,Atlantico,600000,48
540,hombre,31,2,primaria,Atlantico,950000,72
541,mujer,28,5,primaria,Atlantico,900000,30
542,hombre,30,11,media,Atlantico,787000,48
543,mujer,62,2,primaria,Atlantico,280000,42
544,hombre,30,11,media,Atlantico,960000,60
545,hombre,47,8,secundaria,Atlantico,800000,48
546,hombre,48,16,superior,Atlantico,3400000,30
547,mujer,40,16,superior,Atlantico,500000,40
548,mujer,50,11,media,Atlantico,150000,20
549,hombre,25,14,superior,Atlantico,800000,48
550,mujer,29,16,superior,Atlantico,1600000,44
551,mujer,18,11,media,Atlantico,1200000,48
552,hombre,24,15,superior,Atlantico,920000,63
553,hombre,61,15,superior,Bogota D.C.,200000,90
554,hombre,52,26,superior,Bogota D.C.,15000000,40
555,mujer,49,7,secundaria,Bogota D.C.,3800000,45
556,hombre,18,11,media,Bogota D.C.,7000000,8
557,mujer,44,11,media,Bogota D.C.,781242,60
558,hombre,49,3,primaria,Bogota D.C.,6000000,45
559,mujer,48,11,media,Bogota D.C.,6000000,45
560,mujer,29,16,superior,Bogota D.C.,1000000,48
561,mujer,26,14,superior,Bogota D.C.,1800000,30
562,hombre,23,11,superior,Bogota D.C.,1000000,35
563,mujer,60,5,primaria,Bogota D.C.,1200000,60
564,mujer,41,5,primaria,Bogota D.C.,781242,48
565,hombre,32,13,superior,Bogota D.C.,1250000,48
566,mujer,58,8,secundaria,Bogota D.C.,300000,40
567,hombre,33,17,superior,Bogota D.C.,2200000,45
568,hombre,25,15,superior,Bogota D.C.,1700000,50
